,地点番号,調査地点,,平成26年度(TEQ)／水質(pg/L)／春季,平成26年度(TEQ)／水質(pg/L)／夏季,平成26年度(TEQ)／水質(pg/L)／秋季,平成26年度(TEQ)／水質(pg/L)／冬季,平成26年度(TEQ)／水質(pg/L)／年度平均,平成26年度(TEQ)／底質 (pg/g),平成25年度(TEQ)／水質(pg/L)／春季,平成25年度(TEQ)／水質(pg/L)／夏季,平成25年度(TEQ)／水質(pg/L)／秋季,平成25年度(TEQ)／水質(pg/L)／冬季,平成25年度(TEQ)／水質(pg/L)／年度平均,平成25年度(TEQ)／底質 (pg/g)
河川（東京都測定）,1,江戸川,金町取水点,0.21,-,0.21,-,0.21,0.25,0.17,-,0.097,-,0.13,0.33
河川（東京都測定）,2,旧江戸川,浦安橋,0.69,-,0.3,-,0.5,0.35,0.27,-,0.13,-,0.2,0.33
河川（東京都測定）,3,中川,平井小橋,0.86,0.52,0.71,0.63,0.68,1.2,0.5,0.74,0.55,0.48,0.57,1
河川（東京都測定）,4,新中川,小岩大橋,1.3,0.41,0.55,0.64,0.73,3.7,0.6,0.45,0.52,0.5,0.52,3.1
河川（東京都測定）,5,新川,新川橋,0.41,-,0.23,-,0.32,21,0.16,-,0.11,-,0.14,20
河川（東京都測定）,6,隅田川,小台橋,0.85,0.44,1.3,0.17,0.69,7.9,0.24,0.45,0.69,0.94,0.58,5.2
河川（東京都測定）,7,隅田川,両国橋,0.081,-,0.21,-,0.15,17,0.38,-,0.088,-,0.23,3.6
河川（東京都測定）,8,新河岸川,志茂橋,0.92,0.27,0.29,0.52,0.5,0.52,0.26,0.15,0.35,0.39,0.29,0.97
河川（東京都測定）,9,白子川,落合橋,0.67,-,0.13,-,0.4,2.6,0.23,-,0.29,-,0.26,2.2
河川（東京都測定）,10,石神井川,豊石橋,0.28,0.23,0.29,0.17,0.24,0.5,0.21,0.33,0.11,0.14,0.2,2.6
河川（東京都測定）,11,神田川,柳橋,0.07,-,0.14,-,0.11,3.4,0.23,-,0.067,-,0.15,0.4
河川（東京都測定）,12,日本橋川,西河岸橋,0.066,-,0.076,-,0.071,4.8,0.13,-,0.076,-,0.1,3.2
河川（東京都測定）,13,横十間川,天神橋,0.28,0.27,0.4,0.28,0.31,210,0.3,0.57,0.39,0.16,0.36,200
河川（東京都測定）,14,大横川,福寿橋,0.093,-,0.12,-,0.11,31,0.15,-,0.092,-,0.12,37
河川（東京都測定）,15,北十間川,京成橋,0.11,0.35,0.4,0.35,0.3,64,0.76,0.4,0.16,0.53,0.46,73
河川（東京都測定）,16,竪川,二之橋,0.096,-,0.11,-,0.1,140,0.14,-,0.079,-,0.11,86
河川（東京都測定）,17,小名木川,進開橋,0.41,-,0.33,-,0.37,41,0.22,-,0.13,-,0.18,30
河川（東京都測定）,18,旧中川,中平井橋,0.33,0.24,0.18,0.3,0.26,44,0.27,0.2,0.27,0.14,0.22,30
河川（東京都測定）,19,古川,金杉橋,0.3,-,0.078,-,0.19,2.3,0.076,-,0.082,-,0.079,1.8
河川（東京都測定）,20,目黒川,太鼓橋,0.066,-,0.091,-,0.079,0.79,0.081,-,0.064,-,0.073,0.68
河川（東京都測定）,21,立会川,立会川橋,0.084,-,0.13,-,0.11,5.4,0.1,-,0.063,-,0.082,0.4
河川（東京都測定）,22,内川,富士見橋,0.2,-,0.48,-,0.34,24,0.44,-,0.6,-,0.52,19
河川（東京都測定）,23,呑川,夫婦橋,0.078,-,0.085,-,0.082,0.52,0.075,-,0.065,-,0.07,0.56
河川（東京都測定）,24,多摩川,和田橋,0.062,-,0.062,-,0.062,0.21,-,-,-,-,-,-
河川（東京都測定）,25,秋川,東秋川橋,-,-,0.062,-,0.062,0.29,-,-,-,-,-,-
河川（東京都測定）,26,養沢川,新橋,-,-,0.062,-,0.062,0.49,-,-,-,-,-,-
河川（東京都測定）,27,残堀川,立川橋,0.13,-,0.087,-,0.11,5.3,-,-,-,-,-,-
河川（東京都測定）,28,城山川,五反田橋,0.07,-,0.064,-,0.067,1.7,-,-,-,-,-,-
河川（東京都測定）,29,川口川,川口川橋,0.069,-,0.066,-,0.068,0.44,-,-,-,-,-,-
河川（東京都測定）,30,程久保川,玉川橋,0.1,-,0.069,-,0.085,0.75,-,-,-,-,-,-
