項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,1江戸川／金町取水点,2旧江戸川／浦安橋,2旧江戸川／浦安橋／二重測定,3中川／平井小橋,4新中川／小岩大橋,4新中川／小岩大橋／外部精度管理,5新川／新川橋,6隅田川／小台橋,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／外部精度管理,14大横川／福寿橋,15北十間川／京成橋,16竪川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会橋,22内川／富士見橋,22内川／富士見橋／二重測定,23呑川／夫婦橋,34多摩川／和田橋,35秋川／東秋川橋,35秋川／東秋川橋／二重測定,36養沢川／新橋,37残堀川／立川橋,38程久保川／玉川橋,39三沢川／天神橋,39三沢川／天神橋／二重測定,40仙川／鎌田橋,41鶴見川／麻生橋,42成木川／両郡橋,43霞川／金子橋,44柳瀬川／清柳橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,N.D.,N.D.,N.D.,N.D.,N.D.,(0.11),1,0.7,2.2,N.D.,N.D.,N.D.,1.1,N.D.,8.4,8.1,2.5,3.9,10,1.2,1.9,N.D.,N.D.,2.2,0.5,0.6,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,(0.1),N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,12,13,14,120,300,210,330,110,410,150,30,7.3,230,34,400,420,390,450,660,160,170,4.2,3.5,110,21,20,1.2,N.D.,0.9,0.9,2.2,9.1,18,18,19,1.2,13,2,17,1.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,4,4.3,4.6,45,110,83,130,45,170,57,11,2.7,95,13,200,190,160,200,320,70,97,1.7,1.5,54,9.8,9.4,0.6,N.D.,0.3,0.3,1,3.7,5.7,5.8,6.1,0.5,4.3,0.7,4.7,0.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,16,18,19,170,420,300,490,170,640,220,46,11,370,62,640,670,610,720,1000,270,300,7.9,7.7,240,68,64,2.7,N.D.,1.2,1.2,3.2,17,26,25,26,2.9,18,2.9,23,2.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,N.D.,N.D.,N.D.,(0.2),0.6,0.61,3.1,0.7,3.5,0.9,0.5,N.D.,2.5,0.9,6.8,6.7,3.8,6.2,7.1,1.7,2.6,N.D.,N.D.,8.1,1.9,1.8,N.D.,N.D.,N.D.,N.D.,N.D.,0.5,N.D.,(0.2),N.D.,N.D.,N.D.,N.D.,(0.2),N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,2.1,1.9,2.6,20,48,42,98,25,100,36,13,2.1,72,18,170,190,120,160,210,55,87,3.2,2.3,180,41,34,1.1,N.D.,N.D.,N.D.,1.4,12,5.2,5.1,4.8,0.9,2.7,0.2,3.9,0.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,N.D.,N.D.,N.D.,(0.5),1,0.88,4.4,0.8,4.3,1.2,(0.5),N.D.,3.3,1,9.8,9.9,5,7.5,9.9,2.1,6.6,N.D.,N.D.,8,2,1.8,N.D.,N.D.,N.D.,N.D.,N.D.,(0.6),(0.2),N.D.,(0.3),N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,(0.2),N.D.,N.D.,1.2,2.6,2.2,10,2.2,10,2.7,1,(0.3),8.7,2,78,84,14,37,31,9.1,23,(0.4),(0.4),19,4,3.7,(0.2),N.D.,N.D.,N.D.,N.D.,1.3,(0.5),(0.5),(0.5),N.D.,(0.3),N.D.,(0.4),N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,N.D.,(0.2),N.D.,1.2,2.2,1.8,8.4,1.9,8.2,2.4,1.1,(0.5),7.5,1.6,35,35,10,21,18,5.4,16,(0.2),(0.3),15,3.5,3.1,(0.4),N.D.,N.D.,N.D.,N.D.,1.1,(0.3),(0.5),(0.5),N.D.,(0.2),N.D.,(0.3),N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,1.8,1.8,1.7,12,25,22,130,25,110,31,14,5.8,90,23,650,640,160,350,300,89,310,4.3,4.1,260,56,49,5,N.D.,N.D.,N.D.,3.7,16,5.8,5.6,6.2,1.5,3.2,1.1,4.6,0.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,1.7,2.4,2.5,28,60,55,160,35,190,40,12,4,240,26,1600,1600,310,850,630,190,3500,4.2,2.5,150,40,36,2.6,N.D.,(0.3),(0.3),0.9,11,3.8,6.6,6.6,(0.7),4,0.9,4.3,(0.5)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,3.3,5,5.1,55,120,110,380,70,370,78,24,9.6,440,52,3000,2800,610,1600,1300,360,8900,8.3,5.4,370,92,84,8.7,N.D.,0.7,0.7,1.9,21,7.7,14,14,1.6,7.8,1.8,8.7,1.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,18,33,37,530,1100,1100,2900,450,2400,580,170,52,5100,300,15000,14000,3900,8500,8100,2500,100000,36,23,870,290,300,35,N.D.,3.8,4.5,3.3,91,36,110,110,4,62,8.5,59,5.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,41,60,66,790,1700,1600,4000,740,3600,950,270,81,6100,460,19000,18000,5400,11000,11000,3300,110000,60,42,1900,550,530,52,N.D.,5.7,6.4,14,160,80,160,160,11,94,14,99,9.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,(0.2),0.4,0.6,0.4,0.8,0.68,11,4.6,12,1.8,1,1,9.8,2.2,74,63,15,36,37,12,7.2,1,0.6,17,6,5.2,(0.1),N.D.,N.D.,N.D.,(0.3),0.6,(0.3),(0.3),0.3,(0.1),(0.2),N.D.,(0.2),N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.30,0.10,-,pg/g,N.D.,N.D.,(0.2),0.4,0.7,-,2.5,1.6,6.6,1.1,0.7,(0.1),4.3,1.5,19,-,8.9,17,20,4.8,4.1,0.4,0.3,9.4,3.1,2.9,N.D.,N.D.,N.D.,N.D.,(0.2),0.5,0.3,N.D.,(0.2),(0.2),(0.2),N.D.,(0.2),N.D.
