物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1,アクロレイン,,,,,,,,,,,
2,アセトン,10,91860.0,0.0,0.0,108.8,108.8,0.0,0.0,75430.0,75430.0,33.0
3,イソアミルアルコール,,,,,,,,,,,
4,イソプロピルアルコール,7,16410.0,0.0,10389.0,240.4,240.4,0.0,0.0,5826.0,5826.0,0.5
5,エチレン,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,
8,塩酸,6,43440.0,0.0,110.0,0.0,0.0,0.0,0.0,160.0,160.0,0.0
9,塩素,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,
11,キシレン,3,3500.0,0.0,310.0,15.0,15.0,0.0,0.0,212.0,212.0,0.0
12,クロム及び三価クロム化合物,,,,,,,,,,,
13,六価クロム化合物,,,,,,,,,,,
14,クロルピクリン,,,,,,,,,,,
15,クロロホルム,6,4430.0,0.0,0.0,110.4,110.4,0.0,0.0,4320.0,4320.0,0.2
16,酢酸エチル,6,44750.0,0.0,100.0,138.0,138.0,0.0,0.0,44750.0,44750.0,15.1
17,酢酸ブチル,,,,,,,,,,,
18,酢酸メチル,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化物）,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,
26,ジクロロメタン,3,3140.0,0.0,0.0,20.0,20.0,0.0,0.0,3130.0,3130.0,0.0
27,シマジン,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,
29,硝酸,,,,,,,,,,,
30,水銀及びその化合物,,,,,,,,,,,
31,スチレン,,,,,,,,,,,
32,セレン及びその化合物,,,,,,,,,,,
33,チウラム,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,
35,テトラクロロエチレン,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,
38,トリクロロエチレン,,,,,,,,,,,
39,トルエン,3,20740.0,0.0,0.0,50.0,50.0,0.0,0.0,20740.0,20740.0,50.0
40,鉛及びその化合物,,,,,,,,,,,
41,ニッケル,,,,,,,,,,,
42,ニッケル化合物,,,,,,,,,,,
43,二硫化炭素,,,,,,,,,,,
44,砒素及びその無機化合物,,,,,,,,,,,
45,ＰＣＢ,,,,,,,,,,,
46,ピリジン,1,25000.0,0.0,0.0,50.0,50.0,0.0,0.0,25000.0,25000.0,0.0
47,フェノール,,,,,,,,,,,
48,ふっ化水素及びその水溶性塩,,,,,,,,,,,
49,ヘキサン,7,3080.0,0.0,0.0,1.8,1.8,0.0,0.0,3080.0,3080.0,0.1
50,ベンゼン,,,,,,,,,,,
51,ホルムアルデヒド,1,140.0,0.0,130.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0
52,マンガン及びその化合物,1,160.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,メタノール,10,89280.0,0.0,0.0,112.8,112.8,0.0,0.0,65320.0,65260.0,36.5
54,メチルイソブチルケトン,1,48000.0,0.0,0.0,50.0,50.0,0.0,0.0,48000.0,48000.0,50.0
55,メチルエチルケトン,2,460.0,0.0,220.0,1.9,1.9,0.0,0.0,234.9,233.8,1.1
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,
57,硫酸,3,7570.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,ほう素及びその化合物,1,980.0,0.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,総計,71,402940.0,0.0,12749.0,902.1,902.1,0.0,0.0,296203.9,296142.8,186.5
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
