種類,,,,排出量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理／処理量（千t）,中間処理／処理後量（千t）,中間処理／処理後再生利用量（千t）,中間処理／処理後最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,27284,14,106,27164,9716,9238,478,9252,17448,584
燃え殻,,,,4,0,1,3,1,1,0,1,2,1
汚泥,,,,19213,1,0,19212,2170,2034,136,2035,17042,136
汚泥,上水汚泥,,,390,0,0,390,24,16,8,16,366,8
汚泥,下水汚泥,,,14437,0,0,14437,32,9,23,9,14405,23
汚泥,建設汚泥,,,3686,0,0,3686,1912,1846,66,1846,1774,66
汚泥,その他の汚泥,,,700,1,0,699,202,163,39,164,497,39
廃油,,,,21,0,0,21,7,7,0,7,14,0
廃酸,,,,6,0,0,6,2,1,1,1,4,1
廃アルカリ,,,,6,0,0,6,2,2,0,2,4,0
廃プラスチック類,,,,303,0,1,302,226,200,26,200,76,27
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0
金属くず,,,,152,0,0,152,150,149,1,149,2,1
ガラス・陶磁器くず,,,,818,0,66,752,670,566,104,566,82,170
鉱さい,,,,8,0,0,8,8,7,1,7,0,1
がれき類,,,,5865,13,0,5852,5789,5673,116,5686,63,116
がれき類,コンクリート塊,,,3543,13,0,3530,3501,3482,19,3495,29,19
がれき類,アスファルト･コンクリート塊,,,1075,0,0,1075,1057,1053,4,1053,18,4
がれき類,その他のがれき類,,,1247,0,0,1247,1231,1138,93,1138,16,93
石綿含有産業廃棄物,,,,44,0,30,14,11,5,6,5,3,36
ばいじん,,,,9,0,0,9,9,0,9,0,0,9
紙くず,,,,45,0,0,45,36,36,0,36,9,0
木くず,,,,343,0,0,343,296,293,3,293,47,3
繊維くず,,,,3,0,0,3,3,2,1,2,0,1
動植物性残さ,,,,26,0,0,26,16,16,0,16,10,0
動物系固形不要物,,,,3,0,0,3,2,2,0,2,1,0
動物のふん尿,,,,39,0,0,39,23,23,0,23,16,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,300,0,2,298,276,203,73,203,22,75
その他,,,,5,0,0,5,3,3,0,3,2,0
特別管理産業廃棄物,,,,71,0,6,65,16,15,1,15,49,7
特別管理産業廃棄物,廃油,,,2,0,0,2,0,0,0,0,2,0
特別管理産業廃棄物,廃酸,,,13,0,0,13,9,9,0,9,4,0
特別管理産業廃棄物,廃アルカリ,,,2,0,0,2,1,1,0,1,1,0
特別管理産業廃棄物,感染性廃棄物,,,39,0,0,39,3,2,1,2,36,1
特別管理産業廃棄物,特定有害廃棄物,,,15,0,6,9,3,3,0,3,6,6
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,2,0,0,2,2,2,0,2,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,8,0,6,2,1,1,0,1,1,6
特別管理産業廃棄物,特定有害廃棄物,その他,,5,0,0,5,0,0,0,0,5,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,2,0,0,2,0,0,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,2,0,0,2,0,0,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,1,0,0,1,0,0,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0
