一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
1,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,白山祝田田町線（白山通り）,c,2003-06-03,2003-06-10,4,6,8.8,1.5,71,69
2,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道２０号（新宿通り）,c,2003-06-03,2003-06-05,3,6,6.9,1.5,71,70
3,千代田区九段南1-1先,35.693378,139.754913,JGD2011,麹町竹平線（内堀通り）,b,2003-07-29,2003-07-31,4,4,1.7,1.5,72,70
4,千代田区飯田橋4-5-14,35.700676,139.747147,JGD2011,千代田練馬田無線（目白通り）,c,2004-01-27,2004-01-29,4,5,4.4,1.5,72,70
5,千代田区平河町2-5-2,35.680115,139.739044,JGD2011,区道１８８号（貝坂通り）,b,2003-07-29,2003-07-31,6,2,1.9,1.5,63,60
6,千代田区九段南3-8-14,35.692753,139.742584,JGD2011,新宿両国線（靖国通り）,c,2003-09-30,2003-10-02,4,5,4.5,1.5,69,67
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,新宿両国線（靖国通り）,c,2003-09-30,2003-10-02,4,6,6.0,1.5,69,67
8,千代田区東神田2-10-18,35.695621,139.780716,JGD2011,新宿両国線（靖国通り）,c,2003-09-30,2003-10-02,4,7,6.0,1.5,71,69
9,千代田区神田神保町1-42,35.697716,139.757797,JGD2011,白山祝田田町線（白山通り）,c,2003-11-18,2003-11-20,4,5,4.2,1.5,69,67
10,千代田区一ﾂ橋2-2,35.693314,139.757553,JGD2011,白山祝田田町線（白山通り）,c,2003-11-18,2003-11-20,4,5,4.5,1.5,71,70
11,千代田区神田神保町2-1,35.695614,139.757889,JGD2011,白山祝田田町線（白山通り）,c,2003-11-11,2003-11-18,4,6,8.8,1.5,71,70
12,千代田区神田岩本町15,35.696655,139.775024,JGD2011,国道４号（昭和通り）,c,2003-11-11,2003-11-18,3,7,7.0,1.5,73,71
13,千代田区神田岩本町15(和泉橋出張所4階),35.696655,139.775024,JGD2011,首都高速１号上野線,c,2003-11-11,2003-11-18,2,4,18.2,13.6,76,73
14,千代田区神田錦町3-18,35.693203,139.761337,JGD2011,区道１０１号（千代田通り）,c,2004-02-03,2004-02-05,5,4,4.6,1.5,69,67
15,千代田区内神田1-1,35.689434,139.765686,JGD2011,錦町有楽町線,c,2004-02-03,2004-02-05,4,6,4.6,1.5,68,66
16,千代田区神田鍛冶町3-6,35.694111,139.771072,JGD2011,国道１７号（中央通り）,c,2004-01-27,2004-01-29,3,5,4.3,1.5,71,69
17,千代田区飯田橋1-8,35.699432,139.748245,JGD2011,千代田練馬田無線（目白通り）,C,2003-12-02,2003-12-03,4,4,4.0,1.2,71,70
18,千代田区神田司町2-7,35.693069,139.767273,JGD2011,外濠環状線,C,2003-12-02,2003-12-03,4,4,2.6,1.2,66,64
