物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1,アクロレイン,,,,,,,,,,,
2,アセトン,2,1790.0,0.0,0.0,1050.0,1050.0,0.0,0.0,741.0,741.0,0.0
3,イソアミルアルコール,,,,,,,,,,,
4,イソプロピルアルコール,1,220.0,0.0,0.0,210.0,210.0,0.0,0.0,13.0,13.0,0.0
5,エチレン,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,
8,塩酸,1,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0
9,塩素,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,
11,キシレン,4,2220.0,0.0,0.0,2130.0,2130.0,0.0,0.0,112.0,112.0,0.0
12,クロム及び三価クロム化合物,,,,,,,,,,,
13,六価クロム化合物,,,,,,,,,,,
14,クロルピクリン,,,,,,,,,,,
15,クロロホルム,1,130.0,0.0,0.0,130.0,130.0,0.0,0.0,6.0,6.0,0.0
16,酢酸エチル,1,1600.0,0.0,0.0,1600.0,1600.0,0.0,0.0,0.0,0.0,0.0
17,酢酸ブチル,,,,,,,,,,,
18,酢酸メチル,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化物）,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,
26,ジクロロメタン,1,2500.0,0.0,0.0,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0
27,シマジン,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,
29,硝酸,1,280.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,260.0,14.0
30,水銀及びその化合物,,,,,,,,,,,
31,スチレン,,,,,,,,,,,
32,セレン及びその化合物,,,,,,,,,,,
33,チウラム,1,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,チオベンカルブ,,,,,,,,,,,
35,テトラクロロエチレン,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,
38,トリクロロエチレン,1,550.0,0.0,0.0,550.0,550.0,0.0,0.0,0.0,0.0,0.0
39,トルエン,8,51200.0,0.0,30000.0,16610.0,16610.0,0.0,0.0,99.0,99.0,0.0
40,鉛及びその化合物,,,,,,,,,,,
41,ニッケル,,,,,,,,,,,
42,ニッケル化合物,,,,,,,,,,,
43,二硫化炭素,,,,,,,,,,,
44,砒素及びその無機化合物,,,,,,,,,,,
45,ＰＣＢ,,,,,,,,,,,
46,ピリジン,,,,,,,,,,,
47,フェノール,1,2600.0,0.0,2600.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0
48,ふっ化水素及びその水溶性塩,1,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,190.0,0.0
49,ヘキサン,1,3600.0,0.0,0.0,3500.0,3500.0,0.0,0.0,33.0,33.0,0.0
50,ベンゼン,,,,,,,,,,,
51,ホルムアルデヒド,,,,,,,,,,,
52,マンガン及びその化合物,,,,,,,,,,,
53,メタノール,3,1050.0,0.0,0.0,883.0,883.0,0.0,0.0,177.0,177.0,0.0
54,メチルイソブチルケトン,3,2740.0,0.0,0.0,2740.0,2740.0,0.0,0.0,0.0,0.0,0.0
55,メチルエチルケトン,3,3030.0,0.0,0.0,2830.0,2830.0,0.0,0.0,250.0,250.0,0.0
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,
57,硫酸,,,,,,,,,,,
58,ほう素及びその化合物,,,,,,,,,,,
,総計,34,91830.0,0.0,32720.0,34733.0,34733.0,0.0,0.0,1956.0,1936.0,14.0
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
