種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,27376,92,27284,15351,321,186,14,121,0,15030,11933,14,0,11813,106,12040,11934,9516,9052,464,106,2418,570,9252,17448,584
燃え殻,,,,4,0,4,0,0,0,0,0,0,0,4,0,0,3,1,4,3,1,1,0,1,2,1,1,2,1
汚泥,,,,19214,1,19213,15104,100,13,14,73,0,15004,4109,1,0,4108,0,4181,4181,2143,2021,122,0,2038,122,2035,17042,136
汚泥,上水汚泥,,,390,0,390,384,27,12,0,15,0,357,6,0,0,6,0,21,21,12,4,8,0,9,8,16,366,8
汚泥,下水汚泥,,,14437,0,14437,14371,44,1,14,29,0,14327,66,0,0,66,0,95,95,17,8,9,0,78,9,9,14405,23
汚泥,建設汚泥,,,3686,0,3686,0,0,0,0,0,0,0,3686,0,0,3686,0,3686,3686,1912,1846,66,0,1774,66,1846,1774,66
汚泥,その他の汚泥,,,701,1,700,349,29,0,0,29,0,320,351,1,0,350,0,379,379,202,163,39,0,177,39,164,497,39
廃油,,,,21,0,21,0,0,0,0,0,0,0,21,0,0,21,0,21,21,7,7,0,0,14,0,7,14,0
廃酸,,,,6,0,6,1,0,0,0,0,0,1,5,0,0,5,0,5,5,2,1,1,0,3,1,1,4,1
廃アルカリ,,,,6,0,6,0,0,0,0,0,0,0,6,0,0,6,0,6,6,2,2,0,0,4,0,2,4,0
廃プラスチック類,,,,310,7,303,14,4,3,0,1,0,10,289,0,0,288,1,290,289,223,197,26,1,66,27,200,76,27
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,214,62,152,2,2,2,0,0,0,0,150,0,0,150,0,150,150,148,147,1,0,2,1,149,2,1
ガラス・陶磁器くず,,,,820,2,818,69,55,13,0,42,0,14,749,0,0,683,66,791,725,657,553,104,66,68,170,566,82,170
鉱さい,,,,8,0,8,0,0,0,0,0,0,0,8,0,0,8,0,8,8,8,7,1,0,0,1,7,0,1
がれき類,,,,5865,0,5865,156,156,151,0,5,0,0,5709,13,0,5696,0,5701,5701,5638,5522,116,0,63,116,5686,63,116
