種類,,,,排出量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理／処理量（千t）,中間処理／処理後量（千t）,中間処理／処理後再生利用量（千t）,中間処理／処理後最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,1257,4,0,1253,745,636,109,640,508,109
燃え殻,,,,0,0,0,0,0,0,0,0,0,0
汚泥,,,,500,1,0,499,88,71,17,72,411,17
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,4,0,0,4,3,3,0,3,1,0
汚泥,建設汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,その他の汚泥,,,496,1,0,495,85,68,17,69,410,17
廃油,,,,9,0,0,9,6,6,0,6,3,0
廃酸,,,,10,0,0,10,8,5,3,5,2,3
廃アルカリ,,,,3,0,0,3,2,2,0,2,1,0
廃プラスチック類,,,,30,0,0,30,15,13,2,13,15,2
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0
金属くず,,,,25,0,0,25,25,25,0,25,0,0
ガラス・陶磁器くず,,,,501,3,0,498,449,365,84,368,49,84
鉱さい,,,,0,0,0,0,0,0,0,0,0,0
がれき類,,,,92,0,0,92,92,92,0,92,0,0
がれき類,コンクリート塊,,,88,0,0,88,88,88,0,88,0,0
がれき類,アスファルト･コンクリート塊,,,1,0,0,1,1,1,0,1,0,0
がれき類,その他のがれき類,,,3,0,0,3,3,3,0,3,0,0
石綿含有産業廃棄物,,,,0,0,0,0,0,0,0,0,0,0
ばいじん,,,,3,0,0,3,3,0,3,0,0,3
紙くず,,,,31,0,0,31,25,25,0,25,6,0
木くず,,,,11,0,0,11,8,8,0,8,3,0
繊維くず,,,,0,0,0,0,0,0,0,0,0,0
動植物性残さ,,,,23,0,0,23,12,12,0,12,11,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,3,0,0,3,2,2,0,2,1,0
その他,,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,,,,16,0,0,16,10,10,0,10,6,0
特別管理産業廃棄物,廃油,,,2,0,0,2,1,1,0,1,1,0
特別管理産業廃棄物,廃酸,,,9,0,0,9,8,8,0,8,1,0
特別管理産業廃棄物,廃アルカリ,,,1,0,0,1,1,1,0,1,0,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,4,0,0,4,0,0,0,0,4,0
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,,4,0,0,4,0,0,0,0,4,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,3,0,0,3,0,0,0,0,3,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,0,1,0,0,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0
