種類,,,,全業種合計（千t）,建設業（千t）,製造業（千t）,上下水道業（千t）,農業，林業（千t）,電気・ガス・熱供給業（千t）,情報通信業（千t）,運輸業（千t）,卸売，小売業（千t）,不動産業（千t）,学術，専門（千t）,宿泊，飲食業（千t）,生活，娯楽業（千t）,教育，学習（千t）,医療，福祉（千t）,サービス業（自動車整備業を除く）（千t）,自動車整備業（千t）
合計,,,,27014,10513,1306,14676,40,26,17,50,153,58,37,27,4,27,59,15,6
燃え殻,,,,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,,,,18392,3184,500,14675,0,0,0,0,15,1,3,7,1,0,2,4,0
汚泥,上水汚泥,,,425,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,14253,0,4,14249,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,3029,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,その他の汚泥,,,685,155,496,1,0,0,0,0,15,1,3,7,1,0,2,4,0
廃油,,,,20,3,12,0,0,0,0,0,0,0,1,3,0,0,0,0,1
廃酸,,,,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廃アルカリ,,,,5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
廃プラスチック類,,,,285,85,31,0,1,0,4,18,69,13,16,8,3,12,18,4,3
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,249,94,55,0,0,0,3,27,37,8,5,7,0,6,3,2,2
ガラス・陶磁器くず,,,,724,196,501,0,0,0,0,2,11,6,3,2,0,1,0,2,0
鉱さい,,,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,,,,6385,6256,92,0,0,20,6,0,0,9,2,0,0,0,0,0,0
がれき類,コンクリート塊,,,4322,4213,88,0,0,15,0,0,0,5,1,0,0,0,0,0,0
がれき類,アスファルト･コンクリート塊,,,1175,1168,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0
がれき類,その他のがれき類,,,888,875,3,0,0,4,3,0,0,2,1,0,0,0,0,0,0
石綿含有産業廃棄物,,,,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ばいじん,,,,9,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0
紙くず,,,,74,28,44,0,0,0,0,0,0,2,0,0,0,0,0,0,0
木くず,,,,321,282,11,0,0,0,0,1,19,8,0,0,0,0,0,0,0
繊維くず,,,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動植物性残さ,,,,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物系固形不要物,,,,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
動物のふん尿,,,,39,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,283,259,3,0,0,0,3,2,0,10,3,0,0,1,0,2,0
その他,,,,4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
特別管理産業廃棄物,,,,70,9,16,0,0,0,0,0,0,0,4,0,0,6,35,0,0
特別管理産業廃棄物,廃油,,,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
特別管理産業廃棄物,廃酸,,,10,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0
特別管理産業廃棄物,廃アルカリ,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,感染性廃棄物,,,36,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0
特別管理産業廃棄物,特定有害廃棄物,,,19,9,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,,10,0,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,6,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
