物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1,アクロレイン,,,,,,,,,,,
2,アセトン,5,2540.0,0.0,0.0,2520.0,2520.0,0.0,0.0,0.0,0.0,0.0
3,イソアミルアルコール,,,,,,,,,,,
4,イソプロピルアルコール,8,35650.0,0.0,600.0,19395.0,19395.0,0.0,0.0,15545.0,15150.0,345.0
5,エチレン,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,
8,塩酸,2,4980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,塩素,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,
11,キシレン,2,2210.0,0.0,0.0,620.0,620.0,0.0,0.0,1400.0,1400.0,0.0
12,クロム及び三価クロム化合物,,,,,,,,,,,
13,六価クロム化合物,,,,,,,,,,,
14,クロルピクリン,,,,,,,,,,,
15,クロロホルム,1,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0
16,酢酸エチル,1,250.0,0.0,0.0,110.0,110.0,0.0,0.0,140.0,140.0,0.0
17,酢酸ブチル,1,930.0,0.0,0.0,280.0,280.0,0.0,0.0,650.0,650.0,0.0
18,酢酸メチル,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化物）,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,
26,ジクロロメタン,5,2320.0,0.0,0.0,1718.0,1718.0,0.0,0.0,610.0,610.0,0.0
27,シマジン,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,
29,硝酸,5,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,670.0,0.0
30,水銀及びその化合物,,,,,,,,,,,
31,スチレン,,,,,,,,,,,
32,セレン及びその化合物,,,,,,,,,,,
33,チウラム,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,
35,テトラクロロエチレン,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,
38,トリクロロエチレン,,,,,,,,,,,
39,トルエン,3,1900.0,0.0,0.0,1100.0,1100.0,0.0,0.0,710.0,710.0,0.0
40,鉛及びその化合物,,,,,,,,,,,
41,ニッケル,2,200.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ニッケル化合物,3,2860.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,515.0,0.0
43,二硫化炭素,,,,,,,,,,,
44,砒素及びその無機化合物,1,9100.0,0.0,0.0,0.0,0.0,0.0,0.0,9100.0,9100.0,0.0
45,ＰＣＢ,,,,,,,,,,,
46,ピリジン,,,,,,,,,,,
47,フェノール,1,340.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,340.0,0.0
48,ふっ化水素及びその水溶性塩,,,,,,,,,,,
49,ヘキサン,4,3820.0,0.0,0.0,788.0,788.0,0.0,0.0,3060.0,3060.0,0.0
50,ベンゼン,,,,,,,,,,,
51,ホルムアルデヒド,,,,,,,,,,,
52,マンガン及びその化合物,,,,,,,,,,,
53,メタノール,8,9890.0,0.0,0.0,2420.0,2420.0,0.0,0.0,6842.0,6834.0,8.0
54,メチルイソブチルケトン,,,,,,,,,,,
55,メチルエチルケトン,,,,,,,,,,,
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,
57,硫酸,6,5010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,ほう素及びその化合物,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,総計,59,83470.0,0.0,780.0,28951.0,28951.0,0.0,0.0,39692.0,39289.0,353.0
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
