項目名,毒性等価係数,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,旧二枚橋衛生組合ごみ処理施設周辺地区／調布市野水1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDD",0,0.20,0.06,230,0.21,0.06,250,0.20,0.06,270,0.21,0.06,260,0.21,0.06,300
"1,3,7,9-TeCDD",0,0.20,0.06,190,0.21,0.06,190,0.20,0.06,210,0.21,0.06,210,0.21,0.06,260
"2,3,7,8-TeCDD",1,0.20,0.06,13,0.21,0.06,14,0.20,0.06,15,0.21,0.06,16,0.21,0.06,16
"1,2,3,7,8-PeCDD",1,0.21,0.06,92,0.21,0.06,97,0.20,0.06,110,0.21,0.06,99,0.21,0.06,110
"1,2,3,4,7-PeCDD",0,0.21,0.06,120,0.21,0.06,120,0.20,0.06,130,0.21,0.06,120,0.21,0.06,150
"1,2,3,4,7,8-HxCDD",0.1,0.4,0.1,92,0.4,0.1,98,0.4,0.1,97,0.4,0.1,100,0.4,0.1,110
"1,2,3,6,7,8-HxCDD",0.1,0.4,0.1,150,0.4,0.1,170,0.3,0.1,170,0.4,0.1,170,0.4,0.1,200
"1,2,3,7,8,9-HxCDD",0.1,0.5,0.2,140,0.6,0.2,160,0.5,0.2,150,0.6,0.2,160,0.6,0.2,180
"1,2,3,4,6,7,8-HpCDD",0.01,1.6,0.5,950,1.6,0.5,1100,1.6,0.5,1000,1.6,0.5,1100,1.6,0.5,1400
OCDD,0.0003,2.7,0.8,1600,2.8,0.9,2500,2.7,0.8,1900,2.8,0.8,2000,2.8,0.8,5800
"1,3,6,8-TeCDF",0,0.3,0.1,36,0.3,0.1,33,0.3,0.1,33,0.3,0.1,34,0.3,0.1,36
"1,2,7,8-TeCDF",0,0.3,0.1,46,0.3,0.1,46,0.3,0.1,47,0.3,0.1,50,0.3,0.1,49
"2,3,7,8-TeCDF",0.1,0.3,0.1,46,0.3,0.1,47,0.3,0.1,44,0.3,0.1,54,0.3,0.1,52
"1,2,3,7,8-PeCDF",0.03,0.5,0.2,77,0.5,0.2,84,0.5,0.1,76,0.5,0.2,87,0.5,0.2,86
"2,3,4,7,8-PeCDF",0.3,0.7,0.2,110,0.8,0.2,140,0.7,0.2,120,0.8,0.2,140,0.8,0.2,120
"1,2,3,4,7,8-HxCDF",0.1,0.21,0.06,120,0.22,0.06,130,0.20,0.06,120,0.21,0.06,140,0.21,0.06,140
"1,2,3,6,7,8-HxCDF",0.1,0.28,0.08,140,0.29,0.09,150,0.27,0.08,150,0.29,0.09,170,0.28,0.09,170
"1,2,3,7,8,9-HxCDF",0.1,1.3,0.4,11,1.3,0.4,12,1.2,0.4,11,1.3,0.4,13,1.3,0.4,13
"2,3,4,6,7,8-HxCDF",0.1,0.21,0.06,170,0.22,0.07,180,0.21,0.06,180,0.22,0.06,200,0.22,0.06,180
"1,2,3,4,6,7,8-HpCDF",0.01,1.8,0.5,500,1.8,0.5,520,1.7,0.5,550,1.8,0.5,600,1.8,0.5,600
"1,2,3,4,7,8,9-HpCDF",0.01,1.0,0.3,66,1.0,0.3,72,1.0,0.3,74,1.0,0.3,78,1.0,0.3,76
OCDF,0.0003,1.8,0.5,220,1.9,0.6,250,1.8,0.5,260,1.9,0.6,280,1.9,0.6,310
"3,4,4',5-TeCB(#81)",0.0003,0.6,0.2,8.8,0.6,0.2,7.8,0.6,0.2,13,0.6,0.2,11,0.6,0.2,11
"3,3',4,4'-TeCB(#77)",0.0001,0.5,0.2,71,0.5,0.2,64,0.5,0.1,140,0.5,0.2,85,0.5,0.2,84
"3,3',4,4',5-PeCB(#126)",0.1,0.4,0.1,74,0.4,0.1,75,0.4,0.1,91,0.4,0.1,91,0.4,0.1,88
"3,3',4,4',5,5'-HxCB(#169)",0.03,1.8,0.5,28,1.8,0.6,30,1.7,0.5,33,1.8,0.5,34,1.8,0.5,31
"2',3,4,4',5-PeCB(#123)",0.00003,0.8,0.2,28,0.8,0.2,24,0.8,0.2,52,0.8,0.2,33,0.8,0.2,33
"2,3',4,4',5-PeCB(#118)",0.00003,1.5,0.4,300,1.5,0.5,280,1.4,0.4,570,1.5,0.5,410,1.5,0.4,400
"2,3,3',4,4'-PeCB(#105)",0.00003,0.8,0.2,140,0.8,0.2,140,0.8,0.2,320,0.8,0.2,190,0.8,0.2,170
"2,3,4,4',5-PeCB(#114)",0.00003,0.6,0.2,7.0,0.6,0.2,6.3,0.6,0.2,18,0.6,0.2,9.9,0.6,0.2,8.1
"2,3',4,4',5,5'-HxCB(#167)",0.00003,1.4,0.4,65,1.5,0.4,52,1.4,0.4,82,1.5,0.4,73,1.5,0.4,72
"2,3,3',4,4',5-HxCB(#156)",0.00003,0.15,0.05,81,0.16,0.05,80,0.15,0.04,130,0.16,0.05,110,0.16,0.05,110
"2,3,3',4,4',5'-HxCB(#157)",0.00003,0.4,0.1,51,0.5,0.1,50,0.4,0.1,70,0.4,0.1,65,0.4,0.1,60
"2,3,3',4,4',5,5'-HpCB(#189)",0.00003,1.9,0.6,31,2.0,0.6,32,1.9,0.6,42,2.0,0.6,42,2.0,0.6,39
TeCDDs ,,―,―,740,―,―,780,―,―,810,―,―,840,―,―,950
PeCDDs ,,―,―,1300,―,―,1300,―,―,1400,―,―,1300,―,―,1500
HxCDDs ,,―,―,1800,―,―,1900,―,―,2000,―,―,2100,―,―,2200
HpCDDs,,―,―,1700,―,―,1900,―,―,1900,―,―,2000,―,―,2600
