ダイオキシン類異性体等分析結果（第３回 令和元年１１月：区部）,,,,,,,,,,,,,,,,ダイオキシン類異性体等分析結果（第３回 令和元年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（令和元年11月13日～11月20日）,,,,,,,,,,単位：pg/m3,,,実測濃度,,,（令和元年11月13日～11月20日）,,,,,,,,,,,,,,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉　","⑧江戸川区
春江町局",,,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,"定量
下限値","検出
下限値","⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩郡
檜原局","定量
下限値","検出
下限値"
,,,,,,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,,,,,,,,,11月13日～20日,11月13日～20日,,,,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,11月13日～20日,,11月13日～20日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0018,0.0006,0.077,0.082,0.069,0.088,0.065,0.12,0.13,0.13,,,PCDDs,,"1,3,6,8-TeCDD",0,－,－,0.049,0.04,,0.0018,0.0006,0.15,0.042,0.081,0.066,0.043,0.084,,0.0098,0.0006,0.0002
,,"1,3,7,9-TeCDD",0,0.0018,0.0006,0.032,0.032,0.029,0.036,0.026,0.057,0.055,0.058,,,,,"1,3,7,9-TeCDD",0,－,－,0.02,0.016,,0.0018,0.0006,0.073,0.018,0.038,0.033,0.018,0.034,,0.0046,0.0006,0.0002
,,"2,3,7,8-TeCDD",1,0.0018,0.0006,ND,0.0012,ND,0.0006,ND,0.001,0.0022,0.0013,,,,,"2,3,7,8-TeCDD",1,0.005,0.001,ND,ND,,0.0018,0.0006,0.0012,ND,0.001,0.0009,ND,0.0006,,ND,0.0006,0.0002
,,TeCDDs,－,－,－,0.15,0.15,0.13,0.17,0.12,0.24,0.26,0.26,,,,,TeCDDs,－,－,－,0.085,0.058,,－,－,0.33,0.079,0.16,0.14,0.08,0.16,,0.021,－,－
,,"1,2,3,7,8-PeCDD",1,0.0033,0.0009,ND,0.0026,0.0022,0.0051,0.0024,0.0069,0.013,0.006,,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,ND,0.002,,0.0033,0.0009,ND,ND,0.006,0.0027,0.002,0.0043,,ND,0.0011,0.0003
,,PeCDDs,－,－,－,0.089,0.095,0.078,0.11,0.067,0.18,0.2,0.15,,,,,PeCDDs,－,－,－,0.062,0.043,,－,－,0.27,0.049,0.12,0.13,0.057,0.098,,0.022,－,－
,,"1,2,3,4,7,8-HxCDD",0.1,0.005,0.001,0.003,0.003,0.002,0.005,0.003,0.006,0.014,0.006,,,,,"1,2,3,4,7,8-HxCDD",0.1,0.009,0.003,ND,ND,,0.005,0.001,0.007,0.002,ND,0.004,0.003,0.004,,0.0008,0.0018,0.0005
,,"1,2,3,6,7,8-HxCDD",0.1,0.006,0.002,0.007,0.008,0.005,0.01,0.006,0.012,0.018,0.011,,,,,"1,2,3,6,7,8-HxCDD",0.1,0.008,0.002,0.006,0.004,,0.006,0.002,0.015,0.005,0.017,0.007,0.005,0.008,,0.0014,0.0019,0.0006
,,"1,2,3,7,8,9-HxCDD",0.1,0.005,0.002,0.006,0.006,0.005,0.008,0.005,0.01,0.02,0.009,,,,,"1,2,3,7,8,9-HxCDD",0.1,0.009,0.003,0.005,0.003,,0.005,0.002,0.012,0.003,0.012,0.006,0.005,0.006,,0.0011,0.0018,0.0006
,,HxCDDs,－,－,－,0.12,0.12,0.093,0.15,0.1,0.21,0.26,0.17,,,,,HxCDDs,－,－,－,0.098,0.072,,－,－,0.35,0.081,0.19,0.16,0.088,0.12,,0.03,－,－
