試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成27年9月21日／((4)は､9月20日採取),―,不検出 ／(<6.6)／(<6.9),―,不検出 ／(<7.2)／(<6.6),不検出 ／(<7.6)／(<7.8),―,不検出 ／(<6.4)／(<6.5),―,―,不検出 ／(<6.2)／(<6.0)
平成27年9月14日,不検出 ／(<6.6)／(<8.0),―,134Cs: 不検出／(<7.2)／137Cs: 19／合計: 26,―,―,不検出 ／(<6.8)／(<7.4),―,不検出 ／(<6.9)／(<6.7),不検出 ／(<7.6)／(<5.9),―
平成27年9月7日／((4)は､9月6日採取),―,不検出 ／(<6.9)／(<8.2),―,不検出 ／(<6.5)／(<6.3),不検出 ／(<7.1)／(<8.0),―,不検出 ／(<7.3)／(<7.6),―,―,不検出 ／(<5.3)／(<7.6)
平成27年8月31日,不検出 ／(<7.1)／(<6.6),―,134Cs: 7.2／137Cs: 27／合計: 34,―,―,不検出 ／(<7.8)／(<5.5),―,不検出 ／(<7.0)／(<6.2),不検出 ／(<6.7)／(<6.9),―
平成27年8月24日／((4)は､8月23日採取),―,不検出 ／(<6.9)／(<8.0),―,不検出 ／(<4.6)／(<5.8),不検出 ／(<5.2)／(<6.8),―,不検出 ／(<6.2)／(<6.7),―,―,不検出 ／(<8.1)／(<7.5)
平成27年8月17日,不検出 ／(<7.1)／(<6.5),―,134Cs: 不検出／(<6.9)／137Cs: 20／合計: 27,―,―,不検出 ／(<6.2)／(<6.8),―,不検出 ／(<7.0)／(<6.3),不検出 ／(<7.5)／(<6.2),―
平成27年8月10日／((4)は､8月9日採取),―,不検出 ／(<5.9)／(<6.5),―,不検出 ／(<5.5)／(<6.2),不検出 ／(<6.2)／(<7.1),―,不検出 ／(<5.9)／(<6.5),―,―,不検出 ／(<7.6)／(<6.2)
平成27年8月3日,不検出 ／(<6.6)／(<8.5),―,134Cs: 不検出／(<6.0)／137Cs: 22／合計: 28,―,―,不検出 ／(<7.3)／(<7.1),―,不検出 ／(<7.3)／(<7.8),不検出 ／(<7.0)／(<8.1),―
平成27年7月27日／((4)は､7月26日採取),―,不検出 ／(<7.0)／(<6.6),―,不検出 ／(<6.2)／(<5.3),不検出 ／(<7.3)／(<6.1),―,不検出 ／(<7.4)／(<5.8),―,―,不検出 ／(<5.7)／(<6.2)
平成27年7月20日,不検出 ／(<7.4)／(<6.1),―,134Cs: 7.3／137Cs: 25／合計: 32,―,―,不検出 ／(<7.1)／(<6.7),―,不検出 ／(<6.6)／(<6.8),不検出 ／(<6.5)／(<7.1),―
平成27年7月13日／((4)は､7月12日採取),―,不検出 ／(<5.7)／(<6.2),―,不検出 ／(<5.4)／(<5.6),不検出 ／(<6.8)／(<7.6),―,不検出 ／(<6.0)／(<7.1),―,―,不検出 ／(<7.5)／(<6.1)
平成27年7月6日,不検出 ／(<6.5)／(<5.7),―,134Cs: 7.5／137Cs: 26／合計: 34,―,―,不検出 ／(<7.7)／(<6.7),―,不検出 ／(<4.6)／(<6.0),不検出 ／(<6.1)／(<5.4),―
平成27年6月29日,―,不検出 ／(<7.8)／(<7.6),―,不検出 ／(<6.0)／(<5.2),不検出 ／(<6.0)／(<9.0),―,不検出 ／(<8.1)／(<7.8),―,―,不検出 ／(<7.0)／(<5.8)
