種類,,東京都内／平成28年度／処分量（千ｔ）,東京都内／平成28年度／都内処分率（%）,東京都内／平成29年度／処分量（千ｔ）,東京都内／平成29年度／都内処分率（%）,東京都外／平成28年度／処分量（千ｔ）,東京都外／平成28年度／都外処分率（%）,東京都外／平成29年度／処分量（千ｔ）,東京都外／平成29年度／都外処分率（%）,
汚泥,,38,27.3,36,26.5,101,72.7,100,73.5,
汚泥,上水,13,100.0,8,100.0,0,0.0,0,0.0,
汚泥,下水,18,100.0,23,100.0,0,0.0,0,0.0,
汚泥,建設,6,11.3,4,6.1,47,88.7,62,93.9,
汚泥,その他,1,1.8,1,2.6,54,98.2,38,97.4,
廃油,,0,0.0,0,0.0,0,0.0,0,0.0,
廃酸,,0,0.0,0,0.0,3,100.0,1,100.0,
廃アルカリ,,0,0.0,0,0.0,0,0.0,0,0.0,
廃プラスチック類,,0,0.0,0,0.0,23,100.0,27,100.0,
金属くず,,0,0.0,0,0.0,0,0.0,1,100.0,
ガラス・陶磁器くず,,1,0.8,61,35.9,121,99.2,109,64.1,
がれき類,,0,0.0,0,0.0,108,100.0,116,100.0,
木くず,,0,0.0,0,0.0,3,100.0,3,100.0,
混合廃棄物,,0,0.0,0,0.0,104,100.0,75,100.0,
特別管理産業廃棄物,,0,0.0,0,0.0,10,100.0,7,100.0,
特別管理産業廃棄物,感染性廃棄物,0,0.0,0,0.0,3,100.0,1,100.0,
その他,,10,14.7,10,20.8,58,85.3,38,79.2,
合計,,49,8.4,107,18.3,531,91.6,477,81.7,
上下水汚泥除く計,,18,3.3,76,13.7,531,96.7,477,86.3,
