試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成29年9月25日／((4)は9月24日採取),―,不検出 ／(<6.8)／(<7.8),―,不検出 ／(<7.7)／(<6.5),不検出 ／(<6.8)／(<5.3),―,不検出 ／(<7.2)／(<6.3),―,―,不検出 ／(<6.1)／(<7.0)
平成29年9月18日,不検出 ／(<7.0)／(<8.0),―,134Cs:不検出 ／(<7.7)／137Cs: 41／合計:49,―,―,不検出 ／(<7.0)／(<7.4),―,不検出 ／(<5.9)／(<5.9),不検出 ／(<5.7)／(<7.1),―
平成29年9月11日／((4)は9月10日採取),―,不検出 ／(<7.1)／(<6.4),―,不検出 ／(<6.2)／(<6.0),不検出 ／(<5.6)／(<8.0),―,不検出 ／(<6.6)／(<6.4),―,―,不検出 ／(<7.0)／(<7.7)
平成29年9月4日／((1)(3)は9月1日試料採取),不検出 ／(<7.6)／(<6.5),―,134Cs:不検出 ／(<7.2)／137Cs: 36／合計:43,―,―,不検出 ／(<6.4)／(<7.3),―,不検出 ／(<6.6)／(<7.6),不検出 ／(<6.4)／(<7.1),―
平成29年8月28日／((4)は8月27日採取),―,不検出 ／(<6.1)／(<6.2),―,不検出 ／(<6.1)／(<5.7),不検出 ／(<6.7)／(<7.4),―,不検出 ／(<7.0)／(<8.0),―,―,不検出 ／(<7.0)／(<6.8)
平成29年8月21日,不検出 ／(<7.8)／(<6.5),―,134Cs:不検出 ／(<9.9)／137Cs: 37／合計:47,―,―,不検出 ／(<6.7)／(<6.7),―,不検出 ／(<7.3)／(<5.7),不検出 ／(<6.4)／(<8.5),―
平成29年8月14日／((4)は8月13日採取)(注1),―,不検出 ／(<7.3)／(<7.6),―,不検出 ／(<5.3)／(<7.3),不検出 ／(<5.4)／(<6.6),―,不検出 ／(<8.1)／(<8.0),―,―,不検出 ／(<7.1)／(<6.1)
平成29年8月7日／((4)は､8月6日採取),―,不検出 ／(<5.7)／(<6.2),―,不検出 ／(<6.9)／(<7.8),不検出 ／(<6.4)／(<6.1),―,不検出 ／(<6.4)／(<7.5),―,―,不検出 ／(<7.1)／(<6.7)
平成29年7月31日,不検出 ／(<7.8)／(<6.6),―,134Cs:不検出 ／(<7.3)／137Cs: 44／合計:51,―,―,不検出 ／(<7.3)／(<6.7),―,不検出 ／(<6.0)／(<6.6),不検出 ／(<6.2)／(<7.7),―
平成29年7月24日／((4)は7月23日採取)(注1),―,不検出 ／(<6.7)／(<5.3),―,不検出 ／(<6.0)／(<7.0),不検出 ／(<8.0)／(<5.7),―,不検出 ／(<6.9)／(<6.2),―,―,不検出 ／(<6.4)／(<5.9)
平成29年7月17日／((4)は､7月16日採取),―,不検出 ／(<7.5)／(<7.3),―,不検出 ／(<6.6)／(<6.6),不検出 ／(<6.6)／(<6.9),―,不検出 ／(<6.5)／(<7.4),―,―,不検出 ／(<7.1)／(<6.0)
平成29年7月10日,不検出 ／(<7.8)／(<6.9),―,134Cs:不検出 ／(<7.1)／137Cs: 29／合計:36,―,―,不検出 ／(<6.6)／(<6.7),―,不検出 ／(<5.7)／(<6.8),不検出 ／(<6.7)／(<6.0),―
平成29年7月3日／((4)は､7月2日採取),―,不検出 ／(<6.3)／(<7.6),―,不検出 ／(<7.9)／(<7.6),不検出 ／(<6.3)／(<7.8),―,不検出 ／(<7.5)／(<7.6),―,―,不検出 ／(<7.0)／(<6.9)
