処分先,合計（千t）,燃え殻（千t）,汚泥（千t）,汚泥／上水汚泥（千t）,汚泥／下水汚泥（千t）,汚泥／建設汚泥（千t）,汚泥／その他の汚泥（千t）,廃油（千t）,廃酸（千t）,廃アルカリ（千t）,廃プラスチック類（千t）,ゴムくず（千t）,金属くず（千t）,ガラス・陶磁器くず（千t）,鉱さい（千t）,がれき類（千t）,がれき類／コンクリート塊（千t）,がれき類／アスファルト･コンクリート塊（千t）,がれき類／その他のがれき類（千t）,石綿含有産業廃棄物（千t）,ばいじん（千t）,紙くず（千t）,木くず（千t）,繊維くず（千t）,動植物性残さ（千t）,動物系固形不要物（千t）,動物のふん尿（千t）,動物の死体（千t）,政令13号物（千t）,混合廃棄物（千t）,その他（千t）,特別管理産業廃棄物（千t）,特別管理産業廃棄物／廃油（千t）,特別管理産業廃棄物／廃酸（千t）,特別管理産業廃棄物／廃アルカリ（千t）,特別管理産業廃棄物／感染性廃棄物（千t）,特別管理産業廃棄物／特定有害廃棄物（千t）,特別管理産業廃棄物／特定有害廃棄物／廃ＰＣＢ等（千t）,特別管理産業廃棄物／特定有害廃棄物／廃石綿等（千t）,特別管理産業廃棄物／特定有害廃棄物／その他（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／指定下水道汚泥（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／鉱さい（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／燃え殻（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／ばいじん（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／廃油（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／汚泥（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／廃酸（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／廃アルカリ（千t）,特別管理産業廃棄物／特定有害廃棄物／その他／廃水銀等（千t）
合計,128,0,15,0,0,0,15,0,0,0,69,0,12,11,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,24,0,3,0,0,0,3,0,0,0,15,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,10,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,71,0,11,0,0,0,11,0,0,0,35,0,7,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,14,0,1,0,0,0,1,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
