項目名,毒性等価係数,八王子市小比企町／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,三鷹市下連雀6／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,調布市八雲台1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小平市花小金井6／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,国立市富士見台2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,清瀬市中清戸1／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,多摩市落合2／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,大島町元町字佐吾右衛門野地／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,新島村本村4／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,神津島村／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）,小笠原村母島字元地／定量下限値（pg/g）,検出下限値（pg/g）,分析値（pg/g）
"1,3,6,8-TeCDD",0,0.2,0.05,6.6,0.2,0.05,32,0.2,0.05,6.7,0.2,0.05,6.8,0.2,0.05,19,0.2,0.05,31,0.2,0.05,32,0.2,0.05,0.93,0.1,0.04,3.8,0.2,0.05,3.8,0.2,0.05,0.58
"1,3,7,9-TeCDD",0,0.2,0.05,2.2,0.2,0.05,16,0.2,0.05,3.5,0.2,0.05,3.3,0.2,0.05,9.8,0.2,0.05,11,0.2,0.05,15,0.2,0.05,0.48,0.1,0.04,1.8,0.2,0.05,2.7,0.2,0.05,0.29
"2,3,7,8-TeCDD",1,0.2,0.05,N.D.,0.2,0.05,0.81,0.2,0.05,0.23,0.2,0.05,0.2,0.2,0.05,0.57,0.2,0.05,0.2,0.2,0.05,0.26,0.2,0.05,(0.06),0.1,0.04,(0.08),0.2,0.05,0.74,0.2,0.05,N.D.
"1,2,3,7,8-PeCDD",1,0.2,0.06,(0.16),0.2,0.06,3.7,0.2,0.06,1.5,0.2,0.07,1.2,0.2,0.06,2.9,0.2,0.06,0.97,0.2,0.06,1.7,0.2,0.06,0.33,0.2,0.06,0.55,0.2,0.06,3.3,0.2,0.06,0.23
"1,2,3,4,7+1,2,3,4,6-PeCDD",0,0.2,0.06,(0.19),0.2,0.06,4.4,0.2,0.06,1.2,0.2,0.07,1.1,0.2,0.06,3.7,0.2,0.06,1.3,0.2,0.06,1.3,0.2,0.06,N.D.,0.2,0.06,0.71,0.2,0.06,2.5,0.2,0.06,N.D.
"1,2,3,4,7,8-HxCDD",0.1,0.6,0.2,(0.2),0.6,0.2,3.4,0.6,0.2,1.1,0.7,0.2,1.3,0.6,0.2,2.6,0.6,0.2,1.1,0.7,0.2,1.7,0.6,0.2,(0.2),0.6,0.2,0.6,0.6,0.2,2.6,0.6,0.2,(0.3)
"1,2,3,6,7,8-HxCDD",0.1,0.2,0.07,0.44,0.2,0.07,6.7,0.2,0.07,6.0,0.3,0.08,3.5,0.2,0.07,4.7,0.2,0.07,2.3,0.2,0.07,3.8,0.2,0.07,0.53,0.2,0.07,1.1,0.2,0.07,3.6,0.2,0.07,0.74
"1,2,3,7,8,9-HxCDD",0.1,0.3,0.09,0.47,0.3,0.09,6.6,0.3,0.09,4.8,0.3,0.1,4.4,0.3,0.1,4.8,0.3,0.09,2.2,0.3,0.1,4.4,0.3,0.09,1.3,0.3,0.09,1.0,0.3,0.09,4.2,0.3,0.09,0.90
"1,2,3,4,6,7,8-HpCDD",0.01,1,0.4,5.8,1,0.4,61,1,0.4,23,1,0.4,52,1,0.4,38,1,0.4,31,1,0.4,49,1,0.4,4.6,1,0.4,13,1,0.4,76,1,0.4,14
OCDD,0.0003,2,0.7,100,2,0.7,300,2,0.7,89,3,0.8,1200,2,0.7,230,2,0.7,480,3,0.8,500,2,0.7,36,2,0.7,190,2,0.7,5100,2,0.7,340
