No,項目番号,点検項目【大分類】,点検項目【中分類】,点検項目【小分類】,点検項目,対策番号 ※1,効果の目安 ※2,エネルギーシェア ※3,備考 ※4,大規模事業所の取組状況【1】(事業所数),大規模事業所の取組状況【2】(事業所数),大規模事業所の取組状況【3】(事業所数),大規模事業所の取組状況【4】(事業所数),大規模事業所の取組状況【5】(事業所数),大規模事業所の取組状況【6】(事業所数),凡例【1】 ※5,凡例【2】 ※5,凡例【3】 ※5,凡例【4】 ※5,凡例【5】 ※5,凡例【6】 ※5
1,1,エネルギーの見える化,,,エネルギー管理システムの導入,1 3.1,A,,,14,71,43,26,17,,エネルギー管理システムによるフィードバック＋見える化,詳細計測＋機器効率管理＋フィードバック,用途別＋系統別把握,用途別把握,課金メータ程度,-
2,2,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,,,高効率蒸気ボイラー及び高効率熱源機器の導入,2 1a.1、1b.1,A,-,,,,,,,,-,-,-,-,-,-
3,3-1,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,,省エネ形相当品,2 1b.7,C,-,※4,43,16,14,12,27,70,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
4,3-2,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,ファン,モータ直結形ファン,2 1b.7,C,-,※4,15,4,11,18,67,71,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
5,3-3,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,ファン,永久磁石(IPM)モータ,2 1b.7,C,-,※4,3,1,0,2,108,72,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
6,3-4,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,ファン,プレミアム効率（IE3）モータ,2 1b.7,C,-,※4,2,0,3,12,98,71,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
7,3-5,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,ファン,高効率（IE2）モータ,2 1b.7,C,-,※4,1,1,1,8,104,71,全て,大半,半分,一部,導入無し,冷却塔無し or空欄
8,3-6,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,散水ポンプ,永久磁石(IPM)モータ,2 1b.7,C,-,※4,2,0,0,1,66,117,全て,大半,半分,一部,導入無し,散水ポンプ無し or空欄
9,3-7,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,散水ポンプ,プレミアム効率（IE3）モータ,2 1b.7,C,-,※4,1,0,0,5,63,117,全て,大半,半分,一部,導入無し,散水ポンプ無し or空欄
10,3-8,蒸気供給設備、熱源・熱搬送設備、冷却設備、コージェネレーション設備,高効率冷却塔及び省エネ制御の導入,散水ポンプ,高効率（IE2）モータ,2 1b.7,C,-,※4,0,1,0,7,61,117,全て,大半,半分,一部,導入無し,散水ポンプ無し or空欄
