年度,建設汚泥（千t）,その他の汚泥（千t）,木くず（千t）,廃プラスチック類（千t）,がれき類（千t）,その他（千t）,上下水除く計（千t）
昭和57,1392,1254,5,11,0,52,2713
昭和62,645,1399,36,9,0,52,2141
平成4　,564,1400,193,68,0,145,2370
平成10,1982,1566,62,56,40,281,3987
平成15,1297,854,8,53,178,414,2804
平成16,2472,530,13,58,190,507,3771
平成17,1037,490,37,107,1,406,2078
平成18,971,613,135,154,0,297,2171
平成19,945,745,147,111,164,305,2417
平成20,1029,514,18,45,100,359,2065
平成21,1098,448,17,76,94,230,1962
平成22,1046,197,17,84,109,239,1692
平成23,961,318,19,84,101,266,1749
平成24,1121,362,15,76,90,202,1866
平成25,605,528,245,93,10,234,1715
平成26,794,470,105,92,14,186,1661
平成27,761,393,81,103,29,133,1500
平成28,1272,476,23,75,8,181,2035
平成29,1774,496,47,76,63,219,2675
