床材の種類,,適用接着剤,該当JIS No.,施工時の下地条件／モルタルコンクリート下地／乾燥しているＡ,施工時の下地条件／モルタルコンクリート下地／表面は乾燥しているが湿気が残っているＢ,施工時の下地条件／木質下地Ｃ,施工時の下地条件／金属下地Ｄ,施工時の下地条件／セルフレベリング下地（せっこう・セメント系）Ｅ,施工後の使用条件／一般的な使用Ｆ,施工後の使用条件／耐水性を要する箇所（トイレ・厨房など）Ｇ,施工後の使用条件／耐熱性を要する箇所（床暖房など）Ｈ,施工後の使用条件／動荷重の移動する場所（医療機器・手押し車など）Ｉ,塗布量（g/m2）,ＶＯＣ量（g/m2）
コンポジションビニル床タイル,,酢酸ビニル樹脂系溶剤形,JIS A 5536,◎,×,◎,×,○,◎,×,×,×,350,140
コンポジションビニル床タイル,,ビニル共重合樹脂系溶剤形,JIS A 5536,◎,×,◎,×,○,◎,×,×,×,350,140
コンポジションビニル床タイル,,ビニル共重合樹脂系エマルション形,JIS A 5536,◎,×,◎,×,×,◎,×,×,×,300,9
コンポジションビニル床タイル,,アクリル樹脂系エマルション形,JIS A 5536,◎,×,◎,×,×,◎,×,×,×,300,9
コンポジションビニル床タイル,,ゴム系ラテックス形,JIS A 5536,◎,×,○,×,×,◎,×,×,×,300,9
コンポジションビニル床タイル,,エポキシ樹脂系,JIS A 5536,◎,○,◎,◎,○,◎,◎,◎,◎,350,105
コンポジションビニル床タイル,,ウレタン樹脂系,JIS A 5536,◎,○,◎,◎,○,◎,◎,◎,◎,350,105
ホモジニアスビニル床タイル,,ビニル共重合樹脂系溶剤形,JIS A 5536,◎,×,◎,×,○,◎,×,×,×,350,140
ホモジニアスビニル床タイル,,アクリル樹脂系エマルション形,JIS A 5536,◎,×,○,×,×,◎,×,×,×,300,9
ホモジニアスビニル床タイル,,エポキシ樹脂系,JIS A 5536,◎,○,◎,◎,○,◎,◎,◎,◎,350,105
ホモジニアスビニル床タイル,,ウレタン樹脂系,JIS A 5536,◎,○,◎,◎,○,◎,◎,◎,◎,350,105
ピュアビニル床タイル,,ビニル共重合樹脂系溶剤形,JIS A 5536,○,×,◎,×,×,○,×,×,×,350,140
ピュアビニル床タイル,,エポキシ樹脂系,JIS A 5536,◎,○,◎,◎,○,◎,◎,◎,◎,350,105
ピュアビニル床タイル,,ウレタン樹脂系,JIS A 5536,◎,○,○,○,○,◎,○,○,○,350,105
ゴム質系床タイル,,クロロプレンゴム系溶剤形,JIS A 5536,◎,×,○,◎,×,◎,×,×,◎,450,360
