項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8二重測定,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.06,0.02,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.06,0.02,-,pg/L,0.34,0.69,19,20,0.49,0.33,1.2,1,0.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.06,0.02,-,pg/L,0.14,0.25,8.1,7.8,0.19,0.16,0.5,0.42,0.29
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,0.62,0.94,28,29,0.76,2.3,2.2,2.1,1.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,ND,ND,(0.08),ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",-,-,-,pg/L,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,ND,0.11,4.1,3.6,0.07,0.13,0.31,0.33,0.19
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.16,0.05,0.1,pg/L,ND,ND,(0.12),(0.11),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.21,0.06,0.1,pg/L,ND,ND,0.29,0.27,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,ND,ND,0.24,0.23,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,0.08,0.08,3,2.7,ND,0.19,0.22,0.44,0.09
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.17,0.05,0.01,pg/L,0.69,0.48,7.3,6.4,1.1,0.39,1.2,1,0.86
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,1.4,1.1,16,14,2.2,0.92,2.7,2.3,1.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.28,0.08,0.0003,pg/L,8.4,6.2,140,110,9,4.6,16,13,11
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,10,8.5,190,160,12,8.1,21,18,14
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.11,0.03,0.1,pg/L,ND,ND,(0.10),(0.08),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.09,0.03,-,pg/L,ND,ND,0.12,0.1,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.11,0.03,-,pg/L,ND,ND,(0.10),(0.08),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,0.07,0.07,3.1,2.7,0.33,0.33,0.23,0.53,0.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,ND,ND,(0.07),0.1,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.09,0.03,0.3,pg/L,ND,ND,0.09,(0.07),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,0.8,1.3,3,3.2,2.3,1.1,1.8,4.6,3.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.16,0.05,0.1,pg/L,ND,ND,0.19,0.18,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.15,0.05,0.1,pg/L,ND,ND,0.15,0.16,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.19,0.06,0.1,pg/L,ND,ND,0.26,0.24,ND,ND,ND,(0.08),(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,1.4,1.7,4.6,4.2,3.2,1,2.7,6.4,5.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.18,0.05,0.01,pg/L,0.35,0.24,1.4,1.4,0.56,(0.18),0.43,0.42,0.31
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.16,0.05,0.01,pg/L,ND,ND,0.23,0.16,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,1.1,0.7,4.3,3.9,1.4,0.45,1.1,1.8,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.29,0.09,0.0003,pg/L,1.1,0.49,3.9,3.4,0.67,(0.28),0.77,0.65,0.77
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,4.5,4.2,19,17,7.9,3.2,6.6,14,12
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,15,13,210,180,20,11,28,32,26
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.17,0.05,0.0003,pg/L,ND,(0.07),0.23,0.18,(0.07),(0.07),ND,(0.09),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.18,0.05,0.0001,pg/L,3.1,1.9,22,28,0.75,2.4,1.5,2.5,0.84
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.18,0.05,0.1,pg/L,(0.09),(0.07),0.48,0.44,ND,0.19,(0.06),(0.17),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.16,0.05,0.03,pg/L,ND,ND,(0.05),(0.07),ND,ND,ND,ND,ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,3.2,2,23,29,0.82,2.7,1.6,2.8,0.84
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.18,0.05,0.00003,pg/L,0.47,0.53,0.99,0.95,ND,0.72,0.43,0.6,(0.16)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.19,0.06,0.00003,pg/L,38,29,62,59,7.5,55,26,34,9.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.19,0.06,0.00003,pg/L,11,9,17,16,2.6,16,7.8,11,3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,0.51,0.43,1,0.87,(0.15),0.82,0.27,0.74,(0.11)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.19,0.06,0.00003,pg/L,1,0.75,1.8,1.7,0.28,1.6,0.82,1.3,0.33
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,1.9,1.3,3.7,3.7,0.51,3.4,1.6,2.9,0.63
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.16,0.05,0.00003,pg/L,0.51,0.42,1,0.91,ND,0.97,0.42,0.77,0.19
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.21,0.06,0.00003,pg/L,(0.15),(0.10),0.3,0.25,ND,(0.19),(0.12),(0.14),(0.07)
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,54,42,88,83,11,79,37,51,14
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,57,44,110,110,12,81,39,54,14
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,72,56,320,290,32,93,67,86,41
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,0.064,0.06,0.39,0.29,0.071,0.058,0.073,0.074,0.07
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.012,0.0092,0.054,0.051,0.0037,0.022,0.008,0.02,0.0037
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,0.076,0.07,0.44,0.34,0.074,0.081,0.081,0.094,0.074
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,0.082,0.075,0.44,0.34,0.076,0.09,0.083,0.099,0.076
浮遊物質量（SS）,,,,,mg/L,3,4,10,10,4,3,4,5,7
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
