登録番号,名称,住所,緯度,経度,座標系,電話,古紙,金属,ガラス,古布,その他,その他内容
168,日高工業(株),千代田区飯田橋2-12-1,35.699402,139.749771,JGD2011,03-3261-9731,○,,,,,
169,千代田区リサイクル事業(協),千代田区飯田橋2-12-1,35.699402,139.749771,JGD2011,03-3263-0123,○,,,,,
358,第一商事(株)  東京事業部,港区港南5-6-28,35.6301,139.756653,JGD2011,03-3442-2861,○,○,,,,
177,(株)川藤商会,新宿区西落合1-13-13,35.720596,139.681747,JGD2011,03-3951-6265,○,,,,,
194,藤田健次郎,新宿区山吹町307,35.70665,139.732315,JGD2011,03-3269-1351,○,○,,,,
327,(株)長井紙業,新宿区戸山1-10-15,35.702686,139.719254,JGD2011,03-3203-1653,○,,,,,
42,(株)近吟紙業,文京区白山3-2-4,35.718601,139.743347,JGD2011,03-3811-5579,○,,,,,
45,三弘紙業(株)  フェニックスリサイクルセンター,文京区白山3-1-6,35.717892,139.744522,JGD2011,03-5689-0681,○,,,,,
321,(有)マル浜鈴木紙業,文京区関口1-15-19,35.708458,139.734406,JGD2011,03-3269-2382,○,,,,,
332,武藤商店,文京区音羽1-24-8,35.712543,139.730042,JGD2011,03-3943-3860,○,,,,,
338,斉藤紙業,文京区水道1-5-25,35.709667,139.740509,JGD2011,03-5684-5283,○,,,,,
9,(株)國光  東京事業所,台東区三ノ輪1-5-3,35.72707,139.792801,JGD2011,03-3872-7156,○,,,,,
262,(株)協和,台東区根岸5-7-9,35.727386,139.784256,JGD2011,03-3875-7863,,○,○,,,
315,山仁紙業(株)  本社,台東区三筋1-10-12,35.704292,139.784851,JGD2011,03-3851-0788,○,,,,,
316,(有)北信紙業,台東区松が谷3-3-9,35.715282,139.787811,JGD2011,03-3844-0883,○,,,,,
317,(株)ノボル紙業,台東区竜泉3-9-2,35.724674,139.792496,JGD2011,03-3873-2732,○,,,,,
334,(有)近藤紙業,台東区松が谷1-5-8,35.71175,139.785522,JGD2011,03-3844-0683,○,,,,,
38,(株)山室  隅田店,墨田区堤通1-17-27,35.725731,139.811493,JGD2011,03-3616-1154,○,,,,,
58,(有)藤本春吉商店,墨田区立川3-1-14,35.690201,139.803909,JGD2011,03-3631-7474,,○,○,,,
59,(有)吉田容器店,墨田区立花3-23-12,35.707401,139.835144,JGD2011,03-3619-5535,,○,○,,,
135,東京レンダリング(協),墨田区東墨田1-9-1,35.715397,139.832275,JGD2011,03-3618-2921,,,,,○,廃油
199,二興金属(株),墨田区本所1-10-11,35.702209,139.798264,JGD2011,03-3622-5111,,○,,,,
239,(株)五井金属,墨田区立川2-7-1,35.69091,139.801361,JGD2011,03-3631-4088,,○,,,,
255,(有)塚越商店,墨田区東駒形4-20-9,35.707268,139.804611,JGD2011,03-3626-0689,,○,,,,
271,(株)野口茂樹商店,墨田区横川1-3-6,35.702995,139.810013,JGD2011,03-3625-0593,,○,,,,
318,製紙原料サワムラ商店,墨田区太平1-18-11,35.701523,139.809143,JGD2011,03-3623-6273,○,,,,,
325,東日紙業(株)  墨田支店,墨田区文花2-4-16,35.708496,139.82637,JGD2011,03-3910-1991,○,,,,,
337,(有)石橋商店,墨田区向島3-10-11,35.713501,139.807831,JGD2011,03-3622-4459,○,,,,,
345,(有)吉田容器店  東墨田工場,墨田区東墨田1-3-7,35.717815,139.830734,JGD2011,03-3612-5540,,,○,,○,ﾍﾟｯﾄﾎﾞﾄﾙ
74,東京紙業(株),江東区塩浜2-7-12,35.662048,139.807419,JGD2011,03-3645-9551,○,,,,,
88,(株)荒井商店,江東区新木場4-3-24,35.643555,139.839111,JGD2011,03-3680-3121,,○,,,,
97,(株)松井紙業,江東区海辺11-4,35.681122,139.818329,JGD2011,03-3647-5695,○,,,,,
112,(株)宮崎  新木場営業所,江東区新木場2-7-1,35.638634,139.831757,JGD2011,03-5569-6900,○,,,,,
129,(株)中田  新木場事業所,江東区新木場2-9-9,35.637939,139.824905,JGD2011,03-5569-2078,○,,,,,
131,(株)木場リサイクル,江東区塩浜2-14-2,35.662785,139.809097,JGD2011,03-5665-8808,○,,,,,
134,三東運輸(株)  新木場工場,江東区新木場4-5-4,35.640163,139.837952,JGD2011,03-6457-0289,○,○,○,,○,ﾍﾟｯﾄﾎﾞﾄﾙ、発泡ｽﾁﾛｰﾙ
217,藤ビルメンテナンス(株),江東区新木場3-6-9,35.638317,139.834442,JGD2011,03-3521-0488,○,,○,,,
245,美濃紙業(株)  東雲営業所,江東区東雲2-6-32,35.64138,139.801117,JGD2011,03-3527-5360,○,,,,,
264,広陽サービス(株)  辰巳リサイクルセンター,江東区辰巳3-7-8,35.642025,139.809311,JGD2011,03-5569-7117,○,,,,,
266,広陽サービス(株)  東雲リサイクルセンター,江東区東雲2-10-23/25,35.639233,139.80481,JGD2011,03-5500-0220,,○,○,,○,ﾍﾟｯﾄﾎﾞﾄﾙ
270,有明興業(株)  若洲本社工場,江東区若洲2-8-25,35.619427,139.832596,JGD2011,03-3522-1911,,○,,,,
272,(株)山博  リサイクルセンター江東,江東区新砂3-10-17,35.657635,139.830994,JGD2011,03-3644-7296,○,,,,,
292,東京産資源(株),江東区東砂5-14-17,35.67498,139.842194,JGD2011,03-3645-6131,,○,,,,
294,(有)関東紙業,江東区塩浜2-11-1,35.663513,139.80899,JGD2011,03-3649-5533,○,,,,,
295,ヨシヤコーポレーション(株)  新木場センター,江東区新木場1-13-1,35.641033,139.834671,JGD2011,03-5569-2227,○,,,,,
296,(株)関根商店,江東区扇橋2-6-1,35.683208,139.815048,JGD2011,03-3644-3505,○,,,,,
305,(株)オネスト  新木場リサイクル工場,江東区新木場4-3-26,35.643555,139.839111,JGD2011,03-5651-1100,,○,,,,
330,むさし野紙業(株)  新木場営業所,江東区新木場2-4-3,35.639145,139.825714,JGD2011,03-3522-2481,○,,,,,
331,(株)アサヒ･クリーン,江東区枝川1-10-27,35.655334,139.80423,JGD2011,03-3645-0764,○,,,,,
335,大洋紙原(有)  砂町R事業場,江東区北砂4-35-9,35.677914,139.833694,JGD2011,03-3640-4517,○,,,,,
356,(株)坪野谷紙業  新木場事業所,江東区新木場2-9-12,35.637939,139.824905,JGD2011,03-3522-2700,○,,,,,
105,(株)共益商会  大森営業所,品川区南大井6-8-1,35.591969,139.733063,JGD2011,03-3763-9431,○,,,,,
300,(有)後藤商店,品川区西五反田5-30-16,35.622742,139.713181,JGD2011,03-3491-9422,○,,,,,
326,(有)鈴木紙業,品川区南品川4-8-4,35.612625,139.736069,JGD2011,03-3474-2242,○,,,,,
340,(有)スリーシープランニング,品川区南品川3-6-31,35.608429,139.744705,JGD2011,03-5769-0157,,○,,,,
360,川村金属(株),品川区荏原4-8-8,35.615547,139.706345,JGD2011,03-3784-0136,,○,,,,
111,(有)齋木商店,目黒区五本木1-1-3,35.640125,139.6866,JGD2011,03-3714-4035,,○,,,,
350,東日紙商(株)  目黒支店,目黒区目黒1-17-17,35.636639,139.710236,JGD2011,03-5435-5570,○,,,,,
2,(株)西商店  本社,大田区池上6-28-5,35.569305,139.706039,JGD2011,03-3754-2441,,,○,,,
10,ツチヤ産業(株),大田区東糀谷4-7-20,35.554882,139.745468,JGD2011,03-3745-1871,,○,,,,
39,(株)大龍金属,大田区京浜島2-6-10,35.570194,139.768845,JGD2011,03-3790-0121,○,○,○,,,
55,(株)京福商店  京浜島営業所,大田区京浜島2-15-3,35.569153,139.764435,JGD2011,03-5755-7031,,○,○,,,
56,京浜容器(株),大田区大森中1-2-25,35.57193,139.73349,JGD2011,03-3761-5195,○,○,○,,,
66,(資)豊田八郎商店,大田区久が原2-2-11,35.585342,139.69603,JGD2011,03-3754-2606,○,,,,,
67,(有)馬場啓介商店,大田区北千束3-4-11,35.606293,139.689575,JGD2011,03-3729-3247,,,○,,,
103,(株)カネダ,大田区本羽田1-26-16,35.546173,139.728363,JGD2011,03-3742-2161,,○,,,,
116,(株)玉川軽金属,大田区東糀谷5-12-3,35.56002,139.743118,JGD2011,03-3744-2551,,○,,,,
151,(株)國光  中央営業所,大田区京浜島2-14-7,35.568424,139.763901,JGD2011,03-5492-0211,○,,,,,
182,(株)こんの  東京営業所,大田区大森南4-10-27,35.567402,139.747498,JGD2011,03-5735-9177,○,,,,,
198,藤ビルメンテナンス(株),大田区京浜島3-4-3,35.574162,139.76326,JGD2011,03-6893-1888,○,,,,,
203,日栄産業(株),大田区京浜島3-5-2,35.573341,139.76503,JGD2011,03-3790-7400,,,,,○,ｺﾝｸﾘｰﾄ塊、再生砕石
218,(株)ジー・エス,大田区京浜島2-14-10,35.568424,139.763901,JGD2011,03-5755-8853,○,○,○,,,
234,(株)宮崎  六郷営業所,大田区東六郷3-25-5,35.540291,139.710144,JGD2011,03-3735-5690,○,,,,,
