項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(7)東京湾／St.32／二重測定,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,0.4,0.8,0.7,0.8,1.1,(0.2),0.5,(0.3),(0.2),0.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,190,470,750,710,750,51,300,81,82,650
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,76,200,290,280,290,21,120,32,32,260
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,300,720,1100,1000,1100,85,450,140,140,970
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,1.3,3.0,2.9,2.9,4.7,0.8,2.0,1.2,1.0,5.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,3.0,5.2,4.5,3.1,7.8,1.3,3.7,2.4,2.3,9.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,62,140,170,160,230,20,92,38,38,220
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,2.6,4.1,4.2,4.1,6.5,0.9,3.2,1.6,1.7,6.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,6.1,11,9.5,9.8,19,2.1,8.8,4.3,4.0,21
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,5.4,10,8.3,8.4,13,1.7,6.7,3.3,3.2,13
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,82,140,110,120,200,29,100,52,53,240
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,160,260,230,230,580,46,290,100,100,570
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,330,510,480,490,1100,93,550,180,190,1000
