種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,27014,91,26923,15225,309,153,12,144,0,14916,11698,26,0,11625,47,11816,11769,10031,9510,521,47,1738,568,9689,16654,580
燃え殻,,,,5,0,5,0,0,0,0,0,0,0,5,0,0,4,1,5,4,3,1,2,1,1,3,1,1,3
汚泥,,,,18392,0,18392,14978,99,3,12,84,0,14879,3414,1,0,3413,0,3497,3497,2009,1882,127,0,1488,127,1886,16367,139
汚泥,上水汚泥,,,425,0,425,421,33,1,1,31,0,388,4,0,0,4,0,35,35,18,6,12,0,17,12,7,405,13
汚泥,下水汚泥,,,14253,0,14253,14249,45,1,11,33,0,14204,4,0,0,4,0,37,37,28,21,7,0,9,7,22,14213,18
汚泥,建設汚泥,,,3029,0,3029,1,1,1,0,0,0,0,3028,0,0,3028,0,3028,3028,1756,1703,53,0,1272,53,1704,1272,53
汚泥,その他の汚泥,,,685,0,685,307,20,0,0,20,0,287,378,1,0,377,0,397,397,207,152,55,0,190,55,153,477,55
廃油,,,,20,3,17,0,0,0,0,0,0,0,17,0,0,17,0,17,17,8,8,0,0,9,0,8,9,0
廃酸,,,,10,0,10,1,0,0,0,0,0,1,9,0,0,9,0,9,9,8,5,3,0,1,3,5,2,3
廃アルカリ,,,,5,0,5,0,0,0,0,0,0,0,5,0,0,5,0,5,5,3,3,0,0,2,0,3,2,0
廃プラスチック類,,,,285,5,280,9,3,1,0,2,0,6,271,0,0,271,0,273,273,204,181,23,0,69,23,182,75,23
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,249,67,182,3,3,3,0,0,0,0,179,0,0,179,0,179,179,178,178,0,0,1,0,181,1,0
ガラス・陶磁器くず,,,,724,0,724,77,51,9,0,42,0,26,647,3,0,644,0,686,686,662,540,122,0,24,122,552,50,122
鉱さい,,,,11,0,11,0,0,0,0,0,0,0,11,0,0,11,0,11,11,8,7,1,0,3,1,7,3,1
がれき類,,,,6385,0,6385,145,145,132,0,13,0,0,6240,22,0,6218,0,6231,6231,6223,6115,108,0,8,108,6269,8,108
がれき類,コンクリート塊,,,4322,0,4322,49,49,42,0,7,0,0,4273,19,0,4254,0,4261,4261,4261,4244,17,0,0,17,4305,0,17
がれき類,アスファルト･コンクリート塊,,,1175,0,1175,90,90,84,0,6,0,0,1085,3,0,1082,0,1088,1088,1081,1079,2,0,7,2,1166,7,2
がれき類,その他のがれき類,,,888,0,888,6,6,6,0,0,0,0,882,0,0,882,0,882,882,881,792,89,0,1,89,798,1,89
石綿含有産業廃棄物,,,,65,0,65,0,0,0,0,0,0,0,65,0,0,27,38,65,27,24,9,15,38,3,53,9,3,53
ばいじん,,,,9,0,9,0,0,0,0,0,0,0,9,0,0,9,0,9,9,9,0,9,0,0,9,0,0,9
紙くず,,,,74,14,60,1,1,1,0,0,0,0,59,0,0,59,0,59,59,50,50,0,0,9,0,51,9,0
木くず,,,,321,0,321,3,2,1,0,1,0,1,318,0,0,318,0,319,319,297,294,3,0,22,3,295,23,3
繊維くず,,,,32,0,32,0,0,0,0,0,0,0,32,0,0,32,0,32,32,20,18,2,0,12,2,18,12,2
動植物性残さ,,,,25,2,23,3,0,0,0,0,0,3,20,0,0,20,0,20,20,12,12,0,0,8,0,12,11,0
動物系固形不要物,,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,1,0,0,1,0,1,1,0
動物のふん尿,,,,39,0,39,0,0,0,0,0,0,0,39,0,0,39,0,39,39,23,23,0,0,16,0,23,16,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,3,3,0,0,1,0,3,1,0
混合廃棄物,,,,283,0,283,1,1,0,0,1,0,0,282,0,0,281,1,283,282,271,168,103,1,11,104,168,11,104
その他,,,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,3,3,0,0,1,0,3,1,0
特別管理産業廃棄物,,,,70,0,70,4,4,3,0,1,0,0,66,0,0,59,7,67,60,12,9,3,7,48,10,12,48,10
特別管理産業廃棄物,廃油,,,4,0,4,0,0,0,0,0,0,0,4,0,0,4,0,4,4,1,1,0,0,3,0,1,3,0
特別管理産業廃棄物,廃酸,,,10,0,10,3,3,3,0,0,0,0,7,0,0,7,0,7,7,5,5,0,0,2,0,8,2,0
特別管理産業廃棄物,廃アルカリ,,,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0
特別管理産業廃棄物,感染性廃棄物,,,36,0,36,1,1,0,0,1,0,0,35,0,0,35,0,36,36,4,1,3,0,32,3,1,32,3
特別管理産業廃棄物,特定有害廃棄物,,,19,0,19,0,0,0,0,0,0,0,19,0,0,12,7,19,12,1,1,0,7,11,7,1,11,7
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,9,0,9,0,0,0,0,0,0,0,9,0,0,2,7,9,2,1,1,0,7,1,7,1,1,7
特別管理産業廃棄物,特定有害廃棄物,その他,,10,0,10,0,0,0,0,0,0,0,10,0,0,10,0,10,10,0,0,0,0,10,0,0,10,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,6,0,6,0,0,0,0,0,0,0,6,0,0,6,0,6,6,0,0,0,0,6,0,0,6,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,2,0,0,2,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
