項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,45,33,4.9,4.9,5.2,4.8,2.4,3.3,1.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,16,11,1.8,1.8,1.8,1.8,0.99,1.3,0.42
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,64,46,9.5,9.6,8.5,8.7,4.4,6.0,2.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,0.14,ND,0.11,(0.10),ND,ND,(0.04),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,0.20,ND,0.10,0.10,ND,(0.07),0.11,(0.05),(0.06)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,8.5,6.2,1.6,1.6,1.2,1.3,0.91,0.88,0.36
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,0.24,ND,(0.08),(0.09),ND,(0.06),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,0.54,0.36,(0.13),(0.18),ND,(0.08),0.25,(0.15),(0.08)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,0.51,0.38,(0.15),(0.13),(0.07),(0.10),(0.20),(0.11),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,5.1,3.4,1.7,1.7,0.79,1.2,2.9,1.8,1.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,16,12,2.7,2.3,1.7,2.3,6.1,3.8,1.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,34,25,5.2,4.5,3.4,4.4,12,7.5,3.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,300,220,35,28,24,30,50,37,15
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,410,300,53,45,38,46,70,53,22
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,(0.08),(0.05),0.18,0.16,(0.04),0.19,0.34,0.25,0.17
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,0.20,0.13,0.22,0.25,(0.08),0.17,0.47,0.22,0.32
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,(0.09),0.10,0.16,0.14,(0.04),0.16,0.31,0.22,0.16
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,4.2,3.2,3.0,3.2,1.1,2.5,4.7,3.1,2.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,0.16,(0.07),0.19,0.19,(0.07),0.14,0.21,0.19,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.10,0.16,0.14,0.16,(0.05),0.12,0.15,0.15,(0.05)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,3.5,1.8,2.9,3.0,1.8,2.4,3.6,2.6,2.0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.30,0.25,0.26,0.26,(0.11),0.20,0.33,0.30,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.28,(0.16),0.22,0.20,(0.09),(0.14),(0.16),(0.16),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,ND,ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.23,ND,(0.20),0.20,(0.10),(0.14),(0.14),(0.15),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,5.5,3.7,2.5,2.5,1.2,1.7,3.9,3.0,1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,2.4,1.6,1.2,0.94,0.44,1.0,3.8,2.5,0.94
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,0.39,0.26,(0.14),(0.14),ND,(0.16),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,6.5,4.2,2.6,2.2,0.82,2.4,9.0,6.0,2.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,5.5,3.7,2.9,2.5,0.7,2.3,12,7.4,2.5
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,25,17,14,13,5.6,11,33,22,11
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,440,320,67,59,44,57,100,75,32
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,0.30,0.25,0.71,0.79,0.22,1.0,1.5,0.90,0.74
