項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,4新中川／小岩大橋／二重測定,6隅田川／小台橋,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.07,0.02,1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.07,0.02,-,pg/L,30,37,36,5.7,8.9,5,1.8,2.1,2.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.07,0.02,-,pg/L,11,12,12,2.2,3.4,1.9,0.79,0.76,1.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,43,52,50,10,15,8.7,3.2,3.5,4.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.08,0.02,1,pg/L,0.09,N.D.,N.D.,N.D.,N.D.,N.D.,(0.05),N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",-,-,-,-,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,4.8,5.4,5.2,1.2,2,1.1,1.1,0.37,0.89
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.16,0.05,0.1,pg/L,(0.15),0.16,(0.15),(0.06),(0.07),(0.07),(0.08),(0.07),(0.06)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.17,0.05,0.1,pg/L,0.35,0.33,0.34,(0.14),0.18,(0.14),0.31,(0.15),0.22
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.16,0.05,0.1,pg/L,0.33,0.29,0.29,(0.12),0.17,(0.11),0.23,(0.10),(0.14)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,3.4,3.2,3.3,1.6,2.2,1.5,3.8,1.3,2.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.19,0.06,0.01,pg/L,8,9,9.3,2.5,3.3,2.5,6.8,1.9,4.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,17,19,19,5.1,6.4,5,13,3.9,10
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.26,0.08,0.0003,pg/L,140,170,170,31,44,29,54,20,50
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,210,250,250,49,69,45,75,29,68
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.08,0.03,0.1,pg/L,(0.07),(0.07),(0.06),0.29,0.19,0.22,0.28,0.14,0.19
