大気　ダイオキシン類異性体等分析結果（第３回調査　 ２０２０(令和２)年１１月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第３回調査 　２０２０(令和２)年１１月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2020(令和2）年　11月11日～11月18日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2020(令和2）年　11月11日～11月18日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,,,,,,,,11月11日～18日,11月11日～18日,,,,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,11月11日～18日,,11月11日～18日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0027,0.0009,0.12,0.082,0.095,0.11,0.083,0.18,0.15,0.13,,PCDDs,,"1,3,6,8-TeCDD",0,0.004,0.001,0.035,0.032,,0.0027,0.0009,0.11,0.05,0.065,0.038,0.042,0.06,,0.046,0.0009,0.0003
,,"1,3,7,9-TeCDD",0,0.0027,0.0009,0.058,0.037,0.043,0.051,0.035,0.091,0.066,0.065,,,,"1,3,7,9-TeCDD",0,0.004,0.001,0.017,0.015,,0.0027,0.0009,0.051,0.025,0.03,0.021,0.016,0.025,,0.025,0.0009,0.0003
,,"2,3,7,8-TeCDD",1,0.0027,0.0009,ND,ND,-0.0009,-0.001,ND,-0.0013,-0.0022,ND,,,,"2,3,7,8-TeCDD",1,0.004,0.001,      ND,      ND,,0.0027,0.0009,-0.0011,ND,ND,ND,ND,ND,,-0.0007,0.0009,0.0003
,,TeCDDs,－,―,―,0.23,0.16,0.19,0.22,0.15,0.36,0.29,0.28,,,,TeCDDs,－,--,--,0.057,0.057,,―,―,0.22,0.1,0.12,0.11,0.071,0.11,,0.1,―,―
,,"1,2,3,7,8-PeCDD",1,0.005,0.001,0.005,-0.003,-0.003,-0.004,-0.002,0.006,0.006,0.006,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,      ND,      ND,,0.005,0.001,-0.004,-0.002,-0.002,0.016,-0.002,-0.002,,0.0017,0.0016,0.0005
,,PeCDDs,－,―,―,0.12,0.084,0.092,0.12,0.077,0.2,0.15,0.15,,,,PeCDDs,－,--,--,0.04,0.038,,―,―,0.16,0.059,0.068,0.16,0.04,0.058,,0.11,―,―
,,"1,2,3,4,7,8-HxCDD",0.1,0.006,0.002,-0.005,-0.003,-0.003,-0.004,-0.003,0.007,0.007,-0.006,,,,"1,2,3,4,7,8-HxCDD",0.1,0.008,0.003,      ND,      ND,,0.006,0.002,-0.005,-0.003,-0.003,0.034,-0.002,ND,,-0.0016,0.0019,0.0006
,,"1,2,3,6,7,8-HxCDD",0.1,0.0033,0.0009,0.01,0.0067,0.0077,0.0085,0.0055,0.015,0.011,0.011,,,,"1,2,3,6,7,8-HxCDD",0.1,0.009,0.003,-0.005,-0.003,,0.0033,0.0009,0.013,0.0058,0.0057,0.051,0.0044,0.0058,,0.0045,0.0011,0.0003
,,"1,2,3,7,8,9-HxCDD",0.1,0.005,0.001,0.01,0.005,0.005,0.006,-0.005,0.012,0.009,0.008,,,,"1,2,3,7,8,9-HxCDD",0.1,0.008,0.002,-0.004,-0.002,,0.005,0.001,0.009,0.005,-0.005,0.053,ND,-0.005,,0.0029,0.0016,0.0005
,,HxCDDs,－,―,―,0.16,0.11,0.12,0.15,0.11,0.23,0.18,0.16,,,,HxCDDs,－,--,--,0.079,0.054,,―,―,0.25,0.1,0.098,0.48,0.062,0.086,,0.1,―,―
