項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,3中川／平井小橋／二重測定,4新中川／小岩大橋,6隅田川／小台橋／,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.07,0.02,1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.07,0.02,-,pg/L,13,14,16,4.4,2.5,1.9,1.1,1.1,2.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.07,0.02,-,pg/L,4.6,5.2,5.2,1.6,0.96,0.71,0.47,0.42,0.99
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,18,20,22,6.6,4.1,2.9,1.8,1.7,3.6
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.08,0.02,1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",-,-,-,-,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,2.4,2.6,2.5,0.77,0.54,0.42,0.4,N.D.,0.51
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.16,0.05,0.1,pg/L,(0.06),N.D.,(0.09),N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.17,0.05,0.1,pg/L,(0.15),0.19,0.18,(0.09),N.D.,N.D.,0.18,N.D.,0.19
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.16,0.05,0.1,pg/L,(0.14),(0.15),(0.16),(0.06),N.D.,N.D.,(0.07),N.D.,(0.10)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,1.6,1.9,1.8,0.96,0.53,0.46,1.4,0.55,2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.19,0.06,0.01,pg/L,4.1,4.5,3.7,1.7,0.88,0.85,3.8,1.5,4.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,7.9,8.9,7.7,3.2,1.6,1.6,6.9,2.9,8.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.26,0.08,0.0003,pg/L,74,79,66,24,14,12,52,16,51
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,100,110,100,36,21,17,63,21,66
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.08,0.03,0.1,pg/L,(0.06),0.08,0.09,0.15,(0.08),0.13,0.17,0.1,0.13
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.08,0.02,-,pg/L,0.09,0.11,(0.05),0.1,(0.06),(0.06),0.12,(0.06),0.08
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.08,0.03,-,pg/L,(0.06),(0.06),N.D.,0.11,N.D.,0.11,0.14,0.11,0.17
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,1.8,2.1,1.8,1.8,1.3,1.4,2.3,1.3,2.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,N.D.,N.D.,(0.06),(0.09),(0.05),(0.07),(0.08),N.D.,(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.09,0.03,0.3,pg/L,(0.05),(0.06),N.D.,(0.08),N.D.,(0.06),(0.06),N.D.,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,1.6,1.7,1.4,1.4,0.74,0.99,2.9,1.4,2.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.17,0.05,0.1,pg/L,(0.11),(0.13),(0.11),(0.15),(0.07),(0.14),0.18,(0.09),0.18
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.18,0.05,0.1,pg/L,(0.10),(0.11),(0.10),(0.11),(0.07),(0.06),(0.10),N.D.,(0.10)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.18,0.05,0.1,pg/L,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.16,0.05,0.1,pg/L,(0.14),(0.14),(0.14),(0.12),(0.10),(0.07),(0.14),(0.06),(0.15)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,2.8,3.1,2.3,1.7,0.67,1.1,5.3,2.5,4.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.17,0.05,0.01,pg/L,0.8,0.94,0.6,0.85,0.34,0.48,3.3,1.1,2.2
