試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成27年3月23日／((4)は､3月22日採取),―,不検出 ／(<5.4)／(<6.2),―,不検出 ／(<5.4)／(<5.6),不検出／(<5.7)／(<6.2),―,不検出 ／(<6.0)／(<6.6),―,―,不検出／(<5.7)／(<6.1)
平成27年3月16日,不検出／(<5.9)／(<7.1),―,134Cs: 不検出／(<5.8)／137Cs: 19／合計: 25,―,―,不検出 ／(<6.4)／(<6.0),―,不検出／(<7.1)／(<6.8),不検出／(<7.0)／(<7.5),―
平成27年3月9日／((4)は､3月8日採取),―,不検出 ／(<6.8)／(<7.6),―,不検出 ／(<4.3)／(<6.2),不検出 ／(<6.4)／(<5.0),―,不検出／(<5.5)／(<5.5),―,―,不検出／(<7.0)／(<6.3)
平成27年3月3日,不検出 ／(<6.2)／(<6.8),―,134Cs: 不検出／(<5.0)／137Cs: 18／合計: 23,―,―,不検出／(<7.2)／(<6.4),―,不検出 ／(<6.3)／(<6.6),不検出 ／(<6.3)／(<6.3),―
平成27年2月23日／((4)は､2月22日採取),―,不検出／(<5.0)／(<5.9),―,不検出 ／(<5.3)／(<4.7),不検出／(<5.1)／(<5.3),―,不検出／(<5.9)／(<6.4),―,―,不検出 ／(<6.4)／(<6.6)
平成27年2月16日,不検出 ／(<6.6)／(<6.2),―,134Cs: 不検出 (<6.7)／137Cs: 11／合計:18,―,―,不検出 ／(<6.4)／(<6.2),―,不検出 ／(<6.0)／(<5.8),不検出／(<5.7)／(<7.7),―
平成27年2月9日／((4)は､2月8日採取),―,不検出／(<7.5)／(<6.5),―,不検出 ／(<6.9)／(<6.0),不検出 ／(<6.6)／(<6.0),―,不検出／(<7.1)／(<6.3),―,―,不検出 ／(<6.2)／(<5.4)
平成27年2月2日,不検出／(<7.7)／(<6.0),―,134Cs: 不検出／(<7.2)／137Cs: 16／合計:23,―,―,不検出 ／(<6.9)／(<5.7),―,不検出 ／(<6.5)／(<7.1),不検出 ／(<7.3)／(<6.8),―
平成27年1月26日／((4)は､1月25日採取),―,不検出 ／(<6.0)／(<6.6),―,不検出／(<7.8)／(<6.6),不検出／(<5.8)／(<6.4),―,不検出／(<5.5)／(<7.4),―,―,不検出 ／(<6.2)／(<5.6)
平成27年1月19日／(③は､1月18日採取),不検出 ／(<7.4)／(<7.8),―,134Cs: 不検出 (<6.1)／137Cs: 17／合計:23,―,―,不検出 ／(<6.5)／(<5.4),―,不検出 ／(<6.2)／(<7.4),不検出 ／(<4.9)／(<6.6),―
平成27年1月12日／((4)は､1月11日採取),―,不検出 ／(<6.2)／(<6.2),―,不検出 ／(<6.6)／(<6.3),不検出 ／(<5.6)／(<6.1),―,不検出／(<7.7)／(<6.5),―,―,不検出 ／(<6.1)／(<7.4)
平成27年1月5日,不検出 ／(<5.6)／(<7.3),―,134Cs: 4.4／137Cs: 15／合計:19,―,―,不検出 ／(<6.0)／(<6.2),―,不検出／(<5.9)／(<6.7),不検出 ／(<6.5)／(<4.9),―
