［資料2-1］　ダイオキシン類異性体等分析結果（第１回 令和元年５月：区部）,,,,,,,,,,,,,,,,ダイオキシン類異性体等分析結果（第１回 令和元年５月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（令和元年5月22日～5月29日）,,,,,,,,,,単位：pg/m3,,,実測濃度,,,（令和元年5月22日～5月29日）,,,,,,,,,,,,,,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉　","⑧江戸川区
春江町局",,,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,"定量
下限値","検出
下限値","⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩郡
檜原局","定量
下限値","検出
下限値"
,,,,,,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,,,,,,,,,5月22日～29日,5月22日～29日,,,,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,5月22日～29日,,5月22日～29日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0021,0.0006,0.085,0.032,0.085,0.13,0.074,0.13,0.13,0.1,,,PCDDs,,"1,3,6,8-TeCDD",0,－,－,0.095,0.072,,0.0021,0.0006,0.09,0.061,0.064,0.08,0.077,0.098,,0.08,0.0007,0.0002
,,"1,3,7,9-TeCDD",0,0.0021,0.0006,0.035,0.032,0.033,0.049,0.026,0.051,0.055,0.04,,,,,"1,3,7,9-TeCDD",0,－,－,0.028,0.024,,0.0021,0.0006,0.033,0.024,0.027,0.026,0.029,0.036,,0.038,0.0007,0.0002
,,"2,3,7,8-TeCDD",1,0.0021,0.0006,0.0008,0.001,0.0007,0.0009,ND,0.0008,0.0011,0.001,,,,,"2,3,7,8-TeCDD",1,0.005,0.001,ND,ND,,0.0021,0.0006,ND,ND,ND,ND,ND,0.0009,,0.0008,0.0007,0.0002
,,TeCDDs,－,－,－,0.15,0.14,0.14,0.22,0.12,0.21,0.22,0.18,,,,,TeCDDs,－,－,－,0.13,0.1,,－,－,0.14,0.098,0.11,0.12,0.13,0.16,,0.19,－,－
,,"1,2,3,7,8-PeCDD",1,0.0033,0.0009,0.0018,0.0019,0.0015,ND,0.0014,0.0028,0.003,ND,,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,ND,ND,,0.0033,0.0009,0.0016,0.0013,0.0013,0.0011,0.0019,0.0024,,0.0022,0.0011,0.0003
,,PeCDDs,－,－,－,0.055,0.062,0.051,0.06,0.041,0.076,0.086,0.066,,,,,PeCDDs,－,－,－,0.033,0.021,,－,－,0.043,0.03,0.041,0.037,0.051,0.065,,0.12,－,－
,,"1,2,3,4,7,8-HxCDD",0.1,0.007,0.002,ND,0.002,ND,ND,ND,ND,ND,ND,,,,,"1,2,3,4,7,8-HxCDD",0.1,0.009,0.003,ND,ND,,0.007,0.002,ND,ND,ND,ND,ND,ND,,0.0017,0.0024,0.0007
,,"1,2,3,6,7,8-HxCDD",0.1,0.007,0.002,0.004,0.004,0.003,0.003,ND,0.004,0.003,0.003,,,,,"1,2,3,6,7,8-HxCDD",0.1,0.008,0.002,0.004,ND,,0.007,0.002,0.003,0.002,0.002,0.002,0.002,0.004,,0.0043,0.0022,0.0007
,,"1,2,3,7,8,9-HxCDD",0.1,0.0021,0.0006,0.0025,0.0033,0.0017,0.0027,0.0017,0.0034,0.0035,0.0027,,,,,"1,2,3,7,8,9-HxCDD",0.1,0.009,0.003,ND,ND,,0.0021,0.0006,0.0022,0.0019,0.0018,0.0019,0.0017,0.0025,,0.0028,0.0007,0.0002
,,HxCDDs,－,－,－,0.05,0.055,0.042,0.054,0.033,0.061,0.068,0.056,,,,,HxCDDs,－,－,－,0.051,0.023,,－,－,0.041,0.028,0.033,0.041,0.039,0.063,,0.11,－,－
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.005,0.001,0.027,0.028,0.016,0.021,0.02,0.029,0.028,0.028,,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.011,0.003,0.036,0.02,,0.005,0.001,0.023,0.018,0.017,0.018,0.019,0.026,,0.017,0.0017,0.0005
,,HpCDDs,－,－,－,0.055,0.063,0.038,0.046,0.04,0.061,0.056,0.053,,,,,HpCDDs,－,－,－,0.074,0.044,,－,－,0.048,0.037,0.037,0.039,0.039,0.053,,0.037,－,－
,,OCDD,0.0003,0.015,0.006,0.092,0.099,0.063,0.081,0.066,0.11,0.095,0.07,,,,,OCDD,0.0003,0.021,0.006,0.095,0.073,,0.015,0.006,0.082,0.066,0.07,0.061,0.061,0.074,,0.037,0.005,0.002
,,Total PCDDs,－,－,－,0.4,0.42,0.34,0.46,0.3,0.51,0.53,0.42,,,,,Total PCDDs,－,－,－,0.38,0.26,,－,－,0.36,0.26,0.29,0.3,0.32,0.41,,0.49,－,－
PCDFs,,"1,2,7,8-TeCDF",0,0.0033,0.0009,0.017,0.03,0.013,0.014,0.0088,0.018,0.018,0.015,,,PCDFs,,"1,2,7,8-TeCDF",0,－,－,0.009,0.006,,0.0033,0.0009,0.013,0.0075,0.0083,0.0091,0.01,0.012,,0.013,0.0011,0.0003
,,"2,3,7,8-TeCDF",0.1,0.0033,0.0009,0.0085,0.015,0.0058,0.0075,0.0048,0.0092,0.01,0.0086,,,,,"2,3,7,8-TeCDF",0.1,0.005,0.002,0.004,0.003,,0.0033,0.0009,0.0055,0.0033,0.0034,0.0049,0.005,ND,,0.0072,0.0011,0.0003
,,"1,3,6,8-TeCDF",0,0.0033,0.0009,0.018,0.031,0.013,0.014,0.0096,0.022,0.022,0.019,,,,,"1,3,6,8-TeCDF",0,－,－,0.01,0.008,,0.0033,0.0009,0.014,0.0089,0.0096,0.011,0.012,0.011,,0.021,0.0011,0.0003
,,TeCDFs,－,－,－,0.47,0.81,0.3,0.33,0.21,0.47,0.5,0.44,,,,,TeCDFs,－,－,－,0.24,0.16,,－,－,0.33,0.18,0.19,0.24,0.25,0.29,,0.33,－,－
,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.012,0.014,0.008,0.01,0.008,0.013,0.014,0.01,,,,,"1,2,3,7,8-PeCDF",0.03,0.006,0.002,0.007,0.005,,0.005,0.001,0.008,0.004,ND,0.007,0.006,0.008,,0.0065,0.0017,0.0005
,,"2,3,4,7,8-PeCDF",0.3,0.0024,0.0006,0.012,0.016,0.0083,0.013,0.0074,0.015,0.014,0.011,,,,,"2,3,4,7,8-PeCDF",0.3,0.006,0.002,0.007,0.004,,0.0024,0.0006,0.01,0.006,0.0064,0.0081,0.0073,0.012,,0.0064,0.0008,0.0002
,,PeCDFs,－,－,－,0.27,0.43,0.19,0.23,0.18,0.3,0.32,0.28,,,,,PeCDFs,－,－,－,0.16,0.097,,－,－,0.19,0.11,0.12,0.14,0.14,0.2,,0.14,－,－
,,"1,2,3,4,7,8-HxCDF",0.1,0.006,0.002,0.014,0.015,0.008,0.011,0.008,0.017,0.016,0.012,,,,,"1,2,3,4,7,8-HxCDF",0.1,0.007,0.002,0.008,0.005,,0.006,0.002,0.01,0.006,0.006,0.01,0.007,0.011,,0.0059,0.0019,0.0006
,,"1,2,3,6,7,8-HxCDF",0.1,0.0033,0.0009,0.012,0.016,0.0095,0.012,0.0077,0.018,0.015,0.013,,,,,"1,2,3,6,7,8-HxCDF",0.1,0.008,0.002,0.011,0.005,,0.0033,0.0009,0.0096,0.0056,0.0066,0.0098,0.0072,0.011,,0.0062,0.0011,0.0003
