(2) アルデヒド類、ベンゾ[a]ピレン,,,,
（単位:μg/m3；ベンゾ[a]ピレン:ng/m3）,,,,
測定地点（局）,,"アセト
アルデヒド","ホルム
アルデヒド",ベンゾ[a]ピレン
,中央区晴海,2.7,2.4,0.2
区,国設東京新宿,2.9,2.4,0.08
部,大田区東糀谷,3.2,2.7,0.62
一,世田谷区世田谷,2.4,2.3,0.08
般,板橋区氷川町,2.8,2.9,0.08
,練馬区石神井町,2.2,1.8,0.05
,足立区西新井,2.5,2.4,0.11
,江戸川区春江町,2.6,2.4,0.11
,区部一般環境 平均,2.7,2.4,0.16
,（令和元年度平均）,-3.2,-2.8,-0.18
多,八王子市片倉町,2,1.8,0.07
摩,八王子市大楽寺町,1.7,1.7,0.08
一,小金井市貫井北町,3.6,2.9,0.06
般,東大和市奈良橋,2.6,1.9,0.06
,多摩部一般環境 平均,2.5,2.1,0.07
,（令和元年度平均）,-3.1,-2.7,-0.086
都一般環境 平均,,2.6,2.3,0.13
,（令和元年度平均）,-3.2,-2.8,-0.15
沿,京葉道路亀戸,2.5,2.1,0.16
道,環八通り八幡山,2.8,2.7,0.07
,沿道 平均,2.6,2.4,0.12
,（令和元年度平均）,-3.4,-2.6,-0.13
檜原（バックグラウンド）,,1.8,1.2,0.07
,（令和元年度平均）,-2.1,-1.4,-0.036
基準値等,,指針値,*,**
,,120,0.8,0.12
定量下限値,,0.8,0.8,0.05
検出下限値,,0.3,0.3,0.02
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,
注3）表中の*  基準参考値（U.S.EPA 発がん性のユニットリスク10-5レベルの換算値）,,,,
** 基準参考値（WHO欧州地域事務局のガイドライン値）,,,,
注4）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,
異なる場合がある。,,,,
