揮発性有機化合物（続き）,,,,,,,
（単位:μg/m3）,,,,,,,
測定地点（局）,,クロロホルム,"1,2-ジクロロエタン","1,3-
ブタジエン","酸化
エチレン",塩化メチル,トルエン
,中央区晴海,0.18,0.13,0.23,0.091,1.4,3.8
区,国設東京新宿,0.19,0.12,0.08,0.066,1.4,4.2
部,大田区東糀谷,0.35,0.13,0.27,0.076,1.3,5.3
一,世田谷区世田谷,0.18,0.12,0.07,0.066,1.4,4.3
般,板橋区氷川町,0.2,0.12,0.09,0.071,1.4,6.8
,練馬区石神井町,0.21,0.12,0.07,0.065,1.4,4.9
,足立区西新井,0.2,0.12,0.13,0.077,1.4,7.1
,江戸川区春江町,0.17,0.12,0.12,0.065,1.4,5
,区部一般環境 平均,0.21,0.12,0.13,0.072,1.4,5.2
,（令和元年度平均）,-0.25,-0.14,-0.23,-0.096,-1.3,-7.6
多,八王子市片倉町,0.15,0.09,0.07,0.048,1.5,4.1
摩,八王子市大楽寺町,0.14,0.1,0.06,0.056,1.4,3.8
一,小金井市貫井北町,0.2,0.12,0.07,0.068,1.3,5.4
般,東大和市奈良橋,0.18,0.12,0.07,0.065,1.3,5.7
,多摩部一般環境 平均,0.16,0.11,0.07,0.059,1.4,4.7
,（令和元年度平均）,-0.19,-0.11,-0.095,-0.075,-1.4,-5.5
都一般環境 平均,,0.2,0.12,0.11,0.068,1.4,5
,（令和元年度平均）,-0.23,-0.13,-0.18,-0.089,-1.4,-6.9
沿,京葉道路亀戸,0.19,0.12,0.17,0.077,1.4,5.4
道,環八通り八幡山,0.16,0.12,0.12,0.067,1.4,4.9
,沿道 平均,0.17,0.12,0.15,0.072,1.4,5.1
,（令和元年度平均）,-0.22,-0.13,-0.24,-0.09,-1.3,-6.6
檜原（バックグラウンド）,,0.15,0.11,0.03,0.051,1.2,1.7
,（令和元年度平均）,-0.15,-0.11,-0.025,-0.058,-1.2,-2.1
基準値等,,指針値,指針値,指針値,－,指針値,－
,,18,1.6,2.5,,94,
定量下限値,,0.11,0.08,0.08,0.01,0.06,0.06
検出下限値,,0.04,0.03,0.03,0.003,0.02,0.02
注1）測定値が検出下限値未満のときは、検出下限値の1/2として、年平均値を計算した。,,,,,,,
注2）結果は、有効数字2桁で表示。ただし下限値の桁までとした。,,,,,,,
注3）測定機器の変更等により、定量下限値及び検出下限値が、前年度とは異なる物質がある。,,,,,,,
注4）指針値（環境中の有害大気汚染物質による健康リスクの低減を図るための指針となる数値）,,,,,,,
注5）地域別等の平均値は、当該地域の全測定値の平均であるため、各地点の年平均値を平均したものとは,,,,,,,
異なる場合がある。,,,,,,,
注6）塩化メチル及びトルエンは、2012(平成24)年度から、優先取組物質の扱いとなった項目である。,,,,,,,
