項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1江戸川／金町取水点,2旧江戸川／浦安橋,3中川／平井小橋,4新中川／小岩大橋,5新川／新川橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,7隅田川／両国橋,8新河岸川／志茂橋,9白子川／落合橋／,10石神井川／豊石橋,11神田川／柳橋,12日本橋川／西河岸橋,13横十間川／天神橋,13横十間川／天神橋／二重測定,14大横川／福寿橋,15北十間川／京成橋,16堅川／二之橋,17小名木川／進開橋,18旧中川／中平井橋,19古川／金杉橋,20目黒川／太鼓橋,21立会川／立会川橋,22内川／富士見橋,23呑川／夫婦橋,24多摩川／和田橋,27残堀川／立川橋,28城山川／五反田橋,28城山川／五反田橋／二重測定,29川口川／川口川橋,30程久保川／玉川橋,31三沢川／天神橋,31三沢川／天神橋／二重測定,32仙川／鎌田橋,33鶴見川／麻生橋,35霞川／金子橋,36柳瀬川／清柳橋,37小河内ﾀﾞﾑ／ﾀﾞﾑ前定点
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,(0.05),ND,ND,(0.12),(0.13),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.04),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.08),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,21,18,29,27,7.8,13,13,3.8,7.6,4.3,3.6,0.87,0.42,2.3,2.3,2.1,3.1,2.4,3.8,2.4,0.34,0.21,0.13,0.78,0.23,0.46,0.71,0.54,0.49,0.39,4.2,2.9,2.9,0.35,1.0,1.3,0.98,(0.17)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,7.4,6.5,9.8,8.8,2.8,5.2,4.9,1.4,2.7,1.6,1.3,0.28,0.13,1.0,1.0,0.77,1.2,0.83,1.5,0.91,0.10,(0.06),(0.07),0.28,(0.06),(0.16),0.26,0.19,0.21,0.17,1.5,1.0,1.0,0.14,0.35,0.38,0.32,(0.05)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,30,26,41,38,12,21,20,6.4,13,7.2,5.9,5.8,2.3,4.1,4.2,4.7,6.1,4.7,6.1,3.8,7.1,11,0.42,2.9,7.3,0.63,1.4,0.98,0.96,0.85,6.9,5.7,5.9,2.5,2.2,1.7,1.6,0.22
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,0.10,(0.06),0.10,(0.08),(0.07),ND,0.10,ND,(0.07),(0.05),ND,ND,ND,(0.04),(0.06),ND,(0.04),ND,(0.05),ND,ND,ND,ND,(0.05),ND,ND,ND,ND,ND,ND,(0.06),(0.04),(0.06),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,(0.14),0.12,0.11,0.12,0.13,0.17,0.12,ND,0.10,(0.12),(0.06),ND,ND,0.13,0.14,ND,(0.09),ND,(0.12),ND,(0.05),ND,ND,(0.06),ND,ND,(0.08),ND,ND,ND,0.10,(0.10),(0.09),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,4.3,4.0,5.1,4.7,2.1,3.3,3.3,0.88,2.3,1.5,1.0,0.28,0.14,1.4,1.1,0.54,1.0,0.57,1.4,0.74,0.36,0.22,ND,0.76,0.18,0.65,0.65,0.27,0.29,0.15,1.5,1.4,1.5,0.24,0.37,0.28,0.36,(0.05)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,(0.14),(0.08),(0.16),(0.13),(0.12),(0.12),(0.13),ND,(0.08),ND,ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,ND,ND,ND,(0.06),ND,ND,ND,ND,ND,ND,(0.10),(0.09),(0.09),ND,ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,(0.25),0.24,0.24,0.26,(0.17),(0.37),(0.35),(0.08),(0.17),(0.14),(0.09),ND,ND,0.29,0.39,(0.06),(0.14),ND,(0.32),(0.20),ND,ND,ND,(0.08),ND,ND,(0.09),(0.07),ND,ND,(0.14),(0.14),(0.17),ND,(0.06),ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,(0.22),(0.19),0.29,0.24,(0.15),(0.26),(0.31),ND,(0.13),(0.10),ND,ND,ND,(0.18),(0.16),ND,(0.10),ND,(0.15),(0.14),ND,ND,ND,(0.09),ND,ND,(0.09),ND,(0.06),ND,(0.16),(0.15),(0.14),ND,ND,ND,ND,ND
