項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,4新中川／小岩大橋,6隅田川／小台橋,6隅田川／小台橋／二重測定,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,(0.08),(0.08),(0.06),(0.05),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,130,140,9.6,9.5,10,0.81,1.2,6.7,1.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,49,54,3.5,3.4,3.7,0.26,0.42,2.6,0.42
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,190,200,16,16,16,1.8,2.1,11,1.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,0.36,0.34,(0.11),(0.09),0.12,(0.04),ND,(0.06),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,0.40,0.40,0.20,0.20,(0.27),(0.08),(0.08),(0.14),(0.08)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,25,27,4.3,3.8,5.1,1.2,0.48,2.5,0.49
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,0.55,(0.55),(0.17),(0.13),(0.21),ND,ND,(0.12),ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,1.1,1.3,(0.37),0.32,(0.41),(0.14),(0.10),(0.34),(0.10)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,0.99,1.2,(0.29),(0.25),(0.29),(0.11),(0.08),0.22,(0.07)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,11,12,5.7,4.8,6.9,2.6,1.4,4.9,1.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,33,38,5.3,4.8,6.0,1.8,3.3,7.4,2.0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,67,76,10,9.7,12,3.5,6.4,15,4.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,660,760,52,49,48,6.9,27,73,21
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,950,1100,88,83,88,16,37,110,29
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,0.16,(0.18),0.20,0.14,(0.10),0.11,0.79,0.46,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/L,0.25,0.22,0.17,0.14,(0.12),(0.04),(0.14),(0.30),(0.10)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/L,0.20,(0.20),0.15,0.14,(0.10),0.10,0.65,0.34,(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/L,9.3,10,3.7,3.2,4.1,1.9,4.0,5.2,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/L,0.35,0.28,0.27,0.26,0.40,0.16,0.75,(0.35),(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/L,0.27,0.30,0.30,0.27,(0.43),0.12,(0.44),(0.29),(0.04)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/L,7.1,7.6,4.8,4.4,7.1,2.1,3.9,4.3,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.58,0.64,0.51,0.56,(0.79),0.27,(0.65),(0.62),(0.12)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.47,0.49,0.49,0.41,(0.75),(0.24),(0.17),(0.39),ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/L,ND,ND,ND,(0.06),(0.08),ND,ND,ND,ND
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/L,0.50,0.48,0.75,0.73,(1.50),(0.44),(0.14),(0.44),(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/L,7.4,7.6,6.1,6.0,9.6,3.0,2.7,6.3,1.4
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/L,5.0,5.2,3.0,2.8,4.1,1.5,2.6,4.7,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/L,1.1,1.2,0.67,0.62,(1.20),(0.26),(0.21),0.48,(0.11)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/L,14,16,6.3,6.0,9.2,3.1,6.5,12,2.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/L,12,14,5.0,4.6,6.2,2.8,7.0,14,2.9
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/L,50,55,26,24,36,13,24,42,11
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/L,1000,1100,110,110,120,29,61,150,40
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/L,0.60,0.54,0.51,0.56,0.24,0.23,1.1,1.4,0.86
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/L,34,26,53,57,21,5.3,37,92,27
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/L,0.84,0.69,0.79,0.72,0.49,0.24,0.70,1.5,0.57
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/L,(0.09),(0.08),(0.16),(0.13),0.20,ND,ND,(0.16),ND
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/L,36,27,54,58,22,5.8,39,95,28
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/L,1.3,1.3,1.3,1.1,0.28,0.37,2.4,4.0,1.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/L,88,78,120,110,44,26,150,300,130
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/L,31,27,35,34,13,13,52,99,49
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/L,2.1,1.9,2.5,2.5,0.92,0.90,2.6,6.1,2.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/L,3.3,3.2,3.1,3.1,1.2,0.68,4.1,9.8,3.2
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/L,8.3,7.6,8.2,7.6,3.5,1.7,8.2,23,7.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/L,2.1,1.9,1.8,1.9,0.83,0.47,2.1,5.6,2.0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/L,0.52,0.53,0.67,0.66,0.57,0.22,0.60,1.5,0.38
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/L,140,120,170,160,64,43,220,450,200
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/L,170,150,230,220,86,49,260,540,220
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/L,1200,1300,340,330,210,78,320,690,260
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/L,1.5,1.7,0.68,0.6,0.85,0.27,0.45,0.59,0.14
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/L,0.094,0.078,0.094,0.087,0.059,0.027,0.082,0.18,0.067
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/L,1.6,1.8,0.77,0.68,0.91,0.30,0.54,0.76,0.20
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/L,1.5,1.7,0.84,0.75,1,0.33,0.65,0.85,0.22
浮遊物質量（SS）,,,,,mg/L,21,27,10,10,7,5,2,8,2
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,,
