ダイオキシン類異性体等分析結果（第２回 令和元年８月：区部）,,,,,,,,,,,,,,,,ダイオキシン類異性体等分析結果（第２回 令和元年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（令和元年8月21日～8月28日）,,,,,,,,,,単位：pg/m3,,,実測濃度,,,（令和元年8月21日～8月28日）,,,,,,,,,,,,,,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉　","⑧江戸川区
春江町局",,,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,"定量
下限値","検出
下限値","⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩郡
檜原局","定量
下限値","検出
下限値"
,,,,,,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,,,,,,,,,8月21日～28日,8月21日～28日,,,,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,8月21日～28日,,8月21日～28日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0018,0.0006,0.1,0.089,0.12,0.15,0.12,0.14,0.15,0.085,,,PCDDs,,"1,3,6,8-TeCDD",0,－,－,0.099,0.088,,0.0018,0.0006,0.083,0.098,0.092,0.089,0.089,0.17,,0.023,0.0006,0.0002
,,"1,3,7,9-TeCDD",0,0.0018,0.0006,0.04,0.035,0.046,0.06,0.043,0.052,0.056,0.032,,,,,"1,3,7,9-TeCDD",0,－,－,0.031,0.034,,0.0018,0.0006,0.029,0.036,0.032,0.03,0.03,0.059,,0.01,0.0006,0.0002
,,"2,3,7,8-TeCDD",1,0.0018,0.0006,0.001,0.001,ND,0.0009,ND,0.0009,0.0009,0.0008,,,,,"2,3,7,8-TeCDD",1,0.005,0.001,ND,ND,,0.0018,0.0006,ND,ND,ND,ND,ND,0.0008,,0.0005,0.0006,0.0002
,,TeCDDs,－,－,－,0.18,0.17,0.21,0.26,0.18,0.24,0.24,0.13,,,,,TeCDDs,－,－,－,0.15,0.14,,－,－,0.13,0.15,0.14,0.14,0.14,0.27,,0.05,－,－
,,"1,2,3,7,8-PeCDD",1,0.0033,0.0009,0.0019,ND,0.0022,0.0023,0.0018,0.0025,0.0021,ND,,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,0.003,ND,,0.0033,0.0009,0.0011,0.0016,0.0011,0.0018,ND,0.0018,,0.001,0.0011,0.0003
,,PeCDDs,－,－,－,0.059,0.051,0.069,0.086,0.049,0.075,0.085,0.054,,,,,PeCDDs,－,－,－,0.06,0.051,,－,－,0.042,0.056,0.041,0.049,0.026,0.067,,0.023,－,－
,,"1,2,3,4,7,8-HxCDD",0.1,0.005,0.001,ND,ND,ND,0.002,ND,0.002,0.002,ND,,,,,"1,2,3,4,7,8-HxCDD",0.1,0.009,0.003,ND,ND,,0.005,0.001,ND,ND,ND,ND,ND,0.002,,0.0006,0.0018,0.0005
,,"1,2,3,6,7,8-HxCDD",0.1,0.006,0.002,0.003,0.003,0.003,0.004,0.003,0.004,0.005,0.003,,,,,"1,2,3,6,7,8-HxCDD",0.1,0.008,0.002,0.004,0.003,,0.006,0.002,0.003,0.003,0.003,0.002,0.002,0.003,,0.0008,0.0019,0.0006
,,"1,2,3,7,8,9-HxCDD",0.1,0.005,0.002,0.003,0.002,0.003,0.004,ND,0.003,0.003,0.003,,,,,"1,2,3,7,8,9-HxCDD",0.1,0.009,0.003,0.004,ND,,0.005,0.002,0.002,0.002,ND,0.002,ND,0.002,,0.0007,0.0018,0.0006
,,HxCDDs,－,－,－,0.046,0.046,0.051,0.067,0.043,0.063,0.069,0.046,,,,,HxCDDs,－,－,－,0.059,0.04,,－,－,0.037,0.048,0.037,0.047,0.029,0.056,,0.014,－,－
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.012,0.003,0.018,0.021,0.018,0.025,0.019,0.03,0.029,0.021,,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.011,0.003,0.035,0.022,,0.012,0.003,0.02,0.021,0.017,0.023,0.019,0.019,,0.004,0.004,0.001
,,HpCDDs,－,－,－,0.038,0.042,0.038,0.053,0.039,0.065,0.059,0.046,,,,,HpCDDs,－,－,－,0.073,0.049,,－,－,0.038,0.043,0.036,0.046,0.037,0.037,,0.009,－,－
,,OCDD,0.0003,0.012,0.003,0.053,0.064,0.07,0.085,0.069,0.092,0.073,0.046,,,,,OCDD,0.0003,0.021,0.006,0.09,0.091,,0.012,0.003,0.06,0.082,0.061,0.082,0.071,0.076,,0.022,0.004,0.001
,,Total PCDDs,－,－,－,0.37,0.37,0.43,0.55,0.38,0.53,0.53,0.32,,,,,Total PCDDs,－,－,－,0.43,0.37,,－,－,0.31,0.38,0.32,0.36,0.3,0.5,,0.12,－,－
PCDFs,,"1,2,7,8-TeCDF",0,0.0024,0.0006,0.014,0.019,0.011,0.014,0.0081,0.015,0.013,0.01,,,PCDFs,,"1,2,7,8-TeCDF",0,－,－,0.012,0.009,,0.0024,0.0006,0.0082,0.0094,0.0062,0.0088,0.0065,0.011,,0.0081,0.0008,0.0002
,,"2,3,7,8-TeCDF",0.1,0.0024,0.0006,0.0087,0.0091,0.0066,0.0068,0.0043,0.008,0.0068,0.006,,,,,"2,3,7,8-TeCDF",0.1,0.005,0.002,0.007,0.005,,0.0024,0.0006,0.004,0.0046,0.0041,0.006,0.0035,0.006,,0.0042,0.0008,0.0002
,,"1,3,6,8-TeCDF",0,0.0024,0.0006,0.018,0.02,0.016,0.018,0.013,0.021,0.019,0.016,,,,,"1,3,6,8-TeCDF",0,－,－,0.015,0.012,,0.0024,0.0006,0.011,0.013,0.01,0.012,0.011,0.016,,0.0094,0.0008,0.0002
,,TeCDFs,－,－,－,0.41,0.47,0.36,0.39,0.26,0.44,0.42,0.32,,,,,TeCDFs,－,－,－,0.31,0.24,,－,－,0.25,0.26,0.2,0.24,0.19,0.31,,0.2,－,－
,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.008,0.009,0.009,0.011,0.006,0.013,0.013,0.008,,,,,"1,2,3,7,8-PeCDF",0.03,0.006,0.002,0.011,0.007,,0.005,0.001,0.007,0.005,0.007,0.005,0.005,0.008,,0.0051,0.0016,0.0005
,,"2,3,4,7,8-PeCDF",0.3,0.004,0.001,0.011,0.012,0.01,0.014,0.008,0.012,0.015,0.01,,,,,"2,3,4,7,8-PeCDF",0.3,0.006,0.002,0.011,0.006,,0.004,0.001,0.007,0.01,0.006,0.008,0.006,0.011,,0.0055,0.0015,0.0004
,,PeCDFs,－,－,－,0.26,0.34,0.24,0.26,0.17,0.32,0.33,0.23,,,,,PeCDFs,－,－,－,0.23,0.15,,－,－,0.16,0.16,0.12,0.14,0.11,0.19,,0.1,－,－
,,"1,2,3,4,7,8-HxCDF",0.1,0.006,0.002,0.013,0.012,0.011,0.014,0.007,0.016,0.017,0.011,,,,,"1,2,3,4,7,8-HxCDF",0.1,0.007,0.002,0.011,0.006,,0.006,0.002,0.008,0.008,0.007,0.008,0.006,0.01,,0.0043,0.002,0.0006
,,"1,2,3,6,7,8-HxCDF",0.1,0.005,0.001,0.012,0.011,0.011,0.014,0.007,0.016,0.017,0.011,,,,,"1,2,3,6,7,8-HxCDF",0.1,0.008,0.002,0.013,0.007,,0.005,0.001,0.008,0.008,0.007,0.009,0.005,0.01,,0.0048,0.0016,0.0005
