物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1,アクロレイン,,,,,,,,,,,
2,アセトン,2,186.0,0.0,0.0,147.0,147.0,0.0,0.0,43.0,43.0,0.0
3,イソアミルアルコール,,,,,,,,,,,
4,イソプロピルアルコール,3,1100.0,0.0,0.0,730.0,730.0,0.0,0.0,380.0,380.0,0.0
5,エチレン,,,,,,,,,,,
6,塩化スルホン酸,,,,,,,,,,,
7,塩化ビニルモノマー,,,,,,,,,,,
8,塩酸,2,30200.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,1100.0,0.0
9,塩素,,,,,,,,,,,
10,カドミウム及びその化合物,,,,,,,,,,,
11,キシレン,1,800.0,0.0,0.0,500.0,500.0,0.0,0.0,310.0,310.0,0.0
12,クロム及び三価クロム化合物,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
13,六価クロム化合物,1,110.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0.0
14,クロルピクリン,,,,,,,,,,,
15,クロロホルム,,,,,,,,,,,
16,酢酸エチル,1,1000.0,0.0,0.0,650.0,650.0,0.0,0.0,400.0,400.0,0.0
17,酢酸ブチル,1,2200.0,0.0,0.0,1300.0,1300.0,0.0,0.0,820.0,820.0,0.0
18,酢酸メチル,,,,,,,,,,,
19,酸化エチレン,,,,,,,,,,,
20,シアン化合物（錯塩及びシアン酸塩を除く無機シアン化物）,,,,,,,,,,,
21,四塩化炭素,,,,,,,,,,,
22,"1,2-ジクロロエタン",,,,,,,,,,,
23,"1,1-ジクロロエチレン",,,,,,,,,,,
24,"シス-1,2-ジクロロエチレン",,,,,,,,,,,
25,"1,3-ジクロロプロペン",,,,,,,,,,,
26,ジクロロメタン,,,,,,,,,,,
27,シマジン,,,,,,,,,,,
28,臭素化合物（臭化メチルに限る）,,,,,,,,,,,
29,硝酸,1,760.0,0.0,0.0,0.0,0.0,0.0,0.0,730.0,730.0,0.0
30,水銀及びその化合物,,,,,,,,,,,
31,スチレン,,,,,,,,,,,
32,セレン及びその化合物,,,,,,,,,,,
33,チウラム,,,,,,,,,,,
34,チオベンカルブ,,,,,,,,,,,
35,テトラクロロエチレン,,,,,,,,,,,
36,"1,1,1-トリクロロエタン",,,,,,,,,,,
37,"1,1,2-トリクロロエタン",,,,,,,,,,,
38,トリクロロエチレン,,,,,,,,,,,
39,トルエン,3,1480.0,0.0,0.0,994.0,994.0,0.0,0.0,496.0,496.0,0.0
40,鉛及びその化合物,2,530.0,0.0,165.0,0.0,0.0,0.0,0.0,380.0,380.0,0.0
41,ニッケル,,,,,,,,,,,
42,ニッケル化合物,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,二硫化炭素,,,,,,,,,,,
44,砒素及びその無機化合物,,,,,,,,,,,
45,ＰＣＢ,,,,,,,,,,,
46,ピリジン,,,,,,,,,,,
47,フェノール,,,,,,,,,,,
48,ふっ化水素及びその水溶性塩,,,,,,,,,,,
49,ヘキサン,,,,,,,,,,,
50,ベンゼン,,,,,,,,,,,
51,ホルムアルデヒド,1,2000.0,0.0,0.0,340.0,340.0,0.0,0.0,1300.0,1300.0,10.0
52,マンガン及びその化合物,,,,,,,,,,,
53,メタノール,1,320.0,0.0,0.0,200.0,200.0,0.0,0.0,120.0,120.0,0.0
54,メチルイソブチルケトン,1,590.0,0.0,0.0,360.0,360.0,0.0,0.0,220.0,220.0,0.0
55,メチルエチルケトン,3,2140.0,0.0,0.0,1480.0,1480.0,0.0,0.0,500.0,500.0,0.0
56,有機燐（りん）化合物（ＥＰＮに限る。）,,,,,,,,,,,
57,硫酸,2,41620.0,0.0,0.0,0.0,0.0,0.0,0.0,10590.0,10590.0,0.0
58,ほう素及びその化合物,,,,,,,,,,,
,総計,27,85036.0,0.0,170.0,6701.0,6701.0,0.0,0.0,17491.0,17491.0,10.0
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
