大気　ダイオキシン類異性体等分析結果（第２回調査　 ２０２０(令和２)年８月：区部）,,,,,,,,,,,,,,,大気　ダイオキシン類異性体等分析結果（第２回調査 　２０２０(令和２)年８月：多摩部）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実測濃度,,,（2020(令和2)年　8月19日～8月26日）,,,,,,,,,,単位：pg/m3,,実測濃度,,,（2020(令和2)年　8月19日～8月26日）,,,,単位：pg/m3,,,,,,,,,単位：pg/m3,,,,単位：pg/m3
化合物の名称等,,,"毒性
等価係数",定量下限値,検出下限値,"①中央区
晴海局","②大田区
東糀谷局","③世田谷区
世田谷局","④板橋区
氷川町局","⑤練馬区
石神井町局","⑥足立区
西新井局","⑦葛飾区
鎌倉","⑧江戸川区
春江町局",,化合物の名称等,,,"毒性
等価係数","定量
下限値","検出
下限値","⑨八王子市
片倉町局","?八王子市
大楽寺町局",,定量下限値,検出下限値,"⑪立川市
錦町","⑫町田市
能ヶ谷局","⑬小金井市
貫井北町","⑭福生市
本町局","⑮東大和市
奈良橋局","⑯清瀬市
下宿",,"⑰西多摩
郡檜原局",定量下限値,検出下限値
,,,,,,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,,,,,,,,8月19日～26日,8月19日～26日,,,,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,8月19日～26日,,8月19日～26日,,
PCDDs,,"1,3,6,8-TeCDD",0,0.0036,0.0009,0.12,0.1,0.096,0.14,0.11,0.18,0.19,0.15,,PCDDs,,"1,3,6,8-TeCDD",0,0.004,0.001,0.12,0.11,,0.0036,0.0009,0.27,0.088,0.13,0.13,0.18,0.16,,0.029,0.0012,0.0003
,,"1,3,7,9-TeCDD",0,0.0036,0.0009,0.04,0.043,0.036,0.055,0.042,0.074,0.073,0.058,,,,"1,3,7,9-TeCDD",0,0.004,0.001,0.046,0.046,,0.0036,0.0009,0.13,0.036,0.056,0.054,0.075,0.056,,0.013,0.0012,0.0003
,,"2,3,7,8-TeCDD",1,0.0036,0.0009,ND,ND,ND,-0.001,ND,ND,ND,ND,,,,"2,3,7,8-TeCDD",1,0.004,0.001,      ND,      ND,,0.0036,0.0009,-0.0027,ND,ND,-0.0013,ND,ND,,-0.0003,0.0012,0.0003
,,TeCDDs,－,―,―,0.19,0.18,0.16,0.23,0.17,0.29,0.31,0.25,,,,TeCDDs,－,--,--,0.2,0.18,,―,―,0.51,0.15,0.23,0.24,0.32,0.26,,0.053,―,―
,,"1,2,3,7,8-PeCDD",1,0.004,0.001,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.002,,,,"1,2,3,7,8-PeCDD",1,0.005,0.001,      ND,      ND,,0.004,0.001,0.006,-0.002,ND,-0.003,ND,-0.002,,-0.0006,0.0015,0.0005
,,PeCDDs,－,―,―,0.062,0.061,0.047,0.069,0.047,0.079,0.079,0.076,,,,PeCDDs,－,--,--,0.094,0.053,,―,―,0.29,0.055,0.091,0.11,0.11,0.079,,0.02,―,―
,,"1,2,3,4,7,8-HxCDD",0.1,0.006,0.002,ND,ND,ND,-0.002,ND,-0.002,-0.002,ND,,,,"1,2,3,4,7,8-HxCDD",0.1,0.008,0.003,      ND,      ND,,0.006,0.002,-0.006,ND,-0.002,-0.003,-0.002,-0.002,,ND,0.0021,0.0006
,,"1,2,3,6,7,8-HxCDD",0.1,0.006,0.002,-0.003,-0.003,ND,-0.005,-0.003,-0.005,-0.005,-0.004,,,,"1,2,3,6,7,8-HxCDD",0.1,0.009,0.003,-0.003,      ND,,0.006,0.002,0.013,-0.003,-0.005,ND,-0.006,-0.004,,-0.001,0.002,0.0006
,,"1,2,3,7,8,9-HxCDD",0.1,0.006,0.002,-0.002,-0.002,ND,-0.004,-0.002,-0.004,-0.003,-0.002,,,,"1,2,3,7,8,9-HxCDD",0.1,0.008,0.002,-0.004,-0.003,,0.006,0.002,0.01,ND,-0.004,-0.005,-0.003,-0.003,,-0.0012,0.0021,0.0006
,,HxCDDs,－,―,―,0.052,0.052,0.033,0.067,0.048,0.072,0.068,0.054,,,,HxCDDs,－,--,--,0.096,0.054,,―,―,0.26,0.048,0.091,0.09,0.093,0.071,,0.019,―,―
,,"1,2,3,4,6,7,8-HpCDD",0.01,0.009,0.003,0.021,0.02,0.016,0.024,0.021,0.033,0.034,0.02,,,,"1,2,3,4,6,7,8-HpCDD",0.01,0.009,0.003,0.038,0.028,,0.009,0.003,0.075,0.023,0.029,0.035,0.037,0.03,,0.014,0.0031,0.0009
,,HpCDDs,－,―,―,0.046,0.041,0.035,0.051,0.041,0.061,0.068,0.042,,,,HpCDDs,－,--,--,0.075,0.06,,―,―,0.16,0.052,0.061,0.072,0.077,0.061,,0.027,―,―
,,OCDD,0.0003,0.024,0.006,0.11,0.12,0.075,0.08,0.088,0.11,0.15,0.089,,,,OCDD,0.0003,0.023,0.007,0.13,0.14,,0.024,0.006,0.18,0.12,0.12,0.12,0.14,0.11,,0.069,0.008,0.002
,,Total PCDDs,－,―,―,0.46,0.46,0.35,0.5,0.39,0.61,0.67,0.51,,,,Total PCDDs,－,--,--,0.6,0.49,,―,―,1.4,0.42,0.59,0.63,0.74,0.58,,0.19,―,―
PCDFs,,"1,2,7,8-TeCDF",0,0.006,0.002,0.013,0.019,0.011,0.013,0.011,0.016,0.013,0.012,,PCDFs,,"1,2,7,8-TeCDF",0,0.005,0.001,0.01,0.009,,0.006,0.002,0.021,0.009,0.013,0.017,0.016,0.012,,0.0063,0.0019,0.0006
,,"2,3,7,8-TeCDF",0.1,0.006,0.002,0.008,0.008,-0.005,0.007,0.007,0.01,0.006,0.006,,,,"2,3,7,8-TeCDF",0.1,0.005,0.001,0.005,-0.004,,0.006,0.002,0.015,-0.004,0.006,0.01,0.009,0.007,,0.0035,0.0019,0.0006
,,"1,3,6,8-TeCDF",0,0.006,0.002,0.017,0.021,0.012,0.016,0.014,0.024,0.018,0.013,,,,"1,3,6,8-TeCDF",0,0.005,0.001,0.014,0.012,,0.006,0.002,0.024,0.014,0.014,0.021,0.021,0.013,,0.0086,0.0019,0.0006
,,TeCDFs,－,―,―,0.41,0.5,0.25,0.36,0.29,0.5,0.34,0.4,,,,TeCDFs,－,--,--,0.29,0.28,,―,―,0.68,0.23,0.32,0.49,0.43,0.31,,0.16,―,―
,,"1,2,3,7,8-PeCDF",0.03,0.0012,0.0003,0.009,0.0094,ND,0.012,0.0077,0.013,0.0083,0.007,,,,"1,2,3,7,8-PeCDF",0.03,0.005,0.001,0.007,0.006,,0.0012,0.0003,0.018,0.0069,0.0064,0.016,0.012,0.01,,0.0033,0.0004,0.0001
,,"2,3,4,7,8-PeCDF",0.3,0.0024,0.0006,0.0098,0.0091,0.0064,0.011,0.0068,0.014,0.011,0.0078,,,,"2,3,4,7,8-PeCDF",0.3,0.004,0.001,0.01,0.006,,0.0024,0.0006,0.027,0.0075,0.012,0.019,0.016,0.0091,,0.0047,0.0008,0.0002
,,PeCDFs,－,―,―,0.28,0.34,0.18,0.29,0.21,0.32,0.28,0.3,,,,PeCDFs,－,--,--,0.16,0.16,,―,―,0.48,0.16,0.22,0.35,0.29,0.21,,0.078,―,―
,,"1,2,3,4,7,8-HxCDF",0.1,0.007,0.002,0.01,0.01,ND,0.015,0.009,0.015,0.013,0.009,,,,"1,2,3,4,7,8-HxCDF",0.1,0.006,0.002,0.01,0.009,,0.007,0.002,0.027,0.009,0.013,0.022,0.015,0.01,,0.0044,0.0025,0.0007
,,"1,2,3,6,7,8-HxCDF",0.1,0.004,0.001,0.01,0.01,0.007,0.014,0.007,0.014,0.011,0.008,,,,"1,2,3,6,7,8-HxCDF",0.1,0.006,0.002,0.009,0.008,,0.004,0.001,0.026,0.008,0.011,0.017,0.014,0.01,,0.0039,0.0013,0.0004
,,"1,2,3,7,8,9-HxCDF",0.1,0.007,0.002,ND,ND,ND,ND,ND,ND,ND,ND,,,,"1,2,3,7,8,9-HxCDF",0.1,0.008,0.002,      ND,      ND,,0.007,0.002,-0.003,ND,ND,ND,ND,ND,,ND,0.0023,0.0007
,,"2,3,4,6,7,8-HxCDF",0.1,0.004,0.001,0.008,0.007,0.005,0.011,0.005,0.011,0.01,0.007,,,,"2,3,4,6,7,8-HxCDF",0.1,0.008,0.002,0.01,-0.007,,0.004,0.001,0.027,0.005,0.009,0.015,0.012,0.009,,0.0031,0.0012,0.0004
