項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位※1,(1)東京湾／St.5,(2)東京湾／St.6,(3)東京湾／St.8,(3)東京湾／St.8／外部精度管理,(4)東京湾／St.22,(4)東京湾／St.22／二重測定,(5)東京湾／St.23,(6)東京湾／St.25,(7)東京湾／St.32,(8)東京湾／St.35
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.30,0.10,1,pg/g,0.8,0.8,1,0.68,1,1.1,0.3,0.7,0.7,1.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.30,0.10,-,pg/g,530,300,960,560,730,680,35,340,160,640
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.30,0.10,-,pg/g,340,120,370,220,270,280,15,130,61,250
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/g,900,450,1400,820,1100,1000,58,510,260,950
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.30,0.10,1,pg/g,1.9,1.7,2.8,2.9,3.8,4,0.4,2.2,1.7,4.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.30,0.10,-,pg/g,-,-,-,-,-,-,-,-,-,-
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/g,83,78,160,140,200,200,13,96,66,190
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.70,0.20,0.1,pg/g,2.4,2.8,4.1,3.8,5.6,5.4,(0.5),3,2.5,5.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.70,0.20,0.1,pg/g,7,8.2,11,8.8,17,17,1.9,8.9,6.3,17
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.70,0.20,0.1,pg/g,5.4,6.5,8.5,7.5,11,12,1.7,7.3,5.1,13
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/g,83,92,110,100,180,190,23,97,78,190
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.70,0.20,0.01,pg/g,140,180,230,210,430,440,47,230,110,480
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/g,280,360,470,430,770,810,92,440,230,880
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,1.70,0.50,0.0003,pg/g,1700,2500,3900,4300,6100,5700,610,3100,1500,5800
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/g,3000,3500,6000,5800,8300,7900,800,4200,2100,8000
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.30,0.10,0.1,pg/g,7.1,5.5,3.8,4,7.6,7.7,3,6.3,4.2,7.3
