物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1200,食料品製造業,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,,,,,,,,,,,
1320,酒類製造業,,,,,,,,,,,
1350,たばこ製造業,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,1,1900.0,0.0,0.0,600.0,600.0,0.0,0.0,1300.0,1300.0,0.0
1700,家具・装備品製造業,9,5310.0,0.0,0.0,4640.0,4640.0,0.0,0.0,647.0,647.0,0.0
1800,パルプ・紙・紙加工品製造業,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,,,,,,,,,,,
1931,印刷業,1,510.0,0.0,0.0,90.0,90.0,0.0,0.0,420.0,420.0,0.0
1941,製版業,,,,,,,,,,,
1951,製本業,,,,,,,,,,,
1952,印刷物加工業,,,,,,,,,,,
2000,化学工業（下の業種を除く）,19,573700.0,0.0,545430.0,5723.9,5723.9,0.0,0.0,13084.0,13084.0,0.0
2060,医薬品製造業,,,,,,,,,,,
2100,石油製品・石炭製品製造業,1,1200.0,0.0,1200.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0
2200,プラスチック製品製造業,3,17870.0,0.0,0.0,9963.0,9963.0,0.0,0.0,7610.0,7610.0,0.0
2300,ゴム製品製造業,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,1,120.0,0.0,0.0,40.0,40.0,0.0,0.0,80.0,80.0,0.0
2500,窯業・土石製品製造業,,,,,,,,,,,
2600,鉄鋼業,1,370.0,0.0,0.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0
2700,非鉄金属製造業,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,3,1660.0,0.0,0.0,1580.0,1580.0,0.0,0.0,94.0,94.0,0.0
2861,金属製品塗装業,16,20130.0,0.0,0.0,15760.0,15760.0,0.0,0.0,2272.0,2272.0,0.0
2862,溶触めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,
2865,金属熱処理業,,,,,,,,,,,
2900,一般機械器具製造業,4,610.0,0.0,0.0,566.0,566.0,0.0,0.0,48.3,48.3,0.0
3000,電気機械器具製造業（下の業種を除く）,10,19970.0,0.0,4000.0,3312.0,3312.0,0.0,0.0,12920.0,11920.0,940.0
3060,電子応用装置製造業,,,,,,,,,,,
3070,電気計測器製造業,1,2200.0,0.0,0.0,1300.0,1300.0,0.0,0.0,820.0,820.0,0.0
3100,輸送用機械器具製造業（下の業種を除く）,9,210620.0,0.0,0.0,139720.0,139720.0,0.0,0.0,47894.0,47894.0,0.0
3120,鉄道車両・同部分品製造業,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,1,930.0,0.0,0.0,280.0,280.0,0.0,0.0,650.0,650.0,0.0
3230,医療用機械器具・医療用品製造業,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,
3400,その他の製造業,4,535.0,0.0,0.0,439.0,439.0,0.0,0.0,93.0,93.0,0.0
3500,電気業,,,,,,,,,,,
3600,ガス業,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,
3830,下水道業,,,,,,,,,,,
3900,鉄道業,1,390.0,0.0,0.0,340.0,340.0,0.0,0.0,51.0,51.0,0.0
4400,倉庫業,,,,,,,,,,,
5132,石油卸売業,,,,,,,,,,,
5930,燃料小売業,,,,,,,,,,,
7200,洗濯・理容・浴場業（下の業種を除く）,,,,,,,,,,,
7211,普通洗濯業,,,,,,,,,,,
7213,リネンサプライ業,,,,,,,,,,,
7430,写真業,,,,,,,,,,,
7700,自動車整備業,61,74248.0,0.0,0.0,67630.0,67630.0,0.0,0.0,6406.0,6406.0,0.0
7810,機械修理業,3,2110.0,0.0,0.0,1800.0,1800.0,0.0,0.0,309.0,309.0,0.0
8632,環境計量証明業,,,,,,,,,,,
8700,廃棄物処理業（下の業種を除く）,,,,,,,,,,,
8710,一般廃棄物処理業,,,,,,,,,,,
8716,ごみ処分業,,,,,,,,,,,
8722,産業廃棄物処分業,,,,,,,,,,,
8724,特別産業廃棄物処分業,,,,,,,,,,,
8800,医療業,,,,,,,,,,,
9100,教育,,,,,,,,,,,
9210,自然科学研究所,1,230.0,0.0,0.0,12.0,12.0,0.0,0.0,210.0,210.0,0.0
9999,分類不明,,,,,,,,,,,
,総計,150,934613.0,0.0,550630.0,254168.2,254168.2,0.0,0.0,94908.3,93908.3,940.0
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
