区分,レンジ,基準,原単位(kg-CO2/m2)範囲,事業所数,平均面積(m2)
オフィス（テナント専有部）,A4,0.55以下,44.8以下,146,1260
オフィス（テナント専有部）,A3+,0.55超-0.60以下,44.8超-48.8以下,27,1203
オフィス（テナント専有部）,A3,0.60超-0.65以下,48.8超-52.9以下,31,1501
オフィス（テナント専有部）,A3-,0.65超-0.70以下,52.9超-57.0以下,35,1078
オフィス（テナント専有部）,A2+,0.70超-0.75以下,57.0超-61.0以下,40,1924
オフィス（テナント専有部）,A2,0.75超-0.80以下,61.0超-65.1以下,28,1097
オフィス（テナント専有部）,A2-,0.80超-0.85以下,65.1超-69.2以下,32,1756
オフィス（テナント専有部）,A1+,0.85超-0.90以下,69.2超-73.2以下,30,1328
オフィス（テナント専有部）,A1,0.90超-0.95以下,73.2超-77.3以下,47,2001
オフィス（テナント専有部）,A1-,0.95超-1.00以下,77.3超-81.3以下,30,1283
オフィス（テナント専有部）,B2+,1.00超-1.05以下,81.3超-85.4以下,28,1497
オフィス（テナント専有部）,B2,1.05超-1.10以下,85.4超-89.5以下,32,1920
オフィス（テナント専有部）,B2-,1.10超-1.15以下,89.5超-93.5以下,20,919
オフィス（テナント専有部）,B1,1.15超-1.50以下,93.5超-122.0以下,107,1641
オフィス（テナント専有部）,C,1.50超,122.0超,89,1402
オフィス（自社ビル）,A4,0.55以下,36.0以下,75,3126
オフィス（自社ビル）,A3+,0.55超-0.60以下,36.0超-39.3以下,29,3092
オフィス（自社ビル）,A3,0.60超-0.65以下,39.3超-42.6以下,21,3338
オフィス（自社ビル）,A3-,0.65超-0.70以下,42.6超-45.8以下,24,4377
オフィス（自社ビル）,A2+,0.70超-0.75以下,45.8超-49.1以下,35,3314
オフィス（自社ビル）,A2,0.75超-0.80以下,49.1超-52.4以下,32,3173
オフィス（自社ビル）,A2-,0.80超-0.85以下,52.4超-55.6以下,27,4164
オフィス（自社ビル）,A1+,0.85超-0.90以下,55.6超-58.9以下,23,5388
オフィス（自社ビル）,A1,0.90超-0.95以下,58.9超-62.2以下,31,2641
オフィス（自社ビル）,A1-,0.95超-1.00以下,62.2超-65.4以下,27,2814
オフィス（自社ビル）,B2+,1.00超-1.05以下,65.4超-68.7以下,34,4906
オフィス（自社ビル）,B2,1.05超-1.10以下,68.7超-72.0以下,30,5468
オフィス（自社ビル）,B2-,1.10超-1.15以下,72.0超-75.3以下,22,4651
オフィス（自社ビル）,B1,1.15超-1.50以下,75.3超-98.1以下,105,5209
オフィス（自社ビル）,C,1.50超,98.1超,58,5755
テナントビル（オフィス系、小規模）,A4,0.55以下,43.4以下,49,2014
テナントビル（オフィス系、小規模）,A3+,0.55超-0.60以下,43.4超-47.4以下,28,1949
テナントビル（オフィス系、小規模）,A3,0.60超-0.65以下,47.4超-51.3以下,25,1777
テナントビル（オフィス系、小規模）,A3-,0.65超-0.70以下,51.3超-55.3以下,37,1885
テナントビル（オフィス系、小規模）,A2+,0.70超-0.75以下,55.3超-59.2以下,32,2058
