項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1中川／平井小橋,2新中川／小岩大橋,3隅田川／小台橋,4新河岸川／志茂橋,5石神井川／豊石橋,6横十間川／天神橋,7北十間川／京成橋,8旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/ｌ,0,0,0,0,0,(0.06),(0.05),0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/ｌ,30,21,3.1,3.3,0.22,3.5,2.9,0.82
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/ｌ,11,8,1.4,1.2,(0.09),1.5,1.1,0.29
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/ｌ,42,30,5.7,5.6,0.71,6.3,5,1.5
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/ｌ,0.1,0.11,0,0,0,(0.07),(0.05),0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/ｌ,0.14,0.13,0,0,0,0.15,(0.08),(0.07)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/ｌ,5.8,4.2,0.79,0.83,0.1,1.7,0.96,0.36
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,(0.13),(0.12),0,0,0,(0.13),0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,0.34,0.26,0,0,0,0.6,(0.19),(0.12)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/ｌ,0.28,0.24,0,0,0,0.33,0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/ｌ,3.4,2.8,0.68,0.59,0.14,5.5,1.5,1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/ｌ,9.5,7.3,1.7,1.1,(0.10),18,3.1,1.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/ｌ,19,15,3.3,2.3,0.21,33,5.9,3.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/ｌ,160,130,22,16,0.9,190,38,17
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/ｌ,230,180,32,25,2.1,240,51,24
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/ｌ,(0.09),0.1,(0.07),(0.06),(0.08),5.1,0.24,(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/ｌ,0.16,0,(0.08),(0.05),0,0.22,0.12,(0.05)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/ｌ,(0.09),(0.09),(0.07),(0.05),(0.05),4.8,0.21,0.1
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/ｌ,3.4,2,1.2,1.1,0.46,19,2.4,0.81
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/ｌ,(0.08),0.1,(0.07),0,(0.04),4.5,0.23,(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/ｌ,0.1,(0.08),(0.07),(0.07),0,2.5,0.14,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/ｌ,2.2,1.4,1,0.94,0.17,15,1.8,0.33
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,0.24,0.22,(0.13),(0.09),(0.09),4.5,0.29,(0.10)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,(0.18),(0.16),(0.11),(0.08),0,1.4,(0.15),(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/ｌ,0,0,0,0,0,(0.14),0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,(0.18),(0.12),(0.07),(0.09),0,0.63,(0.18),(0.09)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/ｌ,2.8,2,0.94,0.72,0.09,14,2.2,0.82
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/ｌ,1.6,1.2,0.71,0.45,(0.06),12,1.7,0.91
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/ｌ,0.23,(0.19),(0.11),(0.08),0,1.2,0.2,(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/ｌ,4.4,3.3,1.8,1,0.06,36,5.1,2.6
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/ｌ,3.8,3.1,2.4,0.7,0,48,6.8,3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/ｌ,17,12,7.3,4.5,0.78,130,18,7.6
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/ｌ,250,190,40,30,2.8,370,70,31
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/ｌ,0.25,(0.12),0.43,0.34,(0.12),2.6,0.8,0.81
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/ｌ,24,6.6,37,18,2.4,100,44,29
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/ｌ,0.45,0.2,0.39,0.29,(0.07),1.7,0.74,0.43
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/ｌ,0,0,(0.09),0,0,0.21,(0.06),0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/ｌ,25,6.9,38,19,2.6,100,46,30
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/ｌ,0.81,0.54,1.8,0.99,0.36,7.2,3.2,1.9
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/ｌ,47,28,110,67,13,400,190,130
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/ｌ,16,9.7,32,21,5.9,130,61,45
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/ｌ,1.2,0.65,2.7,1.6,0.51,7.3,4.3,2.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/ｌ,1.4,0.99,2.3,1.6,0.35,12,6,2.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/ｌ,3.4,2.6,6.3,4.7,0.92,29,16,7.3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/ｌ,0.9,0.63,1.4,1,0.23,6.7,3.6,1.8
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/ｌ,0.26,(0.15),0.36,0.27,(0.09),1.9,1.1,0.38
