No.,分野,区分,下地,仕上げの種類,工程,材料,所要量(kg/m2),シンナー,希釈率(%),塗り回数(回),塗装方法,工程内間隔時間(hr),工程間間隔時間(hr),VOC量(g/m2),耐久性ランク,材工費ランク,参考資料
下塗り溶剤系,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,下塗り／主材塗り1回目／主材塗り2回目,,,,,,,,,70,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,下塗り,外装薄塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,主材塗り1回目,外装薄塗材Ｅ主材,1.0以上（2回の合計）,水道水,製造所の指定,1,吹付け,―,2以上,,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,主材塗り2回目,外装薄塗材Ｅ主材,1.0以上（2回の合計）,水道水,製造所の指定,1,吹付け,―,―,,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,下塗り／主材塗り1回目／主材塗り2回目,,,,,,,,,4,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,下塗り,外装薄塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,主材塗り1回目,外装薄塗材Ｅ主材,1.0以上(2回の合計）,水道水,製造所の指定,1,吹付け,―,2以上,,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.1,建築,新築,セメント,外装薄塗材Ｅ仕上げ(砂壁状、吹付け）,主材塗り2回目,外装薄塗材Ｅ主材,1.0以上(2回の合計）,水道水,製造所の指定,1,吹付け,―,―,,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,外装薄塗材Ｅ仕上げ(ゆず肌・さざ波状、ローラー塗り）,下塗り／主材塗り,,,,,,,,,70,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,外装薄塗材Ｅ仕上げ(ゆず肌・さざ波状、ローラー塗り）,下塗り,外装薄塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,外装薄塗材Ｅ仕上げ(ゆず肌・さざ波状、ローラー塗り）,主材塗り,外装薄塗材Ｅ主材,0.6以上,水道水,製造所の指定,1～2,ローラー,2以上,―,,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.2,建築,新築,セメント,外装薄塗材Ｅ仕上げ(ゆず肌・さざ波状、ローラー塗り）,下塗り／主材塗り,,,,,,,,,4,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.2,建築,新築,セメント,外装薄塗材Ｅ仕上げ(ゆず肌・さざ波状、ローラー塗り）,下塗り,外装薄塗材Ｅ下塗材,0.1以上,水道水,製造所の指定,1,吹付け・ローラー,―,3以上,4,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
3.2,建築,新築,セメント,外装薄塗材Ｅ仕上げ(ゆず肌・さざ波状、ローラー塗り）,主材塗り,外装薄塗材Ｅ主材,0.6以上,水道水,製造所の指定,1～2,ローラー,2以上,―,,I,A,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,下塗り／増塗り／主材基層塗り／主材模様塗り／（凸部処理）,,,,,,,,,70,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,下塗り,防水形外装薄塗材Ｅ下塗材,0.1以上,シンナー,製造所の指定,1,吹付け・ローラー,―,3以上,70,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,増塗り,防水形外装薄塗材Ｅ主材,0.7以上,水道水,製造所の指定,1,はけ・ローラー,―,3以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
下塗り溶剤系,建築,新築,セメント,防水形外装薄塗材Ｅ仕上げ（凹凸状、吹付け）,主材基層塗り,防水形外装薄塗材Ｅ主材,1.0以上,水道水,製造所の指定,1～2,吹付け,5以上,16以上,,II,C,日本建築学会「JASS23 吹付け工事」／国土交通省  「公共建築工事標準仕様書（建築工事編）」
