,表6-1　環境大気中のダイオキシン類調査結果（2019(令和元）年度）,,,,,,,（単位 ： pg-TEQ/m3）
調査地点,,2019（令和元）年度結果,,,,,2018（平成30）年度,2017（平成29）年度
,,"5月22日
～5月29日","8月21日
～8月28日","11月13日
～11月20日","2月 7日
～2月14日（注2）",平均値,平均値,平均値
1,中央区晴海局,0.017,0.015,0.017,0.027,0.019,0.021,0.026
2,大田区東糀谷局,0.02,0.014,0.021,0.016,0.018,0.024,0.017
3,世田谷区世田谷局,0.012,0.014,0.015,0.024,0.016,0.02,0.016
4,板橋区氷川町局,0.014,0.017,0.025,0.028,0.021,0.022,0.018
5,練馬区石神井町局,0.0098,0.01,0.013,0.025,0.014,0.017,0.019
6,足立区西新井局,0.02,0.018,0.035,0.036,0.027,0.025,0.029
7,葛飾区鎌倉,0.019,0.018,0.045,0.037,0.03,0.03,0.033
8,江戸川区春江町局,0.013,0.012,0.03,0.048,0.026,0.025,0.021
9,八王子市片倉町局,0.011,0.016,0.013,0.024,0.016,0.014,0.018
10,八王子市大楽寺町局,0.0065,0.0088,0.011,0.012,0.0096,0.015,0.0093
11,立川市錦町,0.012,0.0095,0.029,0.031,0.02,0.018,0.015
12,町田市能ヶ谷局,0.008,0.011,0.009,0.019,0.012,0.02,0.013
13,小金井市貫井北町(注1),0.0081,0.0086,0.022,0.02,0.015,0.014,0.014
14,福生市本町局,0.01,0.011,0.017,0.014,0.013,0.011,0.011
15,東大和市奈良橋局,0.01,0.0072,0.013,0.013,0.011,0.015,0.014
16,清瀬市下宿,0.014,0.014,0.022,0.027,0.019,0.02,0.02
17,西多摩郡檜原局,0.011,0.0062,0.0027,0.0046,0.0061,0.0085,0.0057
平　　　均,,0.013,0.012,0.02,0.024,0.017,0.019,0.018
最　　　大,,0.02,0.018,0.045,0.048,0.03,0.03,0.033
最　　　小,,0.0065,0.0062,0.0027,0.0046,0.0061,0.0085,0.0057
,備考：,(1) 毒性等価係数：WHO-TEF (2006)。,,,,,,
,,(2) TEQを換算する際に、分析値が検出下限未満のものについては”検出下限×1/2”として扱った。,,,,,,
,,(3) 調査は1週間連続採取。採取大気量はいずれも約1000m3（西多摩郡檜原測定局については、採取大気量を約3000m3）。,,,,,,
,,(4) 過年度の平均値は、⑬小金井貫井北町を除く16地点については、今回調査した地点についての平均値である。,,,,,,
,,(注1) ⑬小金井市貫井北町は2018（H30）12月より本町局から測定地点を変更した。,,,,,,
,,(注2)⑤練馬区石神井町局においては2月7日(金)13:12頃から2月12日(水)10:05頃の間に27時間54分間程度サンプラーが停止した（ハイボリウムエアサンプラーの内部メモリの記録等より2月11日(火) 6:11頃）ことが推測されたため、 停止していた時間分サンプリングを延長した。このため他地点とは測定期間が異なる。,,,,,,
