種類,,,,排出量（千t）,直接再生利用量（千t）,直接最終処分量（千t）,中間処理／処理量（千t）,中間処理／処理後量（千t）,中間処理／処理後再生利用量（千t）,中間処理／処理後最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,10792,13,106,10673,8687,8372,315,8385,1986,421
燃え殻,,,,3,0,1,2,1,1,0,1,1,1
汚泥,,,,3844,0,0,3844,2014,1923,91,1923,1830,91
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,3686,0,0,3686,1912,1846,66,1846,1774,66
汚泥,その他の汚泥,,,158,0,0,158,102,77,25,77,56,25
廃油,,,,2,0,0,2,1,1,0,1,1,0
廃酸,,,,0,0,0,0,0,0,0,0,0,0
廃アルカリ,,,,4,0,0,4,2,2,0,2,2,0
廃プラスチック類,,,,102,0,1,101,93,85,8,85,8,9
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0
金属くず,,,,81,0,0,81,81,80,1,80,0,1
ガラス・陶磁器くず,,,,255,0,66,189,176,149,27,149,13,93
鉱さい,,,,8,0,0,8,8,7,1,7,0,1
がれき類,,,,5822,13,0,5809,5747,5633,114,5646,62,114
がれき類,コンクリート塊,,,3506,13,0,3493,3465,3448,17,3461,28,17
がれき類,アスファルト･コンクリート塊,,,1074,0,0,1074,1056,1052,4,1052,18,4
がれき類,その他のがれき類,,,1242,0,0,1242,1226,1133,93,1133,16,93
石綿含有産業廃棄物,,,,44,0,30,14,11,5,6,5,3,36
ばいじん,,,,0,0,0,0,0,0,0,0,0,0
紙くず,,,,37,0,0,37,30,30,0,30,7,0
木くず,,,,316,0,0,316,273,270,3,270,43,3
繊維くず,,,,3,0,0,3,3,2,1,2,0,1
動植物性残さ,,,,0,0,0,0,0,0,0,0,0,0
動物系固形不要物,,,,0,0,0,0,0,0,0,0,0,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,261,0,2,259,246,183,63,183,13,65
その他,,,,1,0,0,1,0,0,0,0,1,0
特別管理産業廃棄物,,,,9,0,6,3,1,1,0,1,2,6
特別管理産業廃棄物,廃油,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃酸,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃アルカリ,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,感染性廃棄物,,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,,,9,0,6,3,1,1,0,1,2,6
特別管理産業廃棄物,特定有害廃棄物,廃ＰＣＢ等,,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,廃石綿等,,8,0,6,2,1,1,0,1,1,6
特別管理産業廃棄物,特定有害廃棄物,その他,,1,0,0,1,0,0,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,指定下水道汚泥,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,鉱さい,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,燃え殻,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,ばいじん,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃油,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,汚泥,1,0,0,1,0,0,0,0,1,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃酸,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃アルカリ,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,特定有害廃棄物,その他,廃水銀等,0,0,0,0,0,0,0,0,0,0
