項目名,毒性等価係数,千代田区猿楽町1／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,台東区台東4／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,墨田区堤通2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,大田区西六郷3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,世田谷区上祖師谷3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,渋谷区広尾5／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,豊島区西池袋3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,練馬区大泉町3／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,足立区入谷2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）,江戸川区小松川2／定量下限値（pg/g-dry）,検出下限値（pg/g-dry）,分析値（pg/g-dry）
"1,3,6,8-TeCDD",0,0.3,0.1,1.5,0.3,0.1,1.7,0.3,0.1,17,0.3,0.1,8.8,0.3,0.1,13,0.3,0.1,5.6,0.3,0.1,5.3,0.3,0.1,29,0.3,0.1,2.3,0.3,0.1,570
"1,3,7,9-TeCDD",0,0.3,0.1,0.6,0.3,0.1,0.8,0.3,0.1,8.4,0.3,0.1,4.6,0.3,0.1,6.2,0.3,0.1,2.0,0.3,0.1,2.4,0.3,0.1,16,0.3,0.1,1.3,0.3,0.1,210
"2,3,7,8-TeCDD",1,0.3,0.1,ND,0.3,0.1,(0.1),0.3,0.1,0.4,0.3,0.1,(0.2),0.3,0.1,ND,0.3,0.1,ND,0.3,0.1,(0.1),0.3,0.1,1.0,0.3,0.1,(0.1),0.3,0.1,(0.2)
"1,2,3,7,8-PeCDD",1,0.22,0.07,(0.12),0.21,0.07,0.22,0.23,0.08,1.7,0.24,0.08,0.95,0.24,0.08,1.7,0.22,0.07,(0.14),0.25,0.08,0.51,0.25,0.08,3.4,0.22,0.07,0.40,0.25,0.08,1.8
"1,2,3,4,7-PeCDD",0,0.22,0.07,(0.15),0.21,0.07,0.30,0.23,0.08,2.1,0.24,0.08,0.92,0.24,0.08,1.7,0.22,0.07,(0.18),0.25,0.08,0.44,0.25,0.08,3.5,0.22,0.07,0.45,0.25,0.08,1.4
"1,2,3,4,7,8-HxCDD",0.1,0.10,0.02,ND,0.10,0.02,0.15,0.10,0.03,1.6,0.11,0.03,1.1,0.11,0.03,1.0,0.10,0.02,0.13,0.11,0.03,0.44,0.11,0.03,2.2,0.10,0.02,0.44,0.11,0.03,1.5
"1,2,3,6,7,8-HxCDD",0.1,0.3,0.1,(0.2),0.3,0.1,(0.3),0.4,0.1,3.6,0.4,0.1,2.3,0.4,0.1,3.2,0.3,0.1,(0.3),0.4,0.1,1.3,0.4,0.1,6.6,0.3,0.1,0.5,0.4,0.1,5.2
"1,2,3,7,8,9-HxCDD",0.1,0.4,0.1,(0.2),0.4,0.1,(0.3),0.4,0.1,3.3,0.5,0.1,2.4,0.5,0.1,5.6,0.4,0.1,(0.3),0.5,0.1,1.8,0.5,0.1,9.8,0.4,0.1,0.6,0.5,0.1,4.6
"1,2,3,4,6,7,8-HpCDD",0.01,1.0,0.3,2.4,1.0,0.3,2.4,1.1,0.3,58,1.1,0.3,24,1.1,0.3,28,1.0,0.3,3.3,1.2,0.3,14,1.2,0.3,46,1.0,0.3,4.9,1.2,0.3,82
OCDD,0.0003,2.0,0.5,19,1.9,0.5,46,2.1,0.5,710,2.2,0.5,250,2.2,0.5,560,2.0,0.5,58,2.2,0.5,210,2.3,0.6,230,2.0,0.5,30,2.2,0.6,1800
"1,3,6,8-TeCDF",0,0.3,0.1,(0.2),0.3,0.1,0.3,0.3,0.1,2.3,0.4,0.1,1.4,0.4,0.1,1.7,0.3,0.1,(0.2),0.4,0.1,0.5,0.4,0.1,3.9,0.3,0.1,(0.3),0.4,0.1,1.0
"1,2,7,8-TeCDF",0,0.3,0.1,(0.3),0.3,0.1,0.7,0.3,0.1,3.5,0.4,0.1,2.1,0.4,0.1,2.5,0.3,0.1,(0.3),0.4,0.1,1.0,0.4,0.1,6.9,0.3,0.1,0.5,0.4,0.1,1.1
"2,3,7,8-TeCDF",0.1,0.3,0.1,0.6,0.3,0.1,0.9,0.3,0.1,4.1,0.4,0.1,2.3,0.4,0.1,2.7,0.3,0.1,0.3,0.4,0.1,1.2,0.4,0.1,6.5,0.3,0.1,(0.3),0.4,0.1,1.2
"1,2,3,7,8-PeCDF",0.03,0.5,0.1,(0.4),0.5,0.1,(0.5),0.5,0.2,3.4,0.5,0.2,2.1,0.5,0.2,1.9,0.5,0.1,ND,0.5,0.2,0.6,0.6,0.2,5.2,0.5,0.1,(0.5),0.6,0.2,1.3
"2,3,4,7,8-PeCDF",0.3,0.7,0.2,(0.4),0.7,0.2,(0.6),0.8,0.3,3.8,0.8,0.3,2.4,0.8,0.3,2.7,0.7,0.2,(0.3),0.8,0.3,(0.8),0.8,0.3,6.8,0.7,0.2,(0.7),0.8,0.3,1.2
"1,2,3,4,7,8-HxCDF",0.1,0.12,0.02,0.34,0.12,0.02,0.65,0.13,0.03,5.1,0.13,0.03,3.1,0.14,0.03,3.2,0.12,0.02,0.41,0.14,0.03,1.0,0.14,0.03,6.8,0.12,0.02,0.86,0.14,0.03,3.2
"1,2,3,6,7,8-HxCDF",0.1,0.4,0.1,0.4,0.4,0.1,0.6,0.4,0.1,4.6,0.4,0.1,2.7,0.4,0.1,3.2,0.4,0.1,0.4,0.4,0.1,1.0,0.4,0.1,6.6,0.4,0.1,1.0,0.4,0.1,2.1
"1,2,3,7,8,9-HxCDF",0.1,0.5,0.1,ND,0.5,0.1,ND,0.6,0.2,(0.5),0.6,0.2,(0.3),0.6,0.2,(0.3),0.5,0.1,ND,0.6,0.2,ND,0.6,0.2,(0.5),0.5,0.1,ND,0.6,0.2,ND
"2,3,4,6,7,8-HxCDF",0.1,0.4,0.1,(0.3),0.4,0.1,0.6,0.4,0.1,5.4,0.4,0.1,2.9,0.4,0.1,4.0,0.4,0.1,0.6,0.4,0.1,0.9,0.4,0.1,7.3,0.4,0.1,1.1,0.4,0.1,2.3
"1,2,3,4,6,7,8-HpCDF",0.01,1.0,0.3,1.2,1.0,0.3,3.8,1.0,0.3,48,1.1,0.3,16,1.1,0.3,16,1.0,0.3,2.0,1.1,0.3,5.0,1.1,0.3,28,1.0,0.3,4.3,1.1,0.3,25
"1,2,3,4,7,8,9-HpCDF",0.01,2.0,0.5,ND,1.9,0.5,ND,2.1,0.5,4.4,2.2,0.5,(1.7),2.2,0.5,(2.0),2.0,0.5,(0.5),2.2,0.5,(0.6),2.3,0.6,2.9,2.0,0.5,(0.7),2.2,0.6,3.2
OCDF,0.0003,4,1,ND,4,1,(2),5,2,170,5,2,17,5,2,14,4,1,(2),5,2,8,5,2,18,4,1,5,5,2,92
"3,4,4',5-TeCB(#81)",0.0003,0.7,0.2,ND,0.7,0.2,ND,0.7,0.2,1.8,0.8,0.2,2.3,0.8,0.2,1.5,0.7,0.2,ND,0.8,0.2,(0.4),0.8,0.2,4.0,0.7,0.2,(0.3),0.8,0.2,1.1
"3,3',4,4'-TeCB(#77)",0.0001,0.5,0.1,4.8,0.5,0.1,3.1,0.6,0.2,47,0.6,0.2,29,0.6,0.2,16,0.5,0.1,3.2,0.6,0.2,6.8,0.6,0.2,50,0.5,0.1,5.2,0.6,0.2,25
"3,3',4,4',5-PeCB(#126)",0.1,0.27,0.07,0.60,0.26,0.07,0.76,0.29,0.08,14,0.30,0.08,6.5,0.30,0.08,7.5,0.27,0.07,0.61,0.30,0.08,1.6,0.31,0.08,19,0.27,0.07,0.63,0.30,0.08,3.2
"3,3',4,4',5,5'-HxCB(#169)",0.03,1.1,0.3,ND,1.1,0.3,ND,1.2,0.4,15,1.2,0.4,ND,1.2,0.4,2.2,1.1,0.3,ND,1.3,0.4,(0.6),1.3,0.4,4.9,1.1,0.3,ND,1.3,0.4,(1.1)
"2',3,4,4',5-PeCB(#123)",0.00003,1.2,0.4,ND,1.2,0.4,(1.2),1.3,0.4,9.1,1.3,0.4,14,1.4,0.4,7.0,1.2,0.4,(0.5),1.4,0.4,3.0,1.4,0.5,19,1.2,0.4,ND,1.4,0.4,8.5
"2,3',4,4',5-PeCB(#118)",0.00003,0.7,0.2,20,0.7,0.2,35,0.7,0.2,220,0.8,0.2,250,0.8,0.2,120,0.7,0.2,14,0.8,0.2,110,0.8,0.2,370,0.7,0.2,11,0.8,0.2,260
