試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成29年3月27日／((4)は､3月26日採取),―,不検出 ／(<7.3)／(<6.0),―,不検出 ／(<7.0)／(<7.6),不検出 ／(<6.5)／(<7.0),―,不検出 ／(<5.6)／(<6.3),―,―,不検出 ／(<7.0)／(<6.6)
平成29年3月20日,不検出 ／(<6.8)／(<7.5),―,134Cs:不検出 ／(<9.3)／137Cs: 20／合計: 29,―,―,不検出 ／(<6.1)／(<7.5),―,不検出 ／(<6.5)／(<6.5),不検出 ／(<7.9)／(<6.6),―
平成29年3月13日／((4)は､3月12日採取),―,不検出 ／(<7.4)／(<8.0),―,不検出 ／(<5.9)／(<7.4),不検出 ／(<6.6)／(<7.3),―,不検出 ／(<6.8)／(<5.7),―,―,不検出 ／(<5.5)／(<7.1)
平成29年3月6日,不検出 ／(<7.6)／(<7.9),―,134Cs:不検出 ／(<7.7)／137Cs: 25／合計: 33,―,―,不検出 ／(<8.4)／(<6.5),―,不検出 ／(<6.4)／(<7.1),不検出 ／(<7.5)／(<7.3),―
平成29年2月27日／(②は2月28日採取)(注1),―,不検出 ／(<7.0)／(<6.6),―,不検出 ／(<6.7)／(<6.7),不検出 ／(<5.2)／(<6.5),―,不検出 ／(<4.2)／(<7.3),―,―,不検出 ／(<7.6)／(<5.0)
平成29年2月20日,不検出 ／(<7.4)／(<7.4),―,134Cs:不検出 ／(<7.0)／137Cs: 20／合計: 27,―,―,不検出 ／(<7.5)／(<7.5),―,不検出 ／(<7.9)／(<7.0),不検出 ／(<6.7)／(<6.9),―
平成29年2月13日／((4)は､2月12日採取),―,不検出 ／(<6.4)／(<7.4),―,不検出 ／(<6.4)／(<6.3),不検出 ／(<7.5)／(<7.6),―,不検出 ／(<6.0)／(<8.0),―,―,不検出 ／(<6.4)／(<7.4)
平成29年2月6日,不検出 ／(<8.1)／(<6.6),―,134Cs:不検出 ／(<7.3)／137Cs: 21／合計: 28,―,―,不検出 ／(<7.4)／(<7.5),―,不検出 ／(<6.7)／(<5.9),不検出 ／(<7.3)／(<7.5),―
平成29年1月30日／((4)は､1月29日採取),―,不検出 ／(<7.9)／(<7.7),―,不検出 ／(<6.8)／(<7.5),不検出 ／(<7.9)／(<6.6),―,不検出 ／(<6.8)／(<7.3),―,―,不検出 ／(<4.9)／(<7.4)
平成29年1月23日,不検出 ／(<6.8)／(<5.5),―,134Cs:不検出 ／(<6.7)／137Cs: 15／合計: 22,―,―,不検出 ／(<5.6)／(<5.4),―,不検出 ／(<7.1)／(<6.8),不検出 ／(<6.0)／(<6.8),―
平成29年1月16日／((4)は､1月15日採取),―,不検出 ／(<6.9)／(<7.5),―,不検出 ／(<7.1)／(<6.4),不検出 ／(<7.4)／(<7.7),―,不検出 ／(<5.9)／(<8.2),―,―,不検出 ／(<5.7)／(<7.4)
平成29年1月9日,不検出 ／(<6.4)／(<6.9),―,134Cs:不検出 ／(<9.1)／137Cs: 19／合計: 28,―,―,不検出 ／(<5.7)／(<7.3),―,不検出 ／(<7.4)／(<6.9),不検出 ／(<7.3)／(<7.4),―
平成29年1月4日／((4)は､1月3日採取),―,不検出 ／(<4.9)／(<6.0),―,不検出 ／(<7.0)／(<6.3),不検出 ／(<6.7)／(<6.3),―,不検出 ／(<7.5)／(<6.0),―,―,不検出 ／(<7.2)／(<7.8)
