試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）,
平成28年9月26日／((4)は､9月25日採取),―,不検出 ／(<7.9)／(<6.7),―,不検出 ／(<6.8)／(<7.0),不検出 ／(<7.8)／(<6.6),―,不検出 ／(<5.5)／(<7.2),―,―,不検出 ／(<7.5)／(<7.1),
平成28年9月19日,不検出 ／(<6.4)／(<6.8),―,134Cs:不検出／(<9.0)／137Cs: 23／合計: 32,―,―,不検出 ／(<7.8)／(<6.4),―,不検出 ／(<7.7)／(<7.5),不検出 ／(<6.8)／(<6.4),―,
平成28年9月12日／((4)は､9月11日採取),―,不検出 ／(<6.3)／(<7.5),―,不検出 ／(<7.0)／(<5.9),不検出 ／(<7.2)／(<5.8),―,不検出 ／(<7.2)／(<6.6),―,―,不検出 ／(<6.1)／(<6.6),
平成28年9月5日,不検出 ／(<5.9)／(<8.2),―,134Cs:不検出／(<5.9)／137Cs: 32／合計: 38,―,―,不検出 ／(<5.8)／(<5.9),―,不検出 ／(<8.0)／(<6.7),不検出 ／(<7.6)／(<6.5),―,
平成28年8月29日／((4)は､8月28日採取),―,不検出 ／(<6.4)／(<7.5),―,不検出 ／(<7.8)／(<4.6),不検出 ／(<7.3)／(<7.4),―,不検出 ／(<7.6)／(<6.0),―,―,不検出 ／(<7.5)／(<7.1),
平成28年8月22日,不検出 ／(<7.7)／(<7.6),―,134Cs:不検出／(<6.9)／137Cs: 30／合計: 37,―,―,不検出 ／(<6.9)／(<7.4),―,不検出 ／(<5.4)／(<6.8),不検出 ／(<7.1)／(<6.3),―,
平成28年8月15日／((4)は､8月14日採取),―,不検出 ／(<6.7)／(<7.5),―,不検出 ／(<7.5)／(<7.6),不検出 ／(<6.9)／(<7.2),―,不検出 ／(<7.6)／(<6.7),―,―,不検出 ／(<6.7)／(<5.6),
平成28年8月8日,不検出 ／(<5.6)／(<6.3),―,134Cs:不検出／(<9.9)／137Cs: 34／合計: 44,―,―,不検出 ／(<6.4)／(<7.1),―,不検出 ／(<5.0)／(<6.8),不検出 ／(<6.7)／(<7.5),―,
平成28年8月1日／((4)は､7月31日採取),―,不検出 ／(<6.1)／(<7.1),―,不検出 ／(<8.5)／(<7.3),不検出 ／(<7.9)／(<6.6),―,不検出 ／(<7.9)／(<8.4),―,―,不検出 ／(<6.3)／(<6.9),
平成28年7月25日,不検出 ／(<6.8)／(<6.6),―,134Cs:不検出／(<7.7)／137Cs: 33／合計: 41,―,―,不検出 ／(<6.9)／(<5.4),―,不検出 ／(<8.0)／(<7.0),不検出 ／(<5.8)／(<5.1),―,
平成28年7月18日／((4)は､7月17日採取),―,不検出 ／(<6.5)／(<6.8),―,不検出 ／(<5.5)／(<6.6),不検出 ／(<7.5)／(<5.7),―,不検出 ／(<7.2)／(<5.9),―,―,不検出 ／(<8.1)／(<6.4),
平成28年7月11日,不検出 ／(<5.5)／(<6.5),―,134Cs: 6.9／137Cs: 37／合計:   44,―,―,不検出 ／(<6.9)／(<5.2),―,不検出 ／(<6.5)／(<6.8),不検出 ／(<7.9)／(<6.9),―,
平成28年7月4日／((4)は､7月3日採取),―,不検出 ／(<6.4)／(<6.4),―,不検出 ／(<6.2)／(<6.4),不検出 ／(<6.8)／(<7.0),―,不検出 ／(<6.0)／(<7.1),―,―,不検出 ／(<7.9)／(<5.4),
