項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,1中川／平井小橋,2新中川／小岩大橋,3隅田川／小台橋,4新河岸川／志茂橋,5石神井川／豊石橋,6横十間川／天神橋,7北十間川／京成橋,8旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/ｌ,0,0,(0.07),0,0,(0.03),(0.04),0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/ｌ,19,21,2.6,1.7,0.55,1.4,3,1.1
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/ｌ,6.9,6.9,1,0.66,0.23,0.55,1.1,0.43
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/ｌ,28,30,5.7,4.5,1.6,2.4,5.5,1.8
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/ｌ,(0.08),(0.08),(0.08),0,0,(0.05),(0.05),0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/ｌ,0.14,0.12,0.1,(0.08),(0.06),(0.09),(0.07),(0.09)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/ｌ,3.8,4.2,1.2,0.88,0.48,0.74,0.93,0.49
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,(0.09),0.2,0,0,0,(0.10),0,0
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/ｌ,0.23,0.27,(0.11),(0.09),(0.11),0.22,(0.13),(0.11)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/ｌ,0.21,(0.19),(0.13),(0.12),(0.08),(0.13),(0.08),(0.09)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/ｌ,2.5,2.6,1.3,1.1,1,2,1.2,1.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/ｌ,6.5,5.6,1.7,1.1,0.83,4.2,2.3,2.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/ｌ,14,13,3.7,2.3,1.7,8,4.6,4.7
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/ｌ,110,100,22,11,6.1,39,25,22
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/ｌ,160,150,34,20,11,52,37,30
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/ｌ,0.12,(0.08),0.17,(0.08),0.17,0.44,0.17,0.15
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,3,6,8-TeCDF",0.10,0.03,-,pg/ｌ,0.17,(0.08),0.17,(0.06),(0.06),0.12,0.1,(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,7,8-TeCDF",0.10,0.03,-,pg/ｌ,0.14,(0.09),0.18,(0.08),0.14,0.38,0.16,0.11
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TeCDFs,-,-,-,pg/ｌ,3.3,2.6,3.3,2.2,1.7,3.1,2.2,1.8
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8-PeCDF",0.10,0.03,0.03,pg/ｌ,0.13,0.14,0.21,0.15,0.18,0.4,0.16,(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,7,8-PeCDF",0.10,0.03,0.3,pg/ｌ,0.11,(0.09),0.17,0.12,0.1,0.23,0.1,(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",PeCDFs,-,-,-,pg/ｌ,2.3,2,2.3,1.6,1.3,2.5,1.8,1.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,0.22,(0.16),0.25,0.2,0.21,0.52,(0.19),(0.14)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,(0.16),(0.13),0.23,(0.11),(0.14),0.25,(0.12),(0.06)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,7,8,9-HxCDF",0.20,0.06,0.1,pg/ｌ,0,0,0,0,0,0,0,0
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,4,6,7,8-HxCDF",0.20,0.06,0.1,pg/ｌ,(0.18),(0.14),(0.17),(0.11),(0.11),0.22,(0.11),(0.07)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HxCDFs,-,-,-,pg/ｌ,2.4,2,2.1,1.2,1.1,3.8,1.8,1.7
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,6,7,8-HpCDF",0.20,0.06,0.01,pg/ｌ,1.1,0.94,0.84,0.6,0.45,3.4,1.2,1.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","1,2,3,4,7,8,9-HpCDF",0.20,0.06,0.01,pg/ｌ,(0.14),(0.12),(0.12),(0.09),(0.07),0.25,(0.13),(0.08)
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",HpCDFs,-,-,-,pg/ｌ,3.1,2.6,1.7,1.1,0.8,9.3,3.4,3.2
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",OCDF,0.50,0.20,0.0003,pg/ｌ,2.8,2.2,1.6,0.6,0.5,11,3.7,3.3
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ",TotalPCDFs,-,-,-,pg/ｌ,14,11,11,6.7,5.4,30,13,11
Total（PCDDs ＋ PCDFs）,,-,-,-,pg/ｌ,170,160,45,26,16,82,50,42
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,4,4',5-TeCB(#81)",0.20,0.06,0.0003,pg/ｌ,0.45,0.23,4.3,5.5,0.25,0.92,0.99,0.77
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4'-TeCB(#77)",0.20,0.06,0.0001,pg/ｌ,20,13,130,110,7.5,40,42,25
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5-PeCB(#126)",0.20,0.06,0.1,pg/ｌ,0.41,0.35,1.6,1.5,(0.16),0.71,0.71,0.49
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","3,3'4,4',5,5'-HxCB(#169)",0.20,0.06,0.03,pg/ｌ,0,0,(0.13),(0.08),0,(0.07),(0.08),0
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Non-orthoPCBs,-,-,-,pg/ｌ,21,14,140,120,7.9,42,44,26
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2',3,4,4',5-PeCB(#123)",0.20,0.06,0.00003,pg/ｌ,1.2,0.7,7.3,10,0.74,2.4,3.1,2.1
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3',4,4',5-PeCB(#118)",0.20,0.06,0.00003,pg/ｌ,75,46,360,320,33,140,180,130
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3',4,4'-PeCB(#105)",0.20,0.06,0.00003,pg/ｌ,26,16,160,210,12,48,63,45
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,4,4',5-PeCB(#114)",0.20,0.06,0.00003,pg/ｌ,2,1.1,12,17,1.1,2.5,4.3,2.4
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3'4,4',5,5'-HxCB(#167)",0.20,0.06,0.00003,pg/ｌ,1.9,1.5,5.7,5.8,0.77,3.6,4.8,3
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5-HxCB(#156)",0.20,0.06,0.00003,pg/ｌ,5.1,4,16,17,1.9,9,12,7.5
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4',5'-HxCB(#157)",0.20,0.06,0.00003,pg/ｌ,1.2,0.98,4,3.9,0.46,2.1,2.7,1.7
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ","2,3,3'4,4'5,5'-HpCB(#189)",0.20,0.06,0.00003,pg/ｌ,0.3,0.22,0.86,0.68,(0.11),0.59,0.68,0.36
"コ
プ
ラ
ナ
　
Ｐ
Ｃ
Ｂ
ｓ",Mono-orthoPCBs,-,-,-,pg/ｌ,110,71,570,580,50,210,270,190
Total ｺﾌﾟﾗﾅｰPCBs,,-,-,-,pg/ｌ,130,84,700,700,58,250,310,220
Total（PCDDs ＋ PCDFs + ｺﾌﾟﾗﾅｰPCBs）,,-,-,-,pg/ｌ,310,250,750,730,74,330,360,260
TEQ（PCDDs＋PCDFs）※1,,,,,pg-TEQ/ｌ,0.36714,0.34346,0.35298,0.16888,0.16888,0.4455,0.25571,0.16119
TEQ（ｺﾌﾟﾗﾅｰPCBs）※1,,,,,pg-TEQ/ｌ,0.047416,0.039384,0.1951658,0.1825814,0.0192274,0.0836217,0.0860144,0.0583928
TEQ（WHO-TEF(2006)）※1,,,,,pg-TEQ/ｌ,0.414556,0.382844,0.5481458,0.3514614,0.1881074,0.5291217,0.3417244,0.2195828
TEQ（WHO-TEF(1998)）※1，※2,,,,,pg-TEQ/ｌ,0.426944,0.38979,0.630063,0.428986,0.2145577,0.591227,0.383495,0.244783
浮遊物質量（SS）,,,,,mg/ｌ,13,18,6,5,3,3,5,1
"※1 TEQを換算する際に、分析値が検出下限未満のものについては""検出下限×1/2""として扱った。",,,,,,,,,,,,,
※2 WHO-TEF(1998)により毒性等量を算出した参考値。,,,,,,,,,,,,,
