年度,汚泥（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,混合廃棄物（千t）,金属くず（千t）,木くず（千t）,その他（千t）,再生利用量合計（千t）
昭和57 ,196,1423,5,7,0,50,1,298,1980
昭和62 ,111,2446,26,21,0,61,164,282,3112
平成4　,272,2897,28,0,0,95,100,258,3650
平成10 ,1332,3472,58,33,30,96,63,153,5237
平成15 ,529,5322,261,31,111,71,3,409,6737
平成16 ,686,4450,108,36,146,257,103,177,5963
平成17 ,1044,4797,46,54,45,218,226,172,6603
平成18 ,1074,5440,267,102,249,390,146,170,7836
平成19 ,919,5308,243,163,249,275,144,265,7566
平成20 ,1026,3842,216,138,175,76,176,158,5807
平成21 ,1202,4254,137,123,142,132,161,122,6274
平成22 ,1370,4256,171,138,147,144,195,132,6553
平成23 ,1175,4335,246,160,150,171,227,164,6628
平成24 ,1382,4604,293,183,175,158,249,150,7194
平成25 ,1737,5635,516,182,191,133,101,199,8694
平成26 ,1752,6012,554,205,202,150,275,126,9276
平成27 ,1692,6616,434,175,174,159,210,164,9624
平成28,1886,6269,552,182,168,181,295,156,9689
平成29,2035,5686,566,200,203,149,293,120,9252
