No.,分野,区分,素地面,塗装仕様名称,工程,塗料名,JIS No.等,塗付量(kg/m2),塗料中のVOC量含有率 (%),塗料中のVOC量(g/m2),シンナー,シンナー中のVOC量希釈率 (%),シンナー中のVOC量(g/m2),塗り回数(回),塗装方法,工程間隔(hr),工程間隔 (hr: hour)(d : day)(m: month),VOC量(g/m2),耐久性ランク,材工費ランク,参考資料
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り,下塗り1回目／下塗り2回目／中塗り／上塗り,,,,,109.5,,,18.5,,,,,128,Ⅰ,A,日本建築学会／「JASS１８  塗装工事」（2006）／(塗布量はJASS18(2013)合成樹脂調合ペイント塗りに準じる）
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り,下塗り1回目,シアナミド鉛さび止めペイント(2種）,K 5625-2,0.10,25,25.0,専用シンナー,5,5.0,1,はけ（吹付け）,24（2種）,6ｍ以内,128,Ⅰ,A,日本建築学会／「JASS１８  塗装工事」（2006）／(塗布量はJASS18(2013)合成樹脂調合ペイント塗りに準じる）
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り,下塗り2回目,シアナミド鉛さび止めペイント（2種）,K 5625-2,0.10,25,25.0,専用シンナー,5,5.0,1,はけ（吹付け）,24（2種）,6ｍ以内,128,Ⅰ,A,日本建築学会／「JASS１８  塗装工事」（2006）／(塗布量はJASS18(2013)合成樹脂調合ペイント塗りに準じる）
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り,中塗り,合成樹脂調合ペイント1種又は2種中塗り用,K 5516,0.09,35,31.5,専用シンナー,5,4.5,1,はけ（吹付け）,24,1ｍ以内,128,Ⅰ,A,日本建築学会／「JASS１８  塗装工事」（2006）／(塗布量はJASS18(2013)合成樹脂調合ペイント塗りに準じる）
溶剤系,建築物,新築・塗替,金属（鉄鋼面）,合成樹脂調合ペイント塗り,上塗り,合成樹脂調合ペイント1種又は2種上塗り用,K 5516,0.08,35,28.0,専用シンナー,5,4.0,1,はけ（吹付け）,72,,128,Ⅰ,A,日本建築学会／「JASS１８  塗装工事」（2006）／(塗布量はJASS18(2013)合成樹脂調合ペイント塗りに準じる）
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,下塗り1回目／下塗り2回目／中塗り／上塗り,,,,,21.0,,,0.0,,,,,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,下塗り1回目,鉛・クロムフリーさび止めペイント（2種）,K 5674-2,0.11,5,5.5,水道水,5,0.0,1,はけ,4,7d以内,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,下塗り2回目,鉛・クロムフリーさび止めペイント（2種）,K 5674-2,0.11,5,5.5,水道水,5,0.0,1,はけ,4,7d以内,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,中塗り,つや有合成樹脂エマルションペイント,K 5660,0.10,5,5.0,水道水,5,0.0,1,はけ,5,,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,上塗り,つや有合成樹脂エマルションペイント,K 5660,0.10,5,5.0,水道水,5,0.0,1,はけ,48,,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,下塗り1回目／下塗り2回目／中塗り／上塗り,,,,,21.0,,,0.0,,,,,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,下塗り1回目,水系さび止めペイント,JASS18 M-111,0.11,5,5.5,水道水,5,0.0,1,はけ,4,7d以内,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
2.1.1,建築物,新築・塗替,金属（鉄鋼面）,つや有合成樹脂エマルションペイント塗り,下塗り2回目,水系さび止めペイント,JASS18 M-111,0.11,5,5.5,水道水,5,0.0,1,はけ,4,7d以内,21,Ⅰ,B,国土交通省「公共建築(改修)工事標準仕様書」日本建築学会「JASS１８  塗装工事」
