試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）,
平成27年6月22日,不検出 ／(<6.9)／(<7.3),―,134Cs: 6.8／137Cs: 28／合計: 35,―,―,不検出 ／(<6.0)／(<5.8),―,不検出 ／(<6.4)／(<6.5),不検出／(<8.5)／(<6.9),―,
平成27年6月15日／((4)は､6月14日採取),―,不検出／(<7.1)／(<7.0),―,不検出 ／(<4.8)／(<5.5),不検出／(<5.7)／(<6.3),―,不検出／(<8.1)／(<8.5),―,―,不検出／(<7.0)／(<6.1),
平成27年6月8日,不検出 ／(<6.7)／(<6.8),―,134Cs:不検出 (<6.1)／137Cs: 26／合計: 32,―,―,不検出 ／(<8.3)／(<6.6),―,不検出 ／(<6.9)／(<6.8),不検出 ／(<6.3)／(<6.1),―,
平成27年6月1日／((4)は､5月31日採取),―,不検出／(<7.1)／(<6.0),―,不検出 ／(<5.6)／(<5.9),不検出 ／(<6.2)／(<6.1),―,不検出／(<8.2)／(<7.1),―,―,不検出 ／(<6.5)／(<7.6),
平成27年5月25日,不検出 ／(<6.2)／(<7.0),―,134Cs: 7.0／137Cs: 27／合計: 34,―,―,不検出 ／(<6.9)／(<7.0),―,不検出 ／(<4.6)／(<6.6),不検出 ／(<6.9)／(<6.8),―,
平成27年5月18日／((4)は､5月17日採取),―,不検出／(<7.8)／(<6.0),―,不検出／(<5.5)／(<6.2),不検出／(<7.5)／(<7.5),―,不検出 ／(<6.6)／(<7.0),―,―,不検出 ／(<6.9)／(<5.6),
平成27年5月11日,不検出 ／(<5.3)／(<6.3),―,134Cs:不検出 (<5.9)／137Cs: 26／合計: 32,―,―,不検出 ／(<6.3)／(<6.7),―,不検出／(<5.5)／(<5.8),不検出 ／(<6.8)／(<6.3),―,
平成27年5月6日,―,不検出 ／(<6.1)／(<7.9),―,不検出 ／(<6.7)／(<6.5),不検出 ／(<6.9)／(<8.4),―,不検出／(<8.0)／(<7.2),―,―,不検出／(<7.5)／(<6.1),
平成27年4月27日,不検出 ／(<7.3)／(<6.8),―,134Cs: 7.2／137Cs: 20／合計: 27,―,―,不検出 ／(<6.8)／(<7.1),―,不検出／(<7.2)／(<5.7),不検出 ／(<6.6)／(<6.8),―,
平成27年4月20日,―,不検出 ／(<4.9)／(<6.5),―,不検出／(<7.0)／(<7.6),不検出 ／(<6.8)／(<6.4),―,不検出／(<7.8)／(<8.2),―,―,不検出 ／(<6.4)／(<6.9),
平成27年4月13日,不検出 ／(<6.8)／(<6.2),―,134Cs:不検出 (<6.3)／137Cs: 25／合計: 31,―,―,不検出／(<7.5)／(<7.3),―,不検出 ／(<7.4)／(<5.6),不検出／(<7.5)／(<7.9),―,
平成27年4月6日／((4)は､4月5日採取),―,不検出／(<7.2)／(<7.0),―,不検出 ／(<4.5)／(<7.2),不検出 ／(<8.3)／(<7.5),―,不検出／(<8.2)／(<7.3),―,―,不検出 ／(<6.9)／(<6.5),
平成27年4月2日,不検出 ／(<8.6)／(<5.8),―,134Cs: 7.7／137Cs: 21／合計: 29,―,―,不検出／(<8.0)／(<7.0),―,不検出 ／(<6.6)／(<7.5),不検出 ／(<6.7)／(<6.2),―,
