地域,No.,団体名,施設名,施設所在地,緯度,経度,座標系,施設種類,処理方式,焼却処理能力(t/日)　（規模）,溶融処理能力(t/日)　（規模）,竣工年月,備考,連絡先
23区内（自治体焼却施設）,1,東京二十三区 清掃一部事務組合,大田第一清掃工場,大田区京浜島 3-6-1,35.573784,139.767761,JGD2011,ごみ焼却,全連続,600（200t×3）,－,H2.3,一部休止中,03-3799-5311
23区内（自治体焼却施設）,2,東京二十三区 清掃一部事務組合,有明清掃工場,江東区有明 2-3-10,35.633038,139.784119,JGD2011,ごみ焼却,全連続,400（200t×2）,－,H7.12,,03-3529-3751
23区内（自治体焼却施設）,3,東京二十三区 清掃一部事務組合,千歳清掃工場,世田谷区八幡山 2-7-1,35.659866,139.616623,JGD2011,ごみ焼却,全連続,600（600t×1）,－,H8.3,,03-3302-2590
23区内（自治体焼却施設）,4,東京二十三区 清掃一部事務組合,墨田清掃工場,墨田区東墨田 1-10-23,35.716927,139.831985,JGD2011,ごみ焼却,全連続,600（600t×1）,－,H10.1,,03-3613-5311
23区内（自治体焼却施設）,5,東京二十三区 清掃一部事務組合,北清掃工場,北区志茂 1-2-36,35.775730,139.731857,JGD2011,ごみ焼却,全連続,600（600t×1）,－,H10.3,,03-3598-5341
23区内（自治体焼却施設）,6,東京二十三区 清掃一部事務組合,新江東清掃工場,江東区夢の島 3-1-1,35.649376,139.834442,JGD2011,ごみ焼却,全連続,1800（600t×3）,－,H10.9,,03-5569-5341
23区内（自治体焼却施設）,7,東京二十三区 清掃一部事務組合,港清掃工場,港区港南 5-7-1,35.631493,139.756073,JGD2011,ごみ焼却,全連続,900（300t×3）,－,H11.1,,03-5479-5300
23区内（自治体焼却施設）,8,東京二十三区 清掃一部事務組合,豊島清掃工場,豊島区上池袋 2-5-1,35.734802,139.714752,JGD2011,ごみ焼却,全連続,400（200t×2）,－,H11.6,,03-3910-5300
23区内（自治体焼却施設）,9,東京二十三区 清掃一部事務組合,渋谷清掃工場,渋谷区東 1-35-1,35.653358,139.706390,JGD2011,ごみ焼却,全連続,200（200t×1）,－,H13.7,,03-3498-5311
23区内（自治体焼却施設）,10,東京二十三区 清掃一部事務組合,中央清掃工場,中央区晴海 5-2-1,35.652134,139.775604,JGD2011,ごみ焼却,全連続,600（300t×2）,－,H13.7,,03-3532-5341
23区内（自治体焼却施設）,11,東京二十三区 清掃一部事務組合,板橋清掃工場,板橋区高島平 9-48-1,35.791698,139.666687,JGD2011,ごみ焼却,全連続,600（300t×2）,180（90ｔ×2）,H14.11,一部休止中,03-5945-5341
23区内（自治体焼却施設）,12,東京二十三区 清掃一部事務組合,多摩川清掃工場,大田区下丸子 2-33-1,35.561691,139.686996,JGD2011,ごみ焼却,全連続,300（150t×2）,30（30ｔ×1）,H15.6,,03-3757-5383
23区内（自治体焼却施設）,13,東京二十三区 清掃一部事務組合,足立清掃工場,足立区西保木間 4-7-1,35.803345,139.795105,JGD2011,ごみ焼却,全連続,700（350t×2）,130（65ｔ×2）,H17.3,一部休止中,03-3859-4475
23区内（自治体焼却施設）,14,東京二十三区 清掃一部事務組合,品川清掃工場,品川区八潮 1-4-1,35.608780,139.753891,JGD2011,ごみ焼却,全連続,600（300ｔ×2）,180（90ｔ×2）,H18.3,一部休止中,03-3799-5353
23区内（自治体焼却施設）,15,東京二十三区 清掃一部事務組合,葛飾清掃工場,葛飾区水元 1-20-1,35.780766,139.856613,JGD2011,ごみ焼却,全連続,500（250t×2）,110（55ｔ×2）,H18.12,,03-5660-5389
23区内（自治体焼却施設）,16,東京二十三区 清掃一部事務組合,世田谷清掃工場,世田谷区大蔵 1-1-1,35.633347,139.622910,JGD2011,ごみ焼却,全連続,300（150t×2）,120（60t×2）,H20.3,一部休止中,03-3416-5339
23区内（自治体焼却施設）,17,東京二十三区 清掃一部事務組合,大田清掃工場,大田区京浜島 3-6-1,35.573784,139.767761,JGD2011,ごみ焼却,全連続,600（300t×2）,－,H26.9,,03-3799-5311
23区内（自治体焼却施設）,18,東京二十三区 清掃一部事務組合,練馬清掃工場,練馬区谷原 6-10-11,35.756371,139.608582,JGD2011,ごみ焼却,全連続,500（250t×2）,－,H27.11,,03-3995-5311
23区内（自治体焼却施設）,19,東京二十三区 清掃一部事務組合,杉並清掃工場,杉並区高井戸東3-7-6,35.683449,139.615952,JGD2011,ごみ焼却,全連続,600（300ｔ×2）,－,H29.9,,03-3334-5301
23区内（自治体焼却施設）,20,東京二十三区 清掃一部事務組合,光が丘清掃工場,練馬区光が丘 5-3-1,35.761639,139.628296,JGD2011,ごみ焼却,全連続,300（150t×2）,－,建設中,,03-5967-1228
23区内（自治体焼却施設）,21,東京二十三区 清掃一部事務組合,目黒清掃工場,目黒区三田2-19-43,35.637733,139.707550,JGD2011,ごみ焼却,全連続,600（300ｔ×2）,－,建設中,,03-3792-0515
23区内（自治体焼却施設）,22,東京二十三区 清掃一部事務組合,破砕ごみ処理施設,江東区海の森2-4-79,35.681076,139.818878,JGD2011,ごみ焼却,全連続,180（180t×1）,－,H4.7,一部休止中,03-3599-5310
23区内（自治体焼却施設）,23,東京二十三区 清掃一部事務組合,中防灰溶融施設,江東区海の森2-4-79,35.681076,139.818878,JGD2011,焼却残さ溶融化,全連続,－,400（100ｔ×4）,H18.12,一部休止中,03-3599-5310
多摩地域（自治体焼却施設）,24,立川市,立川市清掃工場,立川市若葉町 4-11-19,35.725040,139.433701,JGD2011,ごみ焼却,全連続,280（90t×2+100t×1）,－,S54.10,,042-536-2921
多摩地域（自治体焼却施設）,25,立川市,立川市新清掃工場,立川市泉町 2002外,35.715893,139.404343,JGD2011,ごみ焼却,全連続,120（60t×2）,－,建設中,,
多摩地域（自治体焼却施設）,26,武蔵野市,武蔵野クリーンセンター,武蔵野市緑町 3-1-5,35.719227,139.566376,JGD2011,ごみ焼却,全連続,120（60t×2）,－,H29.3,,0422-54-1221
多摩地域（自治体焼却施設）,27,昭島市,昭島市清掃センター,昭島市田中町 4-3-14,35.693310,139.348755,JGD2011,ごみ焼却,全連続,190（95t×2）,－,H6.7,,042-541-1342
多摩地域（自治体焼却施設）,28,町田市,町田ﾘｻｲｸﾙ文化ｾﾝﾀｰ,町田市下小山田町 3160,35.587688,139.412216,JGD2011,ごみ焼却,全連続,626（150t×3+176t×1）,－,S57.5,休止中（1号炉）,042-797-7112
多摩地域（自治体焼却施設）,29,町田市,ごみ処理施設（熱回収施設）,町田市下小山田町 3160外,35.587688,139.412216,JGD2011,ごみ焼却,全連続,258（129t×2）,－,建設中,,
多摩地域（自治体焼却施設）,30,日野市,日野市クリーンセンター,日野市石田 1-210-2,35.666538,139.427689,JGD2011,ごみ焼却,全連続,220（110t×2）,－,S62.5,休止中,042-581-0444
多摩地域（自治体焼却施設）,31,東村山市,東村山市秋水園,東村山市秋津町 4-17-1,35.780079,139.485489,JGD2011,ごみ焼却,全連続,150（75t×2）,－,S56.10,,042-393-5111
