種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,12540,92,12448,596,250,173,0,77,0,346,11852,14,0,11732,106,11915,11809,9480,9040,440,106,2329,546,9227,2675,546
燃え殻,,,,3,0,3,0,0,0,0,0,0,0,3,0,0,2,1,3,2,1,1,0,1,1,1,1,1,1
汚泥,,,,4386,1,4385,349,29,0,0,29,0,320,4036,1,0,4035,0,4064,4064,2114,2009,105,0,1950,105,2010,2270,105
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,3686,0,3686,0,0,0,0,0,0,0,3686,0,0,3686,0,3686,3686,1912,1846,66,0,1774,66,1846,1774,66
汚泥,その他の汚泥,,,700,1,699,349,29,0,0,29,0,320,350,1,0,349,0,378,378,202,163,39,0,176,39,164,496,39
廃油,,,,21,0,21,0,0,0,0,0,0,0,21,0,0,21,0,21,21,7,7,0,0,14,0,7,14,0
廃酸,,,,6,0,6,1,0,0,0,0,0,1,5,0,0,5,0,5,5,2,1,1,0,3,1,1,4,1
廃アルカリ,,,,6,0,6,0,0,0,0,0,0,0,6,0,0,6,0,6,6,2,2,0,0,4,0,2,4,0
廃プラスチック類,,,,310,7,303,14,4,3,0,1,0,10,289,0,0,288,1,290,289,223,197,26,1,66,27,200,76,27
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,214,62,152,2,2,2,0,0,0,0,150,0,0,150,0,150,150,148,147,1,0,2,1,149,2,1
ガラス・陶磁器くず,,,,820,2,818,69,55,13,0,42,0,14,749,0,0,683,66,791,725,657,553,104,66,68,170,566,82,170
鉱さい,,,,8,0,8,0,0,0,0,0,0,0,8,0,0,8,0,8,8,8,7,1,0,0,1,7,0,1
がれき類,,,,5865,0,5865,156,156,151,0,5,0,0,5709,13,0,5696,0,5701,5701,5638,5522,116,0,63,116,5686,63,116
がれき類,コンクリート塊,,,3543,0,3543,54,54,52,0,2,0,0,3489,13,0,3476,0,3478,3478,3449,3430,19,0,29,19,3495,29,19
がれき類,アスファルト･コンクリート塊,,,1075,0,1075,93,93,90,0,3,0,0,982,0,0,982,0,985,985,967,963,4,0,18,4,1053,18,4
