物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1200,食料品製造業,,,,,,,,,,,
1300,飲料・たばこ・飼料製造業(下の業種を除く）,,,,,,,,,,,
1320,酒類製造業,,,,,,,,,,,
1350,たばこ製造業,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,,,,,,,,,,,
1700,家具・装備品製造業,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,,,,,,,,,,,
1931,印刷業,,,,,,,,,,,
1941,製版業,,,,,,,,,,,
1951,製本業,,,,,,,,,,,
1952,印刷物加工業,,,,,,,,,,,
2000,化学工業（下の業種を除く）,3,33640.0,0.0,31630.0,0.0,0.0,0.0,0.0,2310.0,2310.0,0.0
2060,医薬品製造業,,,,,,,,,,,
2100,石油製品・石炭製品製造業,,,,,,,,,,,
2200,プラスチック製品製造業,,,,,,,,,,,
2300,ゴム製品製造業,,,,,,,,,,,
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,
2500,窯業・土石製品製造業,1,1400.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,鉄鋼業,,,,,,,,,,,
2700,非鉄金属製造業,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,6,14420.0,0.0,0.0,0.0,0.0,0.0,0.0,3680.0,3380.0,401.6
2861,金属製品塗装業,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,114,60931.0,0.0,11930.0,0.0,0.0,0.0,0.0,49516.0,48994.0,441.9
2865,金属熱処理業,,,,,,,,,,,
2900,一般機械器具製造業,,,,,,,,,,,
3000,電気機械器具製造業（下の業種を除く）,2,1040.0,0.0,789.0,0.0,0.0,0.0,0.0,254.7,254.7,1.0
3060,電子応用装置製造業,,,,,,,,,,,
3070,電気計測器製造業,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100,輸送用機械器具製造業（下の業種を除く）,3,2920.0,0.0,891.0,50.0,0.0,50.0,0.0,1850.0,1550.0,260.0
3120,鉄道車両・同部分品製造業,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,3,2860.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,515.0,0.0
3230,医療用機械器具・医療用品製造業,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,
3400,その他の製造業,2,123.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
3500,電気業,,,,,,,,,,,
3600,ガス業,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,
3830,下水道業,,,,,,,,,,,
3900,鉄道業,,,,,,,,,,,
4400,倉庫業,,,,,,,,,,,
5132,石油卸売業,,,,,,,,,,,
5930,燃料小売業,,,,,,,,,,,
7200,洗濯・理容・浴場業（下の業種を除く）,,,,,,,,,,,
7211,普通洗濯業,,,,,,,,,,,
7213,リネンサプライ業,,,,,,,,,,,
7430,写真業,,,,,,,,,,,
7700,自動車整備業,,,,,,,,,,,
7810,機械修理業,,,,,,,,,,,
8632,環境計量証明業,,,,,,,,,,,
8700,廃棄物処理業（下の業種を除く）,,,,,,,,,,,
8710,一般廃棄物処理業,,,,,,,,,,,
8716,ごみ処分業,,,,,,,,,,,
8722,産業廃棄物処分業,,,,,,,,,,,
8724,特別産業廃棄物処分業,,,,,,,,,,,
8800,医療業,,,,,,,,,,,
9100,教育,,,,,,,,,,,
9210,自然科学研究所,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0
9999,分類不明,,,,,,,,,,,
,総計,136,117402.0,0.0,46640.0,50.0,0.0,50.0,0.0,58293.7,57171.7,1104.5
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
