産業分類番号,産業分類項目名,報告数（件）,使用量（kg/年）,製造量（kg/年）,製品としての出荷量（kg/年）,環境への排出量（kg/年）,環境への排出量／大気（kg/年）,環境への排出量／公共用水域（kg/年）,環境への排出量／その他（kg/年）,事業所外への移動量（kg/年）,事業所外への移動量／廃棄物（kg/年）,事業所外への移動量／廃水(下水道）（kg/年）,排出量、移動量の合計（kg/年）,順位
1200,食料品製造業,33,1479630,0,0,42328,42328,0,0,5700,5550,150,48028,25
1300,飲料・たばこ・飼料製造業(下の業種を除く）,8,426010,0,0,0,0,0,0,0,0,0,0,57
1320,酒類製造業,3,591000,0,0,0,0,0,0,0,0,0,0,57
1350,たばこ製造業,3,2630,0,0,295,295,0,0,2320,2300,29,2615,50
1400,繊維工業（衣服その他の繊維製品を除く）,6,18850,0,0,3400,3400,0,0,1480,1480,0,4880,40
1500,衣服・その他の繊維製品製造業,3,7260,0,0,900,900,0,0,4000,4000,0,4900,39
1600,木材・木製品製造業（家具を除く）,10,2553010,0,6000,187579,187579,0,0,1880,1880,0,189459,15
1700,家具・装備品製造業,30,19695,0,0,17935,17935,0,0,1705,1705,0,19640,31
1800,パルプ・紙・紙加工品製造業,13,139281,0,87060,3931,3931,0,0,328,320,8,4259,44
1900,出版・印刷・同関連産業（下の業種を除く）,3,610,0,0,300,300,0,0,16,16,0,316,53
1911,新聞業,,,,,,,,,,,,0,57
1921,出版業,,,,,,,,,,,,0,57
1931,印刷業,152,486473,0,539,441332,441332,0,0,31171,30187,984,472503,6
1941,製版業,6,8340,0,0,330,330,0,0,8006,8006,0,8336,38
1951,製本業,,,0,0,,,0,0,,,,0,57
1952,印刷物加工業,34,79410,0,0,79300,79300,0,0,110,110,0,79410,23
2000,化学工業（下の業種を除く）,433,66512948,51000,33793165,142621,142621,0,0,490606,489849,777,633227,3
2025,塩製造業,,,,,,,,,,,,0,57
2060,医薬品製造業,71,402940,0,12749,902,902,0,0,296204,296143,187,297106,9
2092,農薬製造業,,,,,,,,,,,,0,57
2100,石油製品・石炭製品製造業,15,37650,0,33908,33,33,0,0,3615,3615,0,3648,47
2200,プラスチック製品製造業,62,339480,0,8882,145170,145170,0,0,116690,116685,5,261860,11
2300,ゴム製品製造業,34,91830,0,32720,34733,34733,0,0,1956,1936,14,36689,26
2400,なめし革・同製品・毛皮製造業,13,6241,0,720,3343,3343,0,0,478,478,0,3821,46
2500,窯業・土石製品製造業,64,3012860,0,302900,21341,21341,0,0,1425184,1420814,4333,1446525,1
2600,鉄鋼業,35,3843840,0,2027726,9650,9650,0,0,983730,983610,120,993380,2
2700,非鉄金属製造業,40,1076463,0,355096,6507,6507,0,0,12020,12020,0,18527,32
2800,金属製品製造業（下の業種を除く）,195,457474,0,36610,136064,136064,0,0,76019,75189,945,212083,14
2861,金属製品塗装業,241,430660,0,7230,196295,196295,0,0,198686,198666,20,394981,8
2862,溶触めっき業（表面処理鋼材製造業を除く）,7,62310,0,0,860,860,0,0,26750,26750,0,27610,28
2864,電気めっき業（表面処理鋼材製造業を除く）,1079,2189784,0,195769,282750,278449,1,0,226224,221196,4943,508974,5
2865,金属熱処理業,19,116660,0,5600,10261,10261,0,0,19410,19410,0,29671,27
2900,一般機械器具製造業,85,118310,0,16450,77871,77871,0,0,10431,10379,67,88302,21
3000,電気機械器具製造業（下の業種を除く）,219,1058884,0,349759,86680,86680,0,0,159903,151725,8051,246583,12
