物質番号,適正管理化学物質名,報告数（件）,使用量（kg）,製造量（kg）,製品としての出荷量（kg）,環境への排出量（kg）,環境への排出量／大気（kg）,環境への排出量／公共用水域（kg）,環境への排出量／その他（kg）,事業所外への移動量（kg）,事業所外への移動量／廃棄物（kg）,事業所外への移動量／廃水(下水道）（kg）
1200,食料品製造業,2,280.0,0.0,0.0,30.0,30.0,0.0,0.0,250.0,250.0,0.0
1300,飲料・たばこ・飼料製造業(下の業種を除く）,,,,,,,,,,,
1320,酒類製造業,,,,,,,,,,,
1350,たばこ製造業,,,,,,,,,,,
1400,繊維工業（衣服その他の繊維製品を除く）,,,,,,,,,,,
1500,衣服・その他の繊維製品製造業,,,,,,,,,,,
1600,木材・木製品製造業（家具を除く）,,,,,,,,,,,
1700,家具・装備品製造業,,,,,,,,,,,
1800,パルプ・紙・紙加工品製造業,,,,,,,,,,,
1900,出版・印刷・同関連産業（下の業種を除く）,,,,,,,,,,,
1931,印刷業,,,,,,,,,,,
1941,製版業,,,,,,,,,,,
1951,製本業,,,,,,,,,,,
1952,印刷物加工業,1,230.0,0.0,0.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2000,化学工業（下の業種を除く）,6,2230.0,0.0,0.0,14.9,14.9,0.0,0.0,2210.0,2210.0,0.3
2060,医薬品製造業,6,4430.0,0.0,0.0,110.4,110.4,0.0,0.0,4320.0,4320.0,0.2
2100,石油製品・石炭製品製造業,,,,,,,,,,,
2200,プラスチック製品製造業,,,,,,,,,,,
2300,ゴム製品製造業,1,130.0,0.0,0.0,130.0,130.0,0.0,0.0,6.0,6.0,0.0
2400,なめし革・同製品・毛皮製造業,,,,,,,,,,,
2500,窯業・土石製品製造業,,,,,,,,,,,
2600,鉄鋼業,,,,,,,,,,,
2700,非鉄金属製造業,,,,,,,,,,,
2800,金属製品製造業（下の業種を除く）,,,,,,,,,,,
2861,金属製品塗装業,,,,,,,,,,,
2862,溶触めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,
2864,電気めっき業（表面処理鋼材製造業を除く）,,,,,,,,,,,
2865,金属熱処理業,,,,,,,,,,,
2900,一般機械器具製造業,,,,,,,,,,,
3000,電気機械器具製造業（下の業種を除く）,1,930.0,0.0,0.0,28.0,28.0,0.0,0.0,900.0,900.0,0.0
3060,電子応用装置製造業,1,680.0,0.0,0.0,75.0,70.0,0.0,5.0,605.0,605.0,0.0
3070,電気計測器製造業,,,,,,,,,,,
3100,輸送用機械器具製造業（下の業種を除く）,,,,,,,,,,,
3120,鉄道車両・同部分品製造業,,,,,,,,,,,
3140,船舶製造・修理業・舶用機関製造業,,,,,,,,,,,
3200,精密機械器具製造業（下の業種を除く）,1,110.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,0.0
3230,医療用機械器具・医療用品製造業,,,,,,,,,,,
3300,武器製造業,,,,,,,,,,,
3400,その他の製造業,,,,,,,,,,,
3500,電気業,,,,,,,,,,,
3600,ガス業,,,,,,,,,,,
3700,熱供給業,,,,,,,,,,,
3810,上水道業,,,,,,,,,,,
3830,下水道業,,,,,,,,,,,
3900,鉄道業,,,,,,,,,,,
4400,倉庫業,,,,,,,,,,,
5132,石油卸売業,,,,,,,,,,,
5930,燃料小売業,,,,,,,,,,,
7200,洗濯・理容・浴場業（下の業種を除く）,,,,,,,,,,,
7211,普通洗濯業,,,,,,,,,,,
7213,リネンサプライ業,,,,,,,,,,,
7430,写真業,,,,,,,,,,,
7700,自動車整備業,,,,,,,,,,,
7810,機械修理業,,,,,,,,,,,
8632,環境計量証明業,1,150.0,0.0,0.0,15.0,15.0,0.0,0.0,150.0,150.0,0.0
8700,廃棄物処理業（下の業種を除く）,,,,,,,,,,,
8710,一般廃棄物処理業,,,,,,,,,,,
8716,ごみ処分業,,,,,,,,,,,
8722,産業廃棄物処分業,,,,,,,,,,,
8724,特別産業廃棄物処分業,,,,,,,,,,,
8800,医療業,10,5229.0,0.0,0.0,360.0,360.0,0.0,0.0,4869.0,4869.0,0.0
9100,教育,30,64380.0,0.0,0.0,6608.7,6608.7,0.0,0.0,55540.0,55440.0,12.7
9210,自然科学研究所,15,13120.0,0.0,0.0,1958.9,1958.9,0.0,0.0,11110.0,11110.0,7.3
9999,分類不明,1,180.0,0.0,0.0,5.0,5.0,0.0,0.0,180.0,170.0,5.0
,総計,76,92079.0,0.0,0.0,9565.9,9560.9,0.0,5.0,80250.0,80140.0,25.5
注）事業者（適正管理化学物質年間取扱量100kg以上）から、有効数字2桁（小数点以下第2位を四捨五入し第1位まで）で報告されている。,,,,,,,,,,,,
