断熱材の種類,適用接着剤,該当ＪＩＳ Ｎｏ．,施工時／下地材／木質系,施工時／下地材／モルタル・ＡＬＣコンクリート石膏ボード,施工時／下地材／金属系,施工時／水分の多い下地,施工時／仮止めの必要性,施工後／耐水性を要する箇所,施工後／耐熱性を要する箇所,塗布量（g/m2）,ＶＯＣ量（g/m2）
ポリスチレンフォーム保温材,酢酸ビニル樹脂系溶剤形,JIS A 5547,◎,◎,△,×,有,×,△,250,100
ポリスチレンフォーム保温材,再生ゴム系溶剤形,JIS A 5547,◎,◎,○,×,無,○,△,120,96
ポリスチレンフォーム保温材,酢酸ビニル樹脂系エマルション形,JIS A 5547,◎,◎,─,×,有,×,△,170,5.1
ポリスチレンフォーム保温材,ゴム系ラテックス形,JIS A 5547,◎,◎,─,×,有,×,△,170,5.1
ポリスチレンフォーム保温材,ウレタン樹脂系,JIS A 5547,◎,◎,◎,×,有,◎,◎,250,7.5
ポリスチレンフォーム保温材,変成シリコーン樹脂系,JIS A 5547,◎,◎,◎,○,有,◎,◎,250,7.5
硬質ウレタンフォーム保温材・フェノールフォーム保温材・ポリエチレンフォーム保温材,酢酸ビニル樹脂系溶剤形,JIS A 5547,◎,◎,△,×,有,×,△,250,100
硬質ウレタンフォーム保温材・フェノールフォーム保温材・ポリエチレンフォーム保温材,ゴム系溶剤形,JIS A 5547,◎,◎,○,×,無,○,○,120,96
硬質ウレタンフォーム保温材・フェノールフォーム保温材・ポリエチレンフォーム保温材,酢酸ビニル樹脂系エマルション形,JIS A 5547,◎,◎,─,×,有,×,△,170,5.1
硬質ウレタンフォーム保温材・フェノールフォーム保温材・ポリエチレンフォーム保温材,ゴム系ラテックス形,JIS A 5547,◎,◎,─,×,有,×,△,170,5.1
硬質ウレタンフォーム保温材・フェノールフォーム保温材・ポリエチレンフォーム保温材,ウレタン樹脂系,JIS A 5547,◎,◎,◎,×,有,◎,◎,250,7.5
硬質ウレタンフォーム保温材・フェノールフォーム保温材・ポリエチレンフォーム保温材,変成シリコーン樹脂系,JIS A 5547,◎,◎,◎,○,有,◎,◎,250,7.5
ロックウール・グラスウール,酢酸ビニル樹脂系溶剤形,JIS A 5547,◎,◎,△,×,有,×,△,250,100
ロックウール・グラスウール,ゴム系溶剤形,JIS A 5547,◎,◎,○,×,無,○,○,120,96
ロックウール・グラスウール,酢酸ビニル樹脂系エマルション形,JIS A 5547,◎,◎,─,×,有,×,△,170,5.1
ロックウール・グラスウール,ウレタン樹脂系,JIS A 5547,◎,◎,◎,×,有,◎,◎,250,7.5
ロックウール・グラスウール,変成シリコーン樹脂系,JIS A 5547,◎,◎,◎,○,有,◎,◎,250,7.5
注）◎：優 ○：実用可 △：要注意 ×：不可 ―：実用上の組み合わせが少ない,,,,,,,,,,,
注）仮止めの必要性 無：不要 有：必要,,,,,,,,,,,
注）天井部位への接着剤のみによる施工については、断熱材の種類、大きさなどによって（例えば裏打ちパネルなど）不適当な場合があるので十分注意のこと。その際は原則として釘類を併用する。,,,,,,,,,,,
