種類,,東京都内／平成27年度／処分量（千ｔ）,東京都内／平成27年度／都内処分率（%）,東京都内／平成28年度／処分量（千ｔ）,東京都内／平成28年度／都内処分率（%）,東京都外／平成27年度／処分量（千ｔ）,東京都外／平成27年度／都外処分率（%）,東京都外／平成28年度／処分量（千ｔ）,東京都外／平成28年度／都外処分率（%）
汚泥,,52,44.1,38,27.3,66,55.9,101,72.7
汚泥,上水,15,100.0,13,100.0,0,0.0,0,0.0
汚泥,下水,30,100.0,18,100.0,0,0.0,0,0.0
汚泥,建設,5,9.4,6,11.3,48,90.6,47,88.7
汚泥,その他,2,10.0,1,1.8,18,90.0,54,98.2
廃油,,0,0.0,0,0.0,0,0.0,0,0.0
廃酸,,0,0.0,0,0.0,5,100.0,3,100.0
廃アルカリ,,0,0.0,0,0.0,1,100.0,0,0.0
廃プラスチック類,,0,0.0,0,0.0,33,100.0,23,100.0
金属くず,,0,0.0,0,0.0,5,100.0,0,0.0
ガラス・陶磁器くず,,1,0.9,1,0.8,106,99.1,121,99.2
がれき類,,0,0.0,0,0.0,158,100.0,108,100.0
木くず,,0,0.0,0,0.0,3,100.0,3,100.0
混合廃棄物,,0,0.0,0,0.0,128,100.0,104,100.0
特別管理産業廃棄物,,0,0.0,0,0.0,8,100.0,10,100.0
特別管理産業廃棄物,感染性廃棄物,0,0.0,0,0.0,2,100.0,3,100.0
その他,,13,32.5,10,14.7,27,67.5,58,85.3
合計,,66,10.9,49,8.4,540,89.1,531,91.6
上下水汚泥除く計,,21,3.7,18,3.3,540,96.3,531,96.7
