一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),等価騒音ﾚﾍﾞﾙ(Leq)／昼間(dB),等価騒音ﾚﾍﾞﾙ(Leq)／夜間(dB)
1,千代田区神田神保町2-15,35.696636,139.756454,JGD2011,白山祝田田町線（白山通り）,c,2005-06-02,2005-06-09,4,6,8.8,1.5,71,69
2,千代田区神田神保町1-40,35.697495,139.757919,JGD2011,白山祝田田町線(白山通り),C,2005-11-08,2005-11-09,4,5,4.6,1.2,68,67
3,千代田区麹町6-2,35.685215,139.733078,JGD2011,国道２０号（新宿通り）,c,2006-03-14,2006-03-16,3,6,6.9,1.5,69,66
4,千代田区神田神保町1-101,35.694721,139.758713,JGD2011,白山祝田田町線(白山通り),C,2006-01-16,2006-01-17,4,5,4.6,1.2,69,68
5,千代田区九段南1-1,35.693378,139.754913,JGD2011,麹町竹平線（内堀通り）,b,2005-07-12,2005-07-14,4,4,1.7,1.5,67,65
6,千代田区外神田6-15,35.704056,139.771591,JGD2011,秋葉原雑司ヶ谷線(中央通り),C,2006-01-16,2006-01-17,4,7,6.0,1.2,69,69
7,千代田区飯田橋4-5-14,35.700676,139.747147,JGD2011,千代田練馬田無線（目白通り）,c,2005-07-12,2005-07-14,4,5,4.4,1.5,71,70
8,千代田区平河町2-5-2,35.680115,139.739044,JGD2011,区道１８８号（貝坂通り）,b,2005-07-12,2005-07-14,6,2,1.9,1.5,62,59
9,千代田区九段南3-8-14,35.692753,139.742584,JGD2011,新宿両国線（靖国通り）,c,2005-09-27,2005-09-29,4,5,4.5,1.5,68,65
10,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,新宿両国線（靖国通り）,c,2005-09-27,2005-09-29,4,6,6.0,1.5,69,67
11,千代田区東神田2-10-18,35.695621,139.780716,JGD2011,新宿両国線（靖国通り）,c,2005-09-27,2005-09-29,4,6,6.0,1.5,69,67
