試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成28年3月21日／((4)は､3月20日採取),―,不検出 ／(<6.2)／(<5.3),―,不検出 ／(<6.7)／(<5.8),不検出 ／(<7.4)／(<6.9),―,不検出 ／(<7.9)／(<7.6),―,―,不検出 ／(<6.3)／(<5.7)
平成28年3月14日,不検出 ／(<6.9)／(<7.5),―,134Cs: 不検出／(<6.4)／137Cs: 27／合計: 33,―,―,不検出 ／(<6.8)／(<7.0),―,不検出 ／(<6.9)／(<6.2),不検出 ／(<8.0)／(<7.5),―
平成28年3月8日／(浸出液は3月7日採取),―,不検出 ／(<6.1)／(<7.3),―,不検出 ／(<5.8)／(<4.6),不検出 ／(<7.1)／(<6.2),―,不検出 ／(<7.1)／(<6.0),―,―,不検出 ／(<6.8)／(<6.8)
平成28年2月29日,不検出 ／(<6.8)／(<7.7),―,134Cs: 不検出／(<6.4)／137Cs: 20／合計: 26,―,―,不検出 ／(<6.6)／(<6.0),―,不検出 ／(<5.5)／(<7.1),不検出 ／(<7.2)／(<6.3),―
平成28年2月22日／((4)は､2月21日採取),―,不検出 ／(<7.9)／(<7.7),―,不検出 ／(<6.7)／(<6.7),不検出 ／(<7.6)／(<6.2),―,不検出 ／(<7.7)／(<7.2),―,―,不検出 ／(<5.2)／(<7.0)
平成28年2月15日,不検出 ／(<6.3)／(<6.8),―,134Cs: 不検出／(<6.3)／137Cs: 17／合計: 23,―,―,不検出 ／(<7.0)／(<6.7),―,不検出 ／(<7.4)／(<4.3),不検出 ／(<6.6)／(<6.8),―
平成28年2月8日／((4)は､2月9日採取),―,不検出 ／(<7.7)／(<7.0),―,不検出 ／(<5.9)／(<6.7),不検出 ／(<7.6)／(<7.5),―,不検出 ／(<7.4)／(<6.2),―,―,不検出 ／(<7.2)／(<7.3)
平成28年2月1日,不検出 ／(<8.5)／(<7.6),―,134Cs: 不検出／(<4.6)／137Cs: 18／合計: 23,―,―,不検出 ／(<7.7)／(<6.7),―,不検出 ／(<6.5)／(<6.4),不検出 ／(<8.4)／(<7.2),―
平成28年1月25日／((4)は､1月24日採取),―,不検出 ／(<5.5)／(<6.8),―,不検出 ／(<6.7)／(<5.7),不検出 ／(<7.0)／(<6.8),―,不検出 ／(<8.7)／(<7.0),―,―,不検出 ／(<8.1)／(<5.3)
平成28年1月18日,不検出 ／(<8.1)／(<7.1),―,134Cs: 不検出／(<7.4)／137Cs: 16／合計: 23,―,―,不検出 ／(<6.7)／(<7.9),―,不検出 ／(<5.7)／(<7.4),不検出 ／(<7.1)／(<6.1),―
平成28年1月11日／((4)は､1月10日採取),―,不検出 ／(<7.0)／(<7.6),―,不検出 ／(<6.9)／(<5.0),不検出 ／(<8.6)／(<7.2),―,不検出 ／(<7.2)／(<7.9),―,―,不検出 ／(<6.0)／(<6.9)
平成28年1月4日,不検出 ／(<6.4)／(<5.5),―,134Cs: 不検出／(<6.0)／137Cs: 16／合計: 22,―,―,不検出 ／(<6.5)／(<4.8),―,不検出 ／(<6.5)／(<6.5),不検出 ／(<7.0)／(<6.6),―
