試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成29年6月26日,不検出 ／(<7.4)／(<6.9),―,134Cs:不検出 ／(<7.5)／137Cs: 44／合計: 52,―,―,不検出 ／(<6.3)／(<7.5),―,不検出 ／(<5.3)／(<7.8),不検出 ／(<5.7)／(<6.9),―
平成29年6月19日／((4)は､6月18日採取),―,不検出 ／(<7.9)／(<6.5),―,不検出 ／(<6.6)／(<6.8),不検出 ／(<8.1)／(<6.8),―,不検出 ／(<7.8)／(<6.0),―,―,不検出 ／(<6.7)／(<7.3)
平成29年6月12日,不検出 ／(<6.7)／(<6.6),―,134Cs:不検出 ／(<7.4)／137Cs: 32／合計: 39,―,―,不検出 ／(<7.6)／(<7.0),―,不検出 ／(<7.0)／(<7.5),不検出 ／(<5.4)／(<6.3),―
平成29年6月5日／((4)は､6月4日採取),―,不検出 ／(<5.9)／(<6.1),―,不検出 ／(<7.4)／(<4.8),不検出 ／(<6.0)／(<7.1),―,不検出 ／(<6.5)／(<6.8),―,―,不検出 ／(<5.1)／(<5.8)
平成29年5月29日,不検出 ／(<7.2)／(<8.7),―,134Cs:不検出 ／(<9.4)／137Cs: 30／合計: 39,―,―,不検出 ／(<5.8)／(<7.8),―,不検出 ／(<7.2)／(<6.5),不検出 ／(<5.0)／(<7.2),―
平成29年5月22日／((4)は､5月21日採取),―,不検出 ／(<6.8)／(<6.7),―,不検出 ／(<5.6)／(<7.0),不検出 ／(<6.4)／(<6.0),―,不検出 ／(<5.9)／(<5.6),―,―,不検出 ／(<6.7)／(<6.2)
平成29年5月15日,不検出 ／(<7.1)／(<6.4),―,134Cs:不検出 ／(<8.0)／137Cs: 26／合計: 34,―,―,不検出 ／(<5.3)／(<7.2),―,不検出 ／(<8.3)／(<7.3),不検出 ／(<8.1)／(<5.9),―
平成29年5月8日／((4)は､5月7日採取),―,不検出 ／(<5.3)／(<7.0),―,不検出 ／(<5.8)／(<7.1),不検出 ／(<6.7)／(<5.1),―,不検出 ／(<7.6)／(<7.1),―,―,不検出 ／(<5.7)／(<5.8)
平成29年5月1日,不検出 ／(<7.5)／(<8.1),―,134Cs:不検出 ／(<7.7)／137Cs: 38／合計: 46,―,―,不検出 ／(<8.6)／(<7.0),―,不検出 ／(<7.3)／(<7.4),不検出 ／(<6.6)／(<7.5),―
平成29年4月24日／((4)は､4月23日採取),―,不検出 ／(<7.1)／(<6.1),―,不検出 ／(<6.4)／(<7.0),不検出 ／(<7.0)／(<8.5),―,不検出 ／(<7.4)／(<6.8),―,―,不検出 ／(<6.9)／(<7.8)
平成29年4月17日,不検出 ／(<8.1)／(<6.1),―,134Cs:不検出 ／(<7.9)／137Cs: 39／合計: 47,―,―,不検出 ／(<7.2)／(<7.2),―,不検出 ／(<7.6)／(<5.8),不検出 ／(<6.8)／(<7.5),―
平成29年4月10日／((4)は､4月9日採取),―,不検出 ／(<8.3)／(<7.3),―,不検出 ／(<6.2)／(<5.5),不検出 ／(<6.7)／(<6.2),―,不検出 ／(<7.5)／(<8.0),―,―,不検出 ／(<6.8)／(<5.6)
平成29年4月3日,不検出 ／(<6.5)／(<7.9),―,134Cs:不検出 ／(<7.3)／137Cs: 26／合計: 33,―,―,不検出 ／(<6.4)／(<6.2),―,不検出 ／(<6.4)／(<7.3),不検出 ／(<5.8)／(<6.5),―
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
