種類,,,,発生量（千t）,有償物量（千t）,排出量（千t）,自己中間処理量（千t）,自己中間処理量／自己中間処理後量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後再生利用量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後自己最終処分量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託処理量（千t）,自己中間処理量／自己中間処理後量／自己中間処理後委託直接最終処分量（千t）,自己減量化量（千t）,自己未処理量（千t）,自己未処理量／自己未処理再生利用量（千t）,自己未処理量／自己未処理自己最終処分量（千t）,自己未処理量／自己未処理委託処理量（千t）,自己未処理量／自己未処理委託直接最終処分量（千t）,委託処理量（千t）,委託処理量／委託中間処理量（千t）,委託処理量／委託中間処理量／委託中間処理後量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後再生利用量（千t）,委託処理量／委託中間処理量／委託中間処理後量／委託中間処理後最終処分量（千t）,委託処理量／委託直接最終処分量（千t）,委託減量化量（千t）,委託最終処分量（千t）,再生利用量（千t）,減量化量（千t）,最終処分量（千t）
合計,,,,153,25,128,0,0,0,0,0,0,0,128,0,0,128,0,128,128,89,84,5,0,39,5,84,39,5
燃え殻,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,,,,15,0,15,0,0,0,0,0,0,0,15,0,0,15,0,15,15,7,7,0,0,8,0,7,8,0
汚泥,上水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,下水汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,建設汚泥,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汚泥,その他の汚泥,,,15,0,15,0,0,0,0,0,0,0,15,0,0,15,0,15,15,7,7,0,0,8,0,7,8,0
廃油,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廃酸,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廃アルカリ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
廃プラスチック類,,,,69,0,69,0,0,0,0,0,0,0,69,0,0,69,0,69,69,43,39,4,0,26,4,39,26,4
ゴムくず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
金属くず,,,,37,25,12,0,0,0,0,0,0,0,12,0,0,12,0,12,12,12,12,0,0,0,0,12,0,0
ガラス・陶磁器くず,,,,11,0,11,0,0,0,0,0,0,0,11,0,0,11,0,11,11,11,10,1,0,0,1,10,0,1
鉱さい,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,コンクリート塊,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,アスファルト･コンクリート塊,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がれき類,その他のがれき類,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石綿含有産業廃棄物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ばいじん,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
紙くず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
木くず,,,,19,0,19,0,0,0,0,0,0,0,19,0,0,19,0,19,19,15,15,0,0,4,0,15,4,0
繊維くず,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動植物性残さ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物系固形不要物,,,,2,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,2,1,1,0,0,1,0,1,1,0
動物のふん尿,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
動物の死体,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
政令13号物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混合廃棄物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
その他,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
特別管理産業廃棄物,廃油,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
