試料採取日,第一排水処理場処理水(1)（Bq/L）,第三排水処理場処理水(2)（Bq/L）,第一排水処理場脱水汚泥(3)（Bq/kg）,第三排水処理場脱水汚泥(4)（Bq/kg）,外側11号ポンプ井浸出液(5)（Bq/L）,外側20号ポンプ井浸出液(6)（Bq/L）,BﾌﾞﾛｯｸB1ポンプ井浸出液(7)（Bq/L）,BﾌﾞﾛｯｸB2ポンプ井浸出液(8)（Bq/L）,Bﾌﾞﾛｯｸ集導管(北)浸出液(9)（Bq/L）,Bブロック中央ﾎﾟﾝﾌﾟ井浸出液(10)（Bq/L）
平成28年6月28日,不検出 ／(<5.6)／(<6.7),―,134Cs: 不検出／(<5.5)／137Cs: 32／合計: 38,―,―,不検出 ／(<6.6)／(<6.5),―,不検出 ／(<6.6)／(<5.0),不検出 ／(<7.6)／(<5.7),―
平成28年6月20日(注1)／((4)は､6月19日採取),―,不検出 ／(<7.0)／(<7.0),―,不検出 ／(<7.8)／(<6.2),不検出 ／(<6.7)／(<7.4),―,不検出 ／(<6.0)／(<7.0),―,―,不検出 ／(<5.5)／(<6.4)
平成28年6月13日／((4)は､6月12日採取),―,不検出 ／(<5.8)／(<6.9),―,不検出 ／(<6.5)／(<4.8),不検出 ／(<5.5)／(<6.0),―,不検出 ／(<7.6)／(<7.0),―,―,不検出 ／(<6.4)／(<6.2)
平成28年6月6日,不検出 ／(<7.6)／(<6.4),―,134Cs: 不検出／(<6.6)／137Cs: 23／合計: 30,―,―,不検出 ／(<7.3)／(<6.8),―,不検出 ／(<7.4)／(<7.2),不検出 ／(<6.7)／(<6.5),―
平成28年5月30日／((4)は､5月29日採取),―,不検出 ／(<6.6)／(<5.8),―,不検出 ／(<7.2)／(<7.4),不検出 ／(<6.7)／(<7.0),―,不検出 ／(<7.0)／(<6.9),―,―,不検出 ／(<7.3)／(<6.4)
平成28年5月23日,不検出 ／(<6.9)／(<6.8),―,134Cs: 不検出／(<6.4)／137Cs: 23／合計: 29,―,―,不検出 ／(<7.4)／(<7.2),―,不検出 ／(<7.4)／(<7.8),不検出 ／(<5.9)／(<6.4),―
平成28年5月16日／((4)は､5月15日採取),―,不検出 ／(<6.6)／(<5.9),―,不検出 ／(<7.1)／(<6.4),不検出 ／(<5.8)／(<7.9),―,不検出 ／(<5.4)／(<6.6),―,―,不検出 ／(<7.5)／(<6.9)
平成28年5月9日,不検出 ／(<8.0)／(<7.0),―,134Cs: 不検出／(<6.9)／137Cs: 25／合計: 32,―,―,不検出 ／(<5.8)／(<6.3),―,不検出 ／(<6.6)／(<6.9),不検出 ／(<6.8)／(<7.1),―
平成28年5月2日／((4)は､5月1日採取),―,不検出 ／(<6.1)／(<6.7),―,不検出 ／(<5.2)／(<7.2),不検出 ／(<7.7)／(<7.3),―,不検出 ／(<7.0)／(<5.5),―,―,不検出 ／(<7.3)／(<6.7)
平成28年4月25日,不検出 ／(<6.2)／(<7.6),―,134Cs: 不検出／(<7.8)／137Cs: 24／合計: 32,―,―,不検出 ／(<6.1)／(<6.7),―,不検出 ／(<7.8)／(<5.8),不検出 ／(<7.8)／(<7.4),―
平成28年4月18日／((4)は､4月17日採取),―,不検出 ／(<7.6)／(<6.9),―,不検出 ／(<7.5)／(<6.2),不検出 ／(<7.7)／(<5.9),―,不検出 ／(<7.7)／(<5.5),―,―,不検出 ／(<7.4)／(<6.8)
平成28年4月11日,不検出 ／(<6.7)／(<7.6),―,134Cs: 不検出／(<7.1)／137Cs: 21／合計: 28,―,―,不検出 ／(<5.9)／(<6.5),―,不検出 ／(<7.2)／(<6.6),不検出 ／(<6.7)／(<6.0),―
