項目名,,試料における定量下限,試料における検出下限,毒性等価係数,単位  ,3中川／平井小橋,3中川／平井小橋／二重測定,4新中川／小岩大橋,6隅田川／小台橋,8新河岸川／志茂橋,10石神井川／豊石橋,13横十間川／天神橋,15北十間川／京成橋,18旧中川／中平井橋
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","2,3,7,8-TeCDD",0.10,0.03,1,pg/L,ND,ND,ND,ND,ND,ND,(0.04),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,6,8-TeCDD",0.10,0.03,-,pg/L,56,57,51,5.4,4.9,3.5,2.9,1.8,1.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,3,7,9-TeCDD",0.10,0.03,-,pg/L,19,20,17,2.0,1.7,1.2,1.3,0.62,0.48
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TeCDDs,-,-,-,pg/L,78,80,70,13,9.7,21,5.0,3.3,2.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8-PeCDD",0.10,0.03,1,pg/L,0.13,0.13,0.12,ND,ND,ND,(0.06),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7-PeCDD",0.10,0.03,-,pg/L,(0.10),(0.09),(0.08),(0.03),ND,ND,(0.06),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",PeCDDs,-,-,-,pg/L,8.6,8.8,7.9,1.1,0.91,0.78,1.3,0.44,0.47
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,7,8-HxCDD",0.20,0.06,0.1,pg/L,0.21,0.21,(0.20),ND,ND,ND,(0.09),ND,ND
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,6,7,8-HxCDD",0.20,0.06,0.1,pg/L,0.48,0.46,0.42,(0.09),ND,ND,0.55,(0.09),(0.07)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,7,8,9-HxCDD",0.20,0.06,0.1,pg/L,0.45,0.42,0.36,(0.08),ND,ND,0.28,ND,(0.06)
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HxCDDs,-,-,-,pg/L,4.4,4.5,4.2,0.97,0.70,0.68,4.7,0.94,1.2
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ","1,2,3,4,6,7,8-HpCDD",0.20,0.06,0.01,pg/L,12,13,12,2.0,1.2,1.2,12,1.7,1.9
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",HpCDDs,-,-,-,pg/L,26,26,24,4.0,2.4,2.5,23,3.5,4.3
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",OCDD,0.50,0.20,0.0003,pg/L,240,250,230,26,16,15,130,16,23
"Ｐ
Ｃ
Ｄ
Ｄ
ｓ",TotalPCDDs,-,-,-,pg/L,360,370,340,45,30,40,160,24,31
"Ｐ
Ｃ
Ｄ
Ｆ
ｓ","2,3,7,8-TeCDF",0.10,0.03,0.1,pg/L,(0.09),(0.09),(0.06),(0.09),ND,(0.05),0.41,0.11,(0.08)
